sample_id,source_index,split,defect_type,source_pack,threshold,dense_threshold,geometry_threshold,dense_iou,dense_dice,dense_area_error,dense_center_error_px,dense_pred_area,true_area,geometry_iou,geometry_dice,geometry_area_error,geometry_center_error_px,geometry_pred_area,empty_prediction,fallback_used,component_area_px,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9149722735674677,0.9555984555984556,0.02666666666666667,0.907150028647235,511.0,525.0,0.9130434782608695,0.9545454545454546,0.011428571428571429,0.7911622018727863,531.0,0.0,0.0,511.0,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9880668257756563,0.9939975990396158,0.007177033492822967,0.12346311692022635,415.0,418.0,1.0,1.0,0.0,0.0,418.0,0.0,0.0,415.0,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.7592067988668555,0.8631239935587761,0.23579545454545456,0.21539695585702448,538.0,704.0,0.9829545454545454,0.9914040114613181,0.017045454545454544,0.2205829121744751,692.0,0.0,0.0,536.0,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.7648114901256733,0.866734486266531,0.13825757575757575,2.2482479861808478,455.0,528.0,0.7705779334500875,0.8704253214638972,0.08522727272727272,2.1213203435596424,483.0,0.0,0.0,455.0,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9296066252587992,0.9635193133047211,0.017316017316017316,0.8044832503761703,470.0,462.0,0.9128630705394191,0.9544468546637744,0.004329004329004329,0.9575093715454476,460.0,0.0,0.0,470.0,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9723756906077348,0.9859943977591037,0.0221606648199446,0.15557541323225094,353.0,361.0,1.0,1.0,0.0,0.0,361.0,0.0,0.0,353.0,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9338842975206612,0.9658119658119658,0.025974025974025976,0.5920156016003559,474.0,462.0,0.9565217391304348,0.9777777777777777,0.045454545454545456,0.5,483.0,0.0,0.0,474.0,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9751434034416826,0.9874152952565344,0.013461538461538462,0.155756464471895,513.0,520.0,0.9615384615384616,0.9803921568627451,0.038461538461538464,0.5,500.0,0.0,0.0,513.0,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.7704347826086957,0.8703339882121808,0.22956521739130434,1.6985762268069189,443.0,575.0,0.8034782608695652,0.8910318225650916,0.19652173913043477,1.8027756377319946,462.0,0.0,0.0,443.0,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.93158953722334,0.9645833333333333,0.021052631578947368,0.2961042980786174,485.0,475.0,0.95,0.9743589743589743,0.05263157894736842,0.5,500.0,0.0,0.0,485.0,
rect_p2_0016,15,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.9409190371991247,0.9695603156708005,0.020089285714285716,0.8971372276262992,439.0,448.0,0.7753479125248509,0.8734602463605823,0.006696428571428571,0.910044386419906,445.0,0.0,0.0,439.0,
rect_p2_0017,16,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.7843137254901961,0.8791208791208791,0.15992647058823528,1.149194991842208,457.0,544.0,0.7124087591240876,0.8320545609548167,0.15625,1.1344170930845698,629.0,0.0,0.0,457.0,
rect_p2_0019,18,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.8223443223443223,0.9025125628140703,0.10476190476190476,0.958734358853657,470.0,525.0,0.8076923076923077,0.8936170212765957,0.12,1.118033988749895,462.0,0.0,0.0,470.0,
rect_p2_0020,19,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.8878718535469108,0.9406060606060606,0.11212814645308924,0.10570152914644104,388.0,437.0,0.9084668192219679,0.9520383693045563,0.09153318077803203,0.045340050377831176,397.0,0.0,0.0,388.0,
