split,residual_reduction_vs_delta_iou_corr,residual_reduction_vs_delta_dice_corr,mismatch_flag_rate,mean_delta_iou,mean_delta_dice,mean_forward_nrmse_reduction
train,0.08133772007250586,0.09705294558958963,0.24253731343283583,-0.006191577262262471,-0.00450475165678066,-0.0031640311675285226
val,0.1523078149603631,0.156806830155598,0.15151515151515152,-0.010471630814304475,-0.007258542128439166,-0.0028499051025419526
test,0.521898375595213,0.5890212031550196,0.15151515151515152,0.0030926021596969005,0.0017447315117967996,-0.012675765111590877
