split,group_name,group_value,sample_count,initial_iou_mean,refined_iou_mean,delta_iou_mean,initial_dice_mean,refined_dice_mean,delta_dice_mean,initial_area_error_mean,refined_area_error_mean,delta_area_error_mean,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,initial_angle_mae_deg,refined_angle_mae_deg,angle_error_delta_mean,parameter_drift_norm_mean
train,overall,rect_rot,268,0.6571184600635983,0.6561943170451897,-0.00092414301840855,0.7891465174071336,0.7879083870620336,-0.0012381303450998962,0.151540621213495,0.15814534195939106,0.006604720745896056,0.46279022378201456,0.4059906974446381,0.056799526337376414,20.238498192162456,20.039003093429795,-0.19949509873266255,0.3654113343336582
train,defect_type,rectangular_notch,134,0.6785839801936965,0.6718552066457832,-0.006728773547913234,0.8038638772977187,0.7980591696290166,-0.005804707668702306,0.21685691919055158,0.24171285651493346,0.024855937324381863,0.49118343355543437,0.4489928318326413,0.042190601722793146,nan,nan,nan,0.40791326656835586
train,defect_type,rotated_rect,134,0.6356529399334999,0.6405334274445961,0.004880487511096133,0.7744291575165483,0.7777576044950509,0.0033284469785025118,0.08622432323643843,0.07457782740384868,-0.011646495832589749,0.4343970140085946,0.36298856305663496,0.0714084509519597,20.238498192162456,20.039003093429795,-0.19949509873266255,0.32290940209896063
train,source_pack,pilot_v2_rectangular_notch,81,0.7079238738188676,0.7188058725736581,0.0108819987547906,0.8257417148489855,0.833549571847047,0.007807856998061226,0.170623000919534,0.18225041778596515,0.011627416866431168,0.3791795701296794,0.3576347591819826,0.021544810947696766,nan,nan,nan,0.4159727858108752
train,source_pack,pilot_v3_rotated_rect,30,0.6248772190970975,0.634989000159873,0.010111781062775566,0.7672918612098943,0.7750497618544113,0.007757900644516824,0.1430711109023255,0.14492263742955072,0.0018515265272252095,0.4024527377292554,0.3787036402131368,0.02374909751611849,19.670434241650092,19.782516805718902,0.1120825640688139,0.4059685813699282
train,source_pack,pilot_v7_topup_rotated_rect,16,0.6559687224079191,0.6589194017500168,0.0029506793420976257,0.7860032322667719,0.7900170133307793,0.004013781064007384,0.0827467786178345,0.0837104209699345,0.0009636423520999922,0.3500102714260166,0.295538956686356,0.05447131473966063,20.278588225996977,19.813010699293546,-0.4655775267034299,0.27008886184426134
train,source_pack,pilot_v8_topup_rotated_rect,24,0.6444413176961046,0.6542865859122244,0.009845268216119881,0.7811454718765892,0.7889849131450811,0.00783944126849217,0.05207869811893334,0.03283931454861178,-0.019239383570321567,0.32771931419779987,0.27926229742730335,0.04845701677049654,21.116753150409725,20.59624976932925,-0.5205033810804727,0.24923213246262146
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.6337437654080579,0.60010041532205,-0.03364335008600777,0.7704279368891788,0.7438191209561777,-0.02660881593300129,0.28751630371795583,0.3325894138176963,0.04507311009974047,0.66235914935706,0.5886155466383649,0.07374360271869515,nan,nan,nan,0.3955958881033737
train,source_pack,pilot_v9_topup_rotated_rect,64,0.632329471795982,0.6333784497325943,0.0010489779366121207,0.7723626285877212,0.771751812780157,-0.0006108158075640371,0.07325138709176926,0.05497249163349324,-0.018278895458276018,0.5104717165892274,0.40388187184309376,0.10658984474613374,20.165410051163768,20.00676163586603,-0.158648415297734,0.3248095229929966
val,overall,rect_rot,66,0.6386610370292205,0.6372546488212532,-0.001406388207967257,0.7747812397302534,0.7734913166555569,-0.0012899230746965427,0.20853989733674333,0.228958881626227,0.020418984289483664,0.451981464772796,0.3998852416032888,0.05209622316950717,18.82170191446818,19.899434527140585,1.0777326126724065,0.3525577307180246
val,defect_type,rectangular_notch,33,0.6397802562886583,0.6300403116147424,-0.009739944673915873,0.7754943887635513,0.7678522203452812,-0.0076421684182699096,0.2791434958056781,0.3308492929872289,0.05170579718155083,0.5132508792037214,0.45672150773139086,0.05652937147233049,nan,nan,nan,0.38418681980402425
val,defect_type,rotated_rect,33,0.6375418177697827,0.644468986027764,0.0069271682579813585,0.7740680906969558,0.7791304129658326,0.005062322268876825,0.1379362988678085,0.127068470265225,-0.010867828602583516,0.3907120503418706,0.3430489754751868,0.04766307486668384,18.82170191446818,19.899434527140585,1.0777326126724065,0.32092864163202495
val,source_pack,pilot_v2_rectangular_notch,19,0.6000677625575499,0.5942598087474373,-0.005807953810112576,0.7467825119519889,0.7413099281391818,-0.005472583812807043,0.35706188363817615,0.4060081245145678,0.04894624087639166,0.4326365884124752,0.4113370644113936,0.02129952400108151,nan,nan,nan,0.41647494732782064
val,source_pack,pilot_v3_rotated_rect,9,0.6586241590003188,0.6473151637070893,-0.01130899529322946,0.7901841258068251,0.7815191133075949,-0.008665012499230117,0.18799989692846836,0.20073953823953822,0.012739641311069895,0.40423076636587646,0.381625778102268,0.022604988263608523,18.57586104371829,19.280697245044006,0.704836201325719,0.4096779384161165
