seed,epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5,best_val_threshold,best_val_iou,best_val_dice,best_val_area_error,best_val_score
42,1,1.3979736804962157,0.4843993365764618,0.9135743498802185,1.1188912391662598,0.25229161977767944,0.8665996193885803,,,,,0.4,0.02534342873813721,0.049028306777774436,0.30400086765643175,-0.2296291321405201
42,2,1.0274165749549866,0.2073758512735367,0.8200407147407531,0.8932002186775208,0.14369313418865204,0.7495070695877075,,,,,0.4,0.2233289783499683,0.32872972270142486,0.2549556550265098,0.2971030460248833
42,3,0.8165014564990998,0.12505790293216706,0.6914435505867005,0.7943490743637085,0.12297296524047852,0.67137610912323,,,,,0.4,0.30780803477632485,0.46545662244379765,0.49665325169552804,0.27661140552459446
42,4,0.7703177630901337,0.1169978067278862,0.6533199548721313,0.768083393573761,0.11542089283466339,0.6526625156402588,,,,,0.4,0.3223179822172854,0.48379180616548556,0.792470569094096,0.013639219288675064
42,5,0.7560430288314819,0.11472285017371178,0.6413201749324798,0.7581542730331421,0.11609300225973129,0.6420612931251526,,,,,0.4,0.3263685932603701,0.48611602034393125,0.8127579122425633,-0.0002732986382619762
42,6,0.7445737063884735,0.11506587341427803,0.629507839679718,0.7587902545928955,0.12261579185724258,0.6361744403839111,,,,,0.5,0.22780309708938265,0.3594238177432457,0.14309795787353777,0.4441289569590906
42,7,0.7026027202606201,0.12898585796356202,0.573616874217987,0.6854618787765503,0.13506123423576355,0.5504006147384644,,,,,0.5,0.3160587758359511,0.4271327969993351,0.18004369205928014,0.5631478807760061
42,8,0.6011642009019852,0.12750741988420486,0.4736567735671997,0.50357985496521,0.10211292654275894,0.40146690607070923,,,,,0.3,0.5327552383759568,0.680955725161023,0.19450281039189324,1.0192081531450865
42,9,0.5080665498971939,0.11153277829289436,0.39653377532958983,0.41995471715927124,0.0969138815999031,0.32304084300994873,,,,,0.7,0.552620474918806,0.7012151993818483,0.07899416640764072,1.1748415078930134
42,10,0.42389389872550964,0.0962026946246624,0.32769120335578916,0.4534255862236023,0.10913558304309845,0.34429001808166504,,,,,0.6,0.5406510001742726,0.6687764510392606,0.16686290578617585,1.0425645454273573
42,11,0.44372744858264923,0.10643929690122604,0.3372881472110748,0.3840390741825104,0.10996333509683609,0.2740757465362549,,,,,0.6,0.5957513868167985,0.7377348094073248,0.12586513741604527,1.207621058808078
