candidate,selected_seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,center_p95_mm,center_max_mm,burial_p95_mm,burial_max_mm,catastrophic_failure_count,geometry_branch_failure_count
F2_freeze_shape_train_center_burial_with_residual,42,train,shape_type,internal_cuboid,91,0.31271228194236755,0.5225310921669006,1.2006210088729858,0.07456494122743607,0.2588791251182556,1.057071328163147,0.7472527472527473,0.28511530398322854,6.37734842300415,7.738551616668701,1.0320007801055908,1.7754498720169067,3,1
F2_freeze_shape_train_center_burial_with_residual,42,train,shape_type,internal_ellipsoid,87,0.31970128417015076,0.7260714769363403,0.9627559781074524,0.08417091518640518,0.32275915145874023,0.9967653155326843,0.7816091954022989,0.29247311827956995,4.2573771476745605,5.6009392738342285,1.0775701999664307,1.5553455352783203,3,1
F2_freeze_shape_train_center_burial_with_residual,42,train,shape_type,internal_sphere,62,0.19028635323047638,0.5588470697402954,0.4863845407962799,0.06147365644574165,0.12226603925228119,0.6030744910240173,1.0,0.3333333333333333,2.6623342037200928,4.471457481384277,0.36101099848747253,1.02752685546875,0,0
F2_freeze_shape_train_center_burial_with_residual,42,train,burial_depth_level,deep,54,0.26036426424980164,0.537282407283783,0.9872821569442749,0.0644790455698967,0.2744043469429016,0.7716948986053467,0.8703703703703703,0.8790697674418605,3.9718756675720215,5.003140926361084,1.0499951839447021,1.0775701999664307,0,0
F2_freeze_shape_train_center_burial_with_residual,42,train,burial_depth_level,deep_plus,66,0.33819836378097534,0.717339038848877,1.1191866397857666,0.0936487540602684,0.2692180275917053,1.0139280557632446,0.7727272727272727,0.7826777087646652,5.26132345199585,6.322553634643555,0.9495698809623718,1.5553455352783203,1,1
F2_freeze_shape_train_center_burial_with_residual,42,train,burial_depth_level,medium,54,0.2494768351316452,0.6150745749473572,0.6680600643157959,0.07204663753509521,0.23231403529644012,0.8560590147972107,0.9444444444444444,0.943351691581432,4.791299343109131,5.612890720367432,1.2030287981033325,1.7754498720169067,4,0
F2_freeze_shape_train_center_burial_with_residual,42,train,burial_depth_level,shallow,66,0.27600109577178955,0.5423547029495239,0.9078384637832642,0.06615820527076721,0.2134447693824768,0.9921929836273193,0.7424242424242424,0.7552695301708027,6.727245330810547,7.738551616668701,0.7432090044021606,1.0862301588058472,1,1
F2_freeze_shape_train_center_burial_with_residual,42,train,size_level,large,103,0.3301981985569,0.6514137387275696,1.2622183561325073,0.09563957154750824,0.2662457525730133,0.9088099598884583,0.7766990291262136,0.7938559322033898,4.958591938018799,6.432143211364746,1.0499951839447021,1.7754498720169067,3,0
F2_freeze_shape_train_center_burial_with_residual,42,train,size_level,medium,83,0.28974348306655884,0.5851584076881409,0.7807137370109558,0.05791353061795235,0.31951478123664856,1.1183334589004517,0.7710843373493976,0.7463092463092463,5.60093879699707,7.738551616668701,0.9989502429962158,1.1200382709503174,3,2
F2_freeze_shape_train_center_burial_with_residual,42,train,size_level,small,54,0.18536050617694855,0.5500608086585999,0.5252666473388672,0.06040642037987709,0.09769444912672043,0.6272885799407959,1.0,1.0,2.827436685562134,4.050893783569336,0.2241111397743225,0.5524616837501526,0,0
F2_freeze_shape_train_center_burial_with_residual,42,train,aspect_bin,compact,137,0.259244829416275,0.5596855282783508,0.6160697937011719,0.07182628661394119,0.22495052218437195,0.964472234249115,0.8248175182481752,0.7864661890397185,5.6009368896484375,7.738551616668701,0.8935549259185791,1.7754498720169067,6,2
