model,selected,split,threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,val,1.002e-05,8.058492229878901,60,60,23,2,1,0.38333333333333336,1.0,1.0,1.0,1.0,0.0,6.749954628944397,1.5840142905712125
logistic_regression_balanced,False,val,0.00024116,8.03171648948982,60,57,23,2,1,0.40350877192982454,1.0,1.0,1.0,0.918918918918919,0.05,5.564350485801697,1.3895424991846081
logistic_regression_balanced,False,val,0.0002966371222087161,8.03171648948982,60,57,23,2,1,0.40350877192982454,1.0,1.0,1.0,0.918918918918919,0.05,5.564350485801697,1.3895424991846081
logistic_regression_balanced,False,val,0.00029956,8.142060309990837,60,56,23,2,1,0.4107142857142857,1.0,1.0,1.0,0.8918918918918919,0.06666666666666667,5.581401443481445,1.3895424991846081
logistic_regression_balanced,False,val,0.00031628,8.142060309990837,60,56,23,2,1,0.4107142857142857,1.0,1.0,1.0,0.8918918918918919,0.06666666666666667,5.581401443481445,1.3895424991846081
logistic_regression_balanced,False,val,0.00055856,8.347513942561438,60,54,23,2,1,0.42592592592592593,1.0,1.0,1.0,0.8378378378378378,0.1,5.554567325115204,1.3895424991846081
logistic_regression_balanced,False,val,0.0008307269953015333,8.347513942561438,60,54,23,2,1,0.42592592592592593,1.0,1.0,1.0,0.8378378378378378,0.1,5.554567325115204,1.3895424991846081
logistic_regression_balanced,False,val,0.00086097,8.45481096137617,60,53,23,2,1,0.4339622641509434,1.0,1.0,1.0,0.8108108108108109,0.11666666666666667,5.559431076049805,1.3895424991846081
logistic_regression_balanced,False,val,0.00204445,8.45481096137617,60,53,23,2,1,0.4339622641509434,1.0,1.0,1.0,0.8108108108108109,0.11666666666666667,5.559431076049805,1.3895424991846081
logistic_regression_balanced,False,val,0.00287383,8.5408795043222,60,52,23,2,1,0.4423076923076923,1.0,1.0,1.0,0.7837837837837838,0.13333333333333333,5.479380923509598,1.3895424991846081
logistic_regression_balanced,False,val,0.002873830481824801,8.5408795043222,60,52,23,2,1,0.4423076923076923,1.0,1.0,1.0,0.7837837837837838,0.13333333333333333,5.479380923509598,1.3895424991846081
logistic_regression_balanced,False,val,0.00352076,8.754998114443307,60,50,23,2,1,0.46,1.0,1.0,1.0,0.7297297297297297,0.16666666666666666,5.4872067153453825,1.3895424991846081
logistic_regression_balanced,False,val,0.00606779,8.243066894556543,60,48,23,2,1,0.4583333333333333,0.9565217391304348,1.0,1.0,0.7027027027027027,0.2,3.191755932569507,1.3738136433064936
logistic_regression_balanced,False,val,0.00844812025111833,8.243066894556543,60,48,23,2,1,0.4583333333333333,0.9565217391304348,1.0,1.0,0.7027027027027027,0.2,3.191755932569507,1.3738136433064936
logistic_regression_balanced,False,val,0.0090432,8.243066894556543,60,48,23,2,1,0.4583333333333333,0.9565217391304348,1.0,1.0,0.7027027027027027,0.2,3.191755932569507,1.3738136433064936
logistic_regression_balanced,False,val,0.01925872,8.090542746439016,60,46,23,2,1,0.45652173913043476,0.9130434782608695,1.0,1.0,0.6756756756756757,0.23333333333333334,2.8598232984542857,0.8321949258446696
logistic_regression_balanced,False,val,0.02573572,7.7967095507455495,60,45,23,2,1,0.4444444444444444,0.8695652173913043,1.0,1.0,0.6756756756756757,0.25,2.1518466711044333,0.525708335638047
logistic_regression_balanced,False,val,0.02626732887132921,7.7967095507455495,60,45,23,2,1,0.4444444444444444,0.8695652173913043,1.0,1.0,0.6756756756756757,0.25,2.1518466711044333,0.525708335638047
logistic_regression_balanced,False,val,0.02644453,7.7967095507455495,60,45,23,2,1,0.4444444444444444,0.8695652173913043,1.0,1.0,0.6756756756756757,0.25,2.1518466711044333,0.525708335638047
logistic_regression_balanced,False,val,0.03088731,7.945402677829971,60,44,23,2,1,0.45454545454545453,0.8695652173913043,1.0,1.0,0.6486486486486487,0.26666666666666666,2.274889516830444,0.5731136739253995
logistic_regression_balanced,False,val,0.03088732,8.094095804914396,60,43,23,2,1,0.46511627906976744,0.8695652173913043,1.0,1.0,0.6216216216216216,0.2833333333333333,2.3979323625564595,0.6205190122127536
logistic_regression_balanced,False,val,0.034082333577676684,8.242788931998819,60,42,23,2,1,0.47619047619047616,0.8695652173913043,1.0,1.0,0.5945945945945946,0.3,2.520975208282474,0.6679243505001078
logistic_regression_balanced,False,val,0.03545162,8.242788931998819,60,42,23,2,1,0.47619047619047616,0.8695652173913043,1.0,1.0,0.5945945945945946,0.3,2.520975208282474,0.6679243505001078
logistic_regression_balanced,False,val,0.0396812,7.841236716776771,60,40,23,2,1,0.475,0.8260869565217391,1.0,1.0,0.5675675675675675,0.3333333333333333,0.5565009117126465,0.7627350270748129
logistic_regression_balanced,False,val,0.04343739,7.960248658973307,60,39,23,2,1,0.48717948717948717,0.8260869565217391,1.0,1.0,0.5405405405405406,0.35,0.5631984949111937,0.8077608883380887
logistic_regression_balanced,False,val,0.04773642153561086,7.960248658973307,60,39,23,2,1,0.48717948717948717,0.8260869565217391,1.0,1.0,0.5405405405405406,0.35,0.5631984949111937,0.8077608883380887
