group_field,group_value,sample_count_refined,reference_curvature_mae,refined_curvature_mae,curvature_delta_vs_20_77,reference_dimension_mae_norm,refined_dimension_mae_norm,dimension_delta_vs_20_77,reference_projected_mask_dice,refined_projected_mask_dice,dice_delta_vs_20_77,reference_profile_depth_rmse_m,refined_profile_depth_rmse_m,wLD_abs_error,wWD_abs_error,wLW_abs_error,notes
curvature_template,LD_dominant,8,0.16870633698999882,0.1342136482708156,-0.03449268871918321,0.31542294658720493,0.0,-0.31542294658720493,0.9008601317873146,0.8148219086909394,-0.08603822309637521,0.00030040049568924587,0.0005178510873520281,,,,improved curvature
curvature_template,WD_dominant,8,0.17555983737111092,0.12338983942754567,-0.05216999794356525,0.38593729957938194,0.0,-0.38593729957938194,0.8555611478283319,0.7977525372430123,-0.05780861058531961,0.0003001750992552843,0.00043843951243616175,,,,improved curvature
curvature_template,boxy,7,0.2968375576393945,0.19679628206150873,-0.10004127557788578,0.6720889466149467,0.0,-0.6720889466149467,0.8056992182341187,0.8610178414378228,0.055318623203704065,0.0006749187720872994,0.0005668952508131042,,,,improved curvature
curvature_template,round,8,0.09451494412496686,0.2208224106580019,0.12630746653303504,0.5317787155508995,0.0,-0.5317787155508995,0.8090204753659364,0.8998126574643298,0.09079218209839346,0.00032250385265797377,0.0005271399040793767,,,,curvature not improved
curvature_template,sharp,8,0.2817305736243725,0.3808496706187725,0.09911909699440002,0.31785764906089753,0.0,-0.31785764906089753,0.8622412203628355,0.8028825122120223,-0.05935870815081312,0.00037658578730770387,0.0007265946605912177,,,,curvature not improved
depth_bin,deep,11,0.2155654328790578,0.2154443020170385,-0.00012113086201928636,0.7091377242044969,0.0,-0.7091377242044969,0.831895652371663,0.8587632283118508,0.02686757594018785,0.0007695775711908937,0.0005291650939563459,,,,improved curvature
depth_bin,medium,11,0.18673906949433414,0.23059932853687892,0.043860259042544786,0.3295312306251038,0.0,-0.3295312306251038,0.8592070843925845,0.8594255264241933,0.00021844203160881204,0.00019225778206336227,0.0004377880567600104,,,,curvature not improved
depth_bin,shallow,17,0.2009768773089437,0.19678227000815027,-0.004194607300793435,0.3345433534944759,0.0,-0.3345433534944759,0.8505428368227916,0.8028944419323943,-0.047648394890397294,0.0002671508469468202,0.0006477637302048286,,,,improved curvature
aspect_bin,balanced,9,0.2114582078324424,0.212916761636734,0.0014585538042916069,0.35192714134852093,0.0,-0.35192714134852093,0.8975372401462215,0.8743496918486999,-0.023187548297521565,0.00036364109109854326,0.0006657793128397316,,,,curvature not improved
aspect_bin,compact,9,0.22887498802608913,0.2528662894748979,0.02399130144880879,0.48156961301962536,0.0,-0.48156961301962536,0.7794648406823323,0.7798077712837599,0.00034293060142753795,0.0004155142475307609,0.0004602214838895533,,,,curvature not improved
aspect_bin,narrow,9,0.17697085936864218,0.1815050844517019,0.004534225083059729,0.6532594545019997,0.0,-0.6532594545019997,0.7484987873118312,0.8469878798736928,0.09848909256186167,0.00037920713253293396,0.0003279049576829291,,,,curvature not improved
aspect_bin,wide,12,0.19051832860956588,0.20218210884680352,0.011663780237237631,0.31098246939169866,0.0,-0.31098246939169866,0.935987543094226,0.8365811439909847,-0.09940639910324134,0.00039137425361938466,0.0007136096901376732,,,,curvature not improved
