seed,epoch,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,small_iou,small_dice,small_area_error,small_pred_area_zero,small_pred_area_lt_true,small_pred_area_gt_true,small_composite,medium_iou,medium_dice,medium_area_error,medium_pred_area_zero,medium_pred_area_lt_true,medium_pred_area_gt_true,medium_composite,large_iou,large_dice,large_area_error,large_pred_area_zero,large_pred_area_lt_true,large_pred_area_gt_true,large_composite
42,1,32658.016853027344,59.39705410003662,0.0,0.0,1.0,nan,200,200,0,-1.0,-1.0,0.0,0.0,1.0,67,67,0,-1.0,0.0,0.0,1.0,66,66,0,-1.0,0.0,0.0,1.0,67,67,0,-1.0
42,2,27380.21520263672,70.47481774330139,0.011590108379280907,0.01808872432083266,0.9790540896323319,1.4691538830598196,185,199,1,-0.9493752569322182,-0.9495487735288367,0.0,0.0,1.0,67,67,0,-1.0,0.003922604683881812,0.006796112057751149,0.994970809594148,64,66,0,-0.984252092852515,0.030733280100298233,0.047301514453059045,0.9424290222873523,54,66,1,-0.864394227733995
42,3,24916.976517333984,55.49754883289337,0.1949125974782745,0.2813008240836517,0.5934471939529109,1.417657202504801,68,167,33,-0.1172337723909847,-0.11726693196247588,0.13573184568033891,0.19138440252239855,0.657319959599267,35,53,14,-0.3302037113965296,0.20147836071713005,0.2927587282659307,0.6181359352437664,20,55,11,-0.12389884626070569,0.24762558250360614,0.35993035495788367,0.5052541756916822,13,59,8,0.10230176176980765
42,4,23912.632884521485,53.44882749557495,0.2523229376367231,0.3690129123554861,0.5148474173096317,1.4065006657064647,26,170,30,0.10648843268257757,0.10770695865443435,0.17753881401793128,0.25822204522404446,0.5850408182995382,20,53,14,-0.14927995905756253,0.3161975322700277,0.45426232375674547,0.41904770300099653,3,53,13,0.3514121530257767,0.26418581878091635,0.3958267473603141,0.5390238841461416,3,64,3,0.12098868199508883
42,5,23808.30192993164,59.76951404571533,0.22173732692689682,0.33218747926544906,0.5612695245160443,1.362195290099172,30,191,9,-0.007344718323698429,-0.006536860651650767,0.14694107621842534,0.2210546652399637,0.6028572210819377,22,64,3,-0.2348614796235487,0.2687130125538909,0.39726137988867116,0.5109397186847056,5,62,4,0.1550346737578565,0.25025902164459807,0.3792176449158201,0.5692604426496782,3,65,2,0.060216223910739886
42,6,23274.66115722656,53.103200616836546,0.27872634288796794,0.4025539413035844,0.4375792989155985,1.2383170954294895,29,173,27,0.2437009852759539,0.24431019188879524,0.19290443483182124,0.2799312893847794,0.5148790658264664,22,54,13,-0.042043341609865725,0.3151146962475579,0.4513552770900669,0.40031845888056916,5,59,7,0.3661515144570556,0.3287030073361604,0.47710363558197383,0.3969842400989385,2,60,7,0.4088224028191958
42,7,22770.699384765627,47.11572326421738,0.2767881148472238,0.3966398454836558,0.4401413576035446,1.2757099852572347,28,178,22,0.23328660272733498,0.2340245739685005,0.17968529972777728,0.2558815257983146,0.5320314900979476,22,58,9,-0.09646466457185576,0.31879072191040486,0.45460296311092857,0.39177486281971685,4,58,8,0.3816188222016166,0.3325152274865219,0.48030016870034004,0.3958958319111213,2,62,5,0.4169195642757406
42,8,22693.196950683592,50.39390953063965,0.23444328432069828,0.3450847628823234,0.5441532213250974,1.297645794609225,34,187,13,0.0353748258779244,0.035867466000896374,0.12009048048322304,0.18230996284380407,0.6861188319248411,28,64,3,-0.38371838859781404,0.260635748760709,0.3847375800474054,0.5109778382128,6,61,5,0.13439549059531442,0.3229945560232377,0.468798578847777,0.4348678388658259,0,62,5,0.35692529600518874
42,9,22955.05017211914,47.39974457263946,0.20970221140149778,0.31120308305937094,0.6149789619224715,1.3170108649879695,40,189,11,-0.09407366746160273,-0.09327187575193951,0.08745771956650504,0.13429152378462564,0.7865020848468732,33,64,3,-0.5647528414957426,0.25160937625947466,0.36840049266647346,0.5529234027452463,6,61,5,0.0670864661807018,0.2906650184510207,0.4317709254077168,0.5045851957995153,1,64,3,0.21785074805922222
42,10,22506.180080566406,50.24459995746613,0.2713301276657688,0.39213371672659364,0.46665556125661295,1.2643119377651433,26,178,21,0.19680828313574944,0.19749018174633806,0.1620054113759592,0.23905116205039306,0.5609842567669999,22,61,6,-0.15992768334064766,0.3133530775553886,0.4510293591154998,0.4305125328068316,4,57,9,0.33386990386405685,0.33925910227326633,0.4871996684525286,0.4079304460101898,0,60,6,0.4185283247156051
