group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
component_types=rectangular_notch+rectangular_notch,train,6,0.6983525758463944,0.8212980287570284,0.15344650462526668,2.1034788404213223,530.3333333333334,511.6666666666667,0,0.2654695486028989,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rotated_rect,train,5,0.6980722449952687,0.8198446499144227,0.15324745027501696,1.644323487567312,499.8,508.4,0,0.26592707335948945,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rotated_rect+rotated_rect,train,5,0.6358923208173651,0.772085412315966,0.3148003717349363,1.754267469138712,519.2,545.8,0,0.31884353756904604,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rectangular_notch,val,1,0.7638190954773869,0.8660968660968661,0.09760956175298804,0.49543787175545617,551.0,502.0,0,0.26681768894195557,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rotated_rect,val,2,0.657964319847085,0.7904567787038027,0.06652132021260897,1.1206952196122277,549.5,594.0,0,0.2769545093178749,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rotated_rect+rotated_rect,val,1,0.6956521739130435,0.8205128205128205,0.023952095808383235,3.4747046212244435,513.0,501.0,0,0.27532145380973816,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rectangular_notch,test,1,0.5795795795795796,0.7338403041825095,0.09145129224652088,1.5896846296347953,549.0,503.0,0,0.3739640712738037,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rotated_rect,test,1,0.577120822622108,0.7318663406682967,0.17410714285714285,1.2000111701627176,555.0,672.0,0,0.36864858865737915,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rotated_rect+rotated_rect,test,2,0.5703200337122515,0.716508819974474,0.32524437081959956,1.1860557226583075,550.5,425.0,0,0.4200335741043091,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rectangular_notch,all,8,0.6916892662669165,0.8159656678526933,0.13871748521888866,1.8382494429897733,535.25,509.375,0,0.2791998814791441,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rectangular_notch+rotated_rect,all,8,0.6729263359115776,0.801500393456002,0.1341733793321807,1.4578773809029666,519.125,550.25,0,0.281524121761322,2.0,1.0,0.0,0.0,0.0,1.0
component_types=rotated_rect+rotated_rect,all,8,0.6269692306780466,0.7642446902551998,0.28105533701528296,1.8272691765293272,526.25,510.0,0,0.3387007862329483,2.0,1.0,0.0,0.0,0.0,1.0
