sample_index,defect_type,true_area,pred_area,area_ratio,area_error,iou,dice,center_error,complexity_level,area_bin,num_vertices,num_defects
0,polygon,1.583678089636237,3.9896505719682125,2.519230769230769,1.5192307692307692,0.11246200607902736,0.20218579234972678,1.2846617698669434,2,small,9,1
1,polygon,26.00886708748743,33.5922487090148,1.2915690866510539,0.29156908665105385,0.454477889260498,0.6249361267245784,1.4809752702713013,2,large,8,1
2,multi_defect,19.110730793206514,36.36368536587821,1.902788844621514,0.902788844621514,0.38833841463414637,0.559429041998353,0.38445934653282166,3,large,,3
3,polygon,1.7816378508407666,4.324659398622032,2.427350427350427,1.4273504273504274,0.0,0.0,2.6326913833618164,2,small,6,1
4,multi_defect,21.77557373249826,30.196477420660173,1.3867132867132868,0.3867132867132867,0.5881805490926012,0.7406973337239965,0.4804409146308899,3,large,,3
5,rotated_rect,5.801743770686599,17.176816202977648,2.9606299212598426,1.9606299212598426,0.3144599303135889,0.4784625579854208,1.4234936237335205,2,medium,,1
6,polygon,0.7309283490628786,0.6700176533076387,0.9166666666666666,0.08333333333333333,0.0,0.0,1.5262622833251953,2,small,6,1
7,multi_defect,21.71466303674302,44.921638119489415,2.0687237026647964,1.0687237026647967,0.3390452876376989,0.506398537477148,0.5945568680763245,3,large,,3
8,polygon,3.228266875027714,15.94337461393404,4.938679245283019,3.938679245283019,0.18327067669172933,0.30976965845909454,1.6579434871673584,2,medium,7,1
9,triangle,14.740388372768052,22.17149325490732,1.5041322314049588,0.5041322314049587,0.3702656868287168,0.5404290429042904,1.7668815851211548,1,large,,1
10,rect,5.969248184013509,16.62861994118049,2.7857142857142856,1.7857142857142858,0.3051890941072999,0.46765498652291104,1.4528875350952148,1,medium,,1
11,polygon,0.7309283490628786,2.025280633861726,2.7708333333333335,1.7708333333333333,0.1830065359477124,0.30939226519337015,0.6792392730712891,2,small,8,1
12,polygon,0.4720578921031091,1.9186869162900564,4.064516129032258,3.064516129032258,0.0979020979020979,0.17834394904458598,0.7847878336906433,2,small,5,1
13,polygon,4.948994030113241,17.755467812652427,3.5876923076923077,2.5876923076923077,0.1814580031695721,0.3071763916834339,1.9024105072021484,2,medium,5,1
14,multi_defect,16.78089668056859,34.384087753832915,2.0490018148820326,1.0490018148820326,0.3466933867735471,0.5148809523809523,1.4213656187057495,3,large,,3
15,multi_defect,25.78045197840528,35.96776584346915,1.3951565268753692,0.3951565268753692,0.36073825503355705,0.530209617755857,1.137656331062317,3,large,,3
16,rect,9.441157842062182,12.273505194680837,1.3,0.3,0.1755976916735367,0.29873772791023845,1.8621355295181274,1,large,,1
17,rect,5.11649844344015,18.060021291428626,3.5297619047619047,2.5297619047619047,0.28330522765598654,0.44152431011826543,1.1188324689865112,1,medium,,1
18,polygon,12.623741695273466,19.811203794391773,1.569360675512666,0.5693606755126659,0.4689655172413793,0.6384976525821596,0.5145729780197144,2,large,6,1
19,polygon,2.2536957429438758,6.547899793688288,2.9054054054054053,1.9054054054054055,0.31662870159453305,0.4809688581314879,0.4051033556461334,2,medium,7,1
20,multi_defect,17.009311789650738,31.99334294543975,1.8809310653536258,0.8809310653536258,0.3325051759834369,0.4990677439403356,1.294565200805664,3,large,,2
21,polygon,0.5786516096747789,2.4059724823319755,4.157894736842105,3.1578947368421053,0.0,0.0,1.9388995170593262,2,small,7,1
22,polygon,10.30913525657435,17.054994811467168,1.654357459379616,0.654357459379616,0.31072210065645517,0.4741235392320534,0.3174970746040344,2,large,6,1
23,multi_defect,8.420903688161914,16.70475831087454,1.9837251356238699,0.9837251356238698,0.30537974683544306,0.4678787878787879,0.09212009608745575,3,large,,2
24,ellipse,25.003840607525973,23.907448083931655,0.9561510353227771,0.0438489646772229,0.45933666515220356,0.6295143212951432,0.49648794531822205,1,large,,1
25,multi_defect,23.130836713052346,23.389707170012116,1.011191573403555,0.01119157340355497,0.3363954505686789,0.5034369885433715,1.9813815355300903,3,large,,3
26,rotated_rect,16.67430296299692,18.090476639306246,1.084931506849315,0.08493150684931507,0.5594262295081968,0.7174770039421814,0.9343690276145935,2,large,,1
27,ellipse,4.735806594969901,19.141186141084134,4.041800643086817,3.0418006430868165,0.22118380062305296,0.3622448979591837,1.1093319654464722,1,medium,,1
28,multi_defect,14.039915371582794,17.207271550855268,1.2255965292841648,0.22559652928416485,0.38742393509127787,0.5584795321637427,1.7192293405532837,3,large,,2
29,polygon,1.111620197533128,1.2182139151047977,1.095890410958904,0.0958904109589041,0.0,0.0,3.3918561935424805,2,small,7,1
30,triangle,6.928591642158537,19.156413815022944,2.764835164835165,1.7648351648351648,0.33828125,0.5055458260361938,1.0582398176193237,1,medium,,1
31,multi_defect,27.623000525001288,31.0035441394171,1.1223814773980154,0.12238147739801543,0.4419475655430712,0.612987012987013,0.8069044947624207,3,large,,2
32,multi_defect,22.08012721127446,21.80602908037588,0.9875862068965517,0.012413793103448275,0.3238401469912724,0.4892435808466343,1.4835748672485352,3,large,,3
33,polygon,1.4618566981257572,2.086191329616966,1.4270833333333333,0.4270833333333333,0.14215686274509803,0.24892703862660945,0.9144925475120544,2,small,8,1
34,rect,11.268478714719379,22.04967186339684,1.9567567567567568,0.9567567567567568,0.39363057324840767,0.5648994515539305,1.6007381677627563,1,large,,1
35,polygon,0.9441157842062182,2.573476895658885,2.725806451612903,1.7258064516129032,0.01762114537444934,0.03463203463203463,0.9571543335914612,2,small,5,1
36,multi_defect,17.298637594488127,28.049375395287967,1.6214788732394365,0.6214788732394366,0.41539923954372626,0.5869711215580927,0.1719428300857544,3,large,,3
