sample_index,defect_type,true_area,pred_area,area_ratio,area_error,iou,dice,center_error,complexity_level,area_bin,num_vertices,num_defects
37,multi_defect,28.140741438920827,36.98801999736942,1.3143939393939394,0.3143939393939394,0.5199004975124378,0.6841243862520459,0.41290006041526794,3,large,,3
38,multi_defect,16.17178972301619,27.28799169834747,1.6873822975517891,0.687382297551789,0.47417355371900827,0.6433076384022425,0.4724992513656616,3,large,,2
39,triangle,7.872707426364755,17.405231312059797,2.2108317214700195,1.2108317214700193,0.24905944319036868,0.39879518072289155,2.0972490310668945,1,large,,1
40,ellipse,24.257684584524284,33.72929777446409,1.3904582548650346,0.39045825486503455,0.4601226993865031,0.6302521008403361,1.9305988550186157,1,large,,1
41,multi_defect,12.532375651640606,26.00886708748743,2.075334143377886,1.0753341433778858,0.3952590959206174,0.5665744764915054,0.6133753657341003,3,large,,2
42,multi_defect,15.151535569115921,33.5922487090148,2.2170854271356784,1.2170854271356784,0.2970016207455429,0.457981880662293,1.752987027168274,3,large,,2
43,circle,15.59313811334141,18.684355922919835,1.1982421875,0.1982421875,0.48777263714474556,0.6557085739671257,1.334198236465454,1,large,,1
44,polygon,23.435390191828546,30.653307638824472,1.307992202729045,0.3079922027290448,0.5654473336271485,0.7224099099099099,1.1121129989624023,2,large,5,1
45,ellipse,13.826727936439454,20.55735981739346,1.486784140969163,0.486784140969163,0.3972772277227723,0.5686448184233835,1.339738368988037,1,large,,1
46,triangle,10.29390758263554,18.273208726571966,1.7751479289940828,0.7751479289940828,0.5276872964169381,0.6908315565031983,0.07446683943271637,1,large,,1
47,triangle,15.212446264871161,23.404934843950926,1.5385385385385386,0.5385385385385385,0.3215216258467952,0.4865930599369085,2.07708740234375,1,large,,1
48,rotated_rect,15.82155322242356,18.988909401696034,1.2001924927815206,0.20019249278152068,0.6493506493506493,0.7874015748031497,0.08464744687080383,2,large,,1
49,rect,9.136604363285983,23.998814127564515,2.6266666666666665,1.6266666666666667,0.38071065989847713,0.5514705882352942,0.7967820763587952,1,large,,1
50,multi_defect,23.587666931216646,38.08441252096374,1.6145900581020014,0.6145900581020013,0.2993262752646776,0.46074074074074073,1.2207833528518677,3,large,,3
51,circle,21.01419003555776,41.31267939599145,1.9659420289855072,0.9659420289855073,0.4306186648025166,0.6020034204739799,1.4621200561523438,1,large,,1
52,polygon,21.075100731313,27.39458541591914,1.2998554913294798,0.29985549132947975,0.4736111111111111,0.6427898209236569,1.084322214126587,2,large,5,1
53,polygon,4.020105919845832,10.111175495369821,2.515151515151515,1.5151515151515151,0.2389853137516689,0.3857758620689655,1.328044056892395,2,medium,6,1
54,rect,10.96392523594318,19.704610076820103,1.7972222222222223,0.7972222222222223,0.545663852647736,0.7060575968222443,0.28596293926239014,1,large,,1
55,circle,15.410406026075691,17.907744552040526,1.1620553359683794,0.16205533596837945,0.8127589063794531,0.896709323583181,0.2179625928401947,1,large,,1
56,circle,26.06977778324267,25.262711064485742,0.9690420560747663,0.030957943925233645,0.717269485481406,0.8353604271729457,0.6069275736808777,1,large,,1
57,rotated_rect,5.10127076950134,8.040211839691665,1.5761194029850747,0.5761194029850746,0.026159334126040427,0.05098493626882966,2.1820764541625977,2,medium,,1
58,rotated_rect,7.659519991221416,19.521877989554383,2.548707753479125,1.5487077534791251,0.25,0.4,2.0279839038848877,2,large,,1
59,circle,27.531634481368428,39.576724566967115,1.4375,0.4375,0.5249134948096886,0.6884501928749717,1.541922926902771,1,large,,1
60,multi_defect,26.98343821957127,39.287398762129726,1.4559819413092552,0.45598194130925507,0.4482529118136439,0.6190257352941176,0.5669623613357544,3,large,,3
61,multi_defect,29.633053484924204,45.408923685531335,1.5323741007194245,0.5323741007194245,0.4346433770014556,0.6059253246753247,0.9595545530319214,3,large,,3
62,triangle,16.11087902726095,21.57761397129373,1.339319470699433,0.3393194706994329,0.3019463440294582,0.4638383838383838,2.319002866744995,1,large,,1
63,rotated_rect,16.59816459330287,21.80602908037588,1.3137614678899083,0.3137614678899083,0.6613965744400527,0.796193497224425,0.5349913239479065,2,large,,1
64,rotated_rect,6.319484684606138,15.242901612748781,2.4120481927710844,1.4120481927710844,0.2475770925110132,0.3968926553672316,1.8777743577957153,2,medium,,1
65,multi_defect,21.34919886221158,33.790208470219326,1.5827389443651927,0.5827389443651926,0.43633478778262597,0.6075669704501518,0.25933951139450073,3,large,,3
66,circle,27.820960286205818,33.48565499144313,1.2036124794745484,0.20361247947454844,0.6332657200811359,0.7754595131644312,0.974532425403595,1,large,,1
67,rect,12.364871238313697,22.963332299725437,1.8571428571428572,0.8571428571428571,0.500646830530401,0.6672413793103448,0.9301427602767944,1,large,,1
68,multi_defect,18.790949640491505,26.45046963171292,1.407617504051864,0.40761750405186387,0.5990312163616792,0.7492426792325816,0.4481399953365326,3,large,,2
69,multi_defect,12.349643564374887,29.404638375842055,2.381011097410604,1.3810110974106042,0.3362573099415205,0.5032822757111597,0.7490248084068298,3,large,,2
70,polygon,1.035481827839078,4.248521028927982,4.102941176470588,3.1029411764705883,0.22614840989399293,0.3688760806916426,0.25702807307243347,2,small,6,1
71,multi_defect,23.130836713052346,39.272171088190916,1.6978275181040159,0.6978275181040158,0.3724045545880777,0.5427037579306979,1.2994067668914795,3,large,,3
72,polygon,5.28400285676706,12.212594498925597,2.3112391930835736,1.3112391930835734,0.2866741321388578,0.4456048738033072,0.7453417181968689,2,medium,5,1
73,ellipse,8.923416928142643,17.999110595673386,2.0170648464163823,1.0170648464163823,0.4745621351125938,0.6436651583710408,0.5822348594665527,1,large,,1
74,polygon,1.1877585672271778,2.4668831780872154,2.076923076923077,1.0769230769230769,0.18226600985221675,0.30833333333333335,1.124337077140808,2,small,7,1
75,triangle,11.146657323208899,23.876992736054035,2.1420765027322406,1.1420765027322404,0.32412204951065055,0.4895652173913044,1.74967622756958,1,large,,1
76,polygon,11.116201975331279,22.09535488521327,1.9876712328767123,0.9876712328767123,0.344636251541307,0.5126088950022926,1.855149507522583,2,large,9,1
77,polygon,3.685097093192013,15.94337461393404,4.3264462809917354,3.3264462809917354,0.08501683501683502,0.15671062839410396,1.9739406108856201,2,medium,5,1
78,circle,13.994232349766364,16.61339226724168,1.1871599564744286,0.18715995647442873,0.7194183062446535,0.83681592039801,0.22859437763690948,1,large,,1
79,rotated_rect,15.166763243054731,19.750293098636533,1.3022088353413654,0.30220883534136544,0.7517188693659282,0.8582642825992151,0.14403067529201508,2,large,,1
80,multi_defect,24.379505976034764,36.01344886528558,1.4772017489069331,0.4772017489069332,0.4379985496736766,0.6091780131114473,1.076012134552002,3,large,,3
81,multi_defect,22.689234168826857,35.40434190773318,1.5604026845637584,0.5604026845637584,0.30829903978052126,0.47129750982961993,1.1210310459136963,3,large,,3
82,multi_defect,13.324214696458725,32.45017316360405,2.4354285714285715,1.4354285714285715,0.3871712044300877,0.5582168995342648,0.6077669262886047,3,large,,2
83,polygon,1.3248076326764675,1.9186869162900564,1.4482758620689655,0.4482758620689655,0.24561403508771928,0.39436619718309857,0.6705948114395142,2,small,5,1
84,polygon,5.0403600737461005,10.93346988806556,2.1691842900302114,1.1691842900302114,0.3414322250639386,0.5090562440419447,1.0312752723693848,2,medium,9,1
85,multi_defect,18.745266618675075,43.91661163952796,2.3428107229894395,1.3428107229894395,0.3030398986700443,0.46512758201701093,1.1501208543777466,3,large,,3
86,polygon,0.9441157842062182,1.9034592423512464,2.0161290322580645,1.0161290322580645,0.0,0.0,1.950780987739563,2,small,6,1
87,rect,7.766113708793085,14.283558154603753,1.8392156862745097,0.8392156862745098,0.41130604288499023,0.5828729281767956,1.2945598363876343,1,large,,1
88,multi_defect,13.704906544928974,23.709488322727125,1.73,0.73,0.33896457765667576,0.5063085063085063,0.9140421152114868,3,large,,2
89,ellipse,6.517444445810668,17.694557116897187,2.7149532710280373,1.7149532710280373,0.2,0.3333333333333333,0.1923178881406784,1,medium,,1
90,ellipse,25.293166412363362,25.62817523901718,1.0132450331125828,0.013245033112582781,0.36824877250409166,0.5382775119617225,2.232563018798828,1,large,,1
91,ellipse,11.177112671086519,23.861765062115225,2.1348773841961854,1.1348773841961852,0.27975528364849833,0.4372012168622338,1.8087843656539917,1,large,,1
92,triangle,9.060465993591933,13.506946783724445,1.4907563025210084,0.4907563025210084,0.29094076655052264,0.4507422402159244,1.870696783065796,1,large,,1
93,polygon,3.761235462886063,14.192192110970893,3.7732793522267207,2.7732793522267207,0.08065994500458296,0.14927905004240882,2.1736538410186768,2,medium,5,1
94,rotated_rect,10.29390758263554,21.80602908037588,2.1183431952662723,1.1183431952662721,0.4138162307176392,0.5853889943074004,1.064745545387268,2,large,,1
95,circle,9.334564124490512,22.887193930031387,2.4518760195758564,1.4518760195758564,0.4078509647371923,0.5793950850661626,0.4083279073238373,1,large,,1
96,rotated_rect,9.014782971775503,15.5779104394026,1.7280405405405406,0.7280405405405406,0.3514644351464435,0.5201238390092879,1.7330931425094604,2,large,,1
97,multi_defect,20.6182705131487,27.897098655899867,1.3530280649926145,0.35302806499261447,0.3563218390804598,0.5254237288135594,0.45568886399269104,3,large,,3
98,rotated_rect,8.040211839691665,17.161588529038838,2.134469696969697,1.134469696969697,0.3930976430976431,0.5643504531722054,0.5636656284332275,2,large,,1
99,multi_defect,19.856886816208203,30.592396943069232,1.540644171779141,0.5406441717791411,0.5866858237547893,0.7395110172049502,0.5924236178398132,3,large,,3
100,rect,12.669424717089896,22.354225342173038,1.7644230769230769,0.7644230769230769,0.49642160052049444,0.6634782608695652,1.1664100885391235,1,large,,1
101,triangle,15.71495950485189,29.693964180679444,1.8895348837209303,0.8895348837209303,0.33065595716198126,0.4969818913480885,2.0853774547576904,1,large,,1
102,rotated_rect,15.89769159211761,25.82613500022171,1.6245210727969348,0.6245210727969349,0.5967365967365967,0.7474452554744525,0.6323543190956116,2,large,,1
103,multi_defect,15.060169525483062,26.08500545718148,1.7320525783619818,0.7320525783619818,0.3356401384083045,0.5025906735751295,0.5406548976898193,3,large,,3
104,polygon,1.7207271550855268,4.096244289539882,2.3805309734513274,1.3805309734513274,0.3037542662116041,0.46596858638743455,0.7213567495346069,2,small,6,1
105,polygon,5.954020510074699,20.298489360433692,3.4092071611253196,2.4092071611253196,0.2933233308327082,0.45359628770301624,0.8487547636032104,2,medium,9,1
106,polygon,1.1877585672271778,2.3907448083931655,2.0128205128205128,1.0128205128205128,0.05855855855855856,0.11063829787234042,1.046182632446289,2,small,7,1
107,multi_defect,16.44588785391477,28.186424460737257,1.7138888888888888,0.7138888888888889,0.34264773247824093,0.5104060047765268,0.24878795444965363,3,large,,3
108,multi_defect,13.202393304948245,29.115312571004665,2.205305651672434,1.2053056516724336,0.3602545276554087,0.5296869377473912,0.31788983941078186,3,large,,2
109,multi_defect,15.288584634565211,32.99836942540121,2.158366533864542,1.158366533864542,0.41942703670546105,0.5909807631661936,0.926230251789093,3,large,,3
110,multi_defect,27.927554003777487,21.13601142706824,0.7568157033805889,0.24318429661941113,0.5190947666195191,0.6834264432029795,0.19345226883888245,3,large,,3
111,polygon,5.740833074931359,12.578058673457036,2.1909814323607426,1.1909814323607426,0.28525641025641024,0.44389027431421446,1.5555752515792847,2,medium,5,1
112,multi_defect,15.181990916993541,39.896505719682125,2.6278836509528585,1.6278836509528585,0.3649056603773585,0.534697262925076,0.7689605951309204,3,large,,3
113,polygon,1.2791246108600376,3.715552441069633,2.9047619047619047,1.9047619047619047,0.1388888888888889,0.24390243902439024,1.1921406984329224,2,small,9,1
114,multi_defect,16.62861994118049,28.536660961329886,1.716117216117216,0.7161172161172161,0.3951081843838194,0.5664194200944033,0.8912250399589539,3,large,,2
115,polygon,2.131874351433396,4.172382659233932,1.957142857142857,0.9571428571428572,0.33548387096774196,0.5024154589371981,0.3948654532432556,2,medium,6,1
116,multi_defect,13.628768175234924,17.024539463589548,1.2491620111731843,0.24916201117318434,0.3234714003944773,0.488822652757079,1.3940625190734863,3,large,,2
117,multi_defect,23.130836713052346,36.1961809525513,1.564845292955892,0.564845292955892,0.3251700680272109,0.49075975359342916,1.5987211465835571,3,large,,3
118,polygon,20.039618903473922,39.180805044558056,1.9551671732522797,0.9551671732522796,0.4441143705904196,0.6150681409102597,0.17955349385738373,2,large,8,1
119,multi_defect,11.02483593169842,35.099788428956984,3.1837016574585637,2.1837016574585637,0.2652464494569758,0.4192802905249257,1.7109010219573975,3,large,,2
120,multi_defect,21.82125675431469,40.368563611785234,1.8499651081646895,0.8499651081646895,0.43752199929602253,0.60871694417238,0.3350096046924591,3,large,,3
121,ellipse,17.618418747203137,20.99896236161895,1.1918755401901469,0.19187554019014694,0.3340347185691741,0.500788643533123,1.7233879566192627,1,large,,1
122,polygon,0.502513239980729,1.553222741758617,3.090909090909091,2.090909090909091,0.0,0.0,2.61879825592041,2,small,5,1
123,multi_defect,19.080275445328894,34.155672644750766,1.7901037509976057,0.7901037509976058,0.4269387755102041,0.5983981693363845,1.0868117809295654,3,large,,3
124,rect,4.903311008296811,16.6438476151193,3.3944099378881987,2.3944099378881987,0.29341864716636196,0.45371024734982335,1.2088268995285034,1,medium,,1
125,rect,10.87255919231032,22.476046733683518,2.0672268907563027,1.0672268907563025,0.3394495412844037,0.5068493150684932,1.9576166868209839,1,large,,1
126,multi_defect,17.283409920549317,28.353928874064167,1.6405286343612335,0.6405286343612335,0.5060301507537689,0.6720053386720053,0.3241235613822937,3,large,,3
127,ellipse,21.86693977613112,37.84076973794278,1.7305013927576602,0.7305013927576601,0.431021897810219,0.6023973476154042,1.6857799291610718,1,large,,1
128,multi_defect,19.125958467145324,27.0291212413877,1.4132165605095541,0.41321656050955413,0.46779661016949153,0.6374133949191686,1.358919620513916,3,large,,3
129,triangle,7.294055816689976,18.836632662307935,2.5824634655532357,1.582463465553236,0.38164251207729466,0.5524475524475524,0.7720394134521484,1,medium,,1
130,polygon,1.3400353066152775,5.46673494403278,4.079545454545454,3.0795454545454546,0.23822714681440443,0.38478747203579416,0.3581007122993469,2,small,8,1
131,polygon,0.9897988060226481,1.7968655247795766,1.8153846153846154,0.8153846153846154,0.0,0.0,2.726741075515747,2,small,7,1
132,rotated_rect,7.644292317282606,16.29361111452667,2.1314741035856573,1.1314741035856575,0.3198992443324937,0.4847328244274809,1.9118094444274902,2,large,,1
133,polygon,9.928443408104101,15.68450415697427,1.5797546012269938,0.5797546012269938,0.3223270440251572,0.4875148632580262,1.4149904251098633,2,large,6,1
134,circle,10.27867990869673,18.455940813837685,1.7955555555555556,0.7955555555555556,0.556930693069307,0.7154213036565977,0.39322176575660706,1,large,,1
135,rotated_rect,10.78119314867746,15.136307895177112,1.4039548022598871,0.403954802259887,0.607176581680831,0.7555816686251469,0.6566371917724609,2,large,,1
136,triangle,9.121376689347173,16.948401093895498,1.8580968280467445,0.8580968280467446,0.4350377200335289,0.6063084112149533,0.9865923523902893,1,large,,1
137,multi_defect,28.171196786798447,49.24629751811145,1.748108108108108,0.7481081081081081,0.4974963181148748,0.6644374508261212,0.7526984810829163,3,large,,3
138,multi_defect,16.902718072079068,13.141482609193005,0.7774774774774775,0.22252252252252253,0.27867790019442645,0.4358844399391789,2.1902213096618652,3,large,,2
139,polygon,3.3805436144158136,9.654345277205522,2.855855855855856,1.8558558558558558,0.03132530120481928,0.06074766355140187,2.564918279647827,2,medium,8,1
140,rect,9.806622016593622,12.958750521927286,1.3214285714285714,0.32142857142857145,0.3079615048118985,0.4709030100334448,1.5775278806686401,1,large,,1
141,multi_defect,12.273505194680837,23.998814127564515,1.9553349875930521,0.9553349875930521,0.471278567016677,0.6406381192275399,0.44114169478416443,3,large,,2
142,polygon,1.4009460023705174,5.20786448707301,3.717391304347826,2.717391304347826,0.23295454545454544,0.3778801843317972,0.680420994758606,2,small,9,1
143,polygon,2.9237133962515145,7.644292317282606,2.6145833333333335,1.6145833333333333,0.3193916349809886,0.484149855907781,0.46109724044799805,2,medium,5,1
144,circle,15.410406026075691,22.902421603970197,1.4861660079051384,0.48616600790513836,0.5833857772183764,0.7368839427662957,1.1085705757141113,1,large,,1
145,rotated_rect,7.309283490628786,15.63882113515784,2.1395833333333334,1.1395833333333334,0.26214405360134,0.41539482415394824,2.1307754516601562,2,medium,,1
146,rect,12.471464955885367,20.60304283920989,1.652014652014652,0.652014652014652,0.4085603112840467,0.580110497237569,1.6661903858184814,1,large,,1
147,multi_defect,9.106149015408363,21.075100731313,2.31438127090301,1.31438127090301,0.3455532926001358,0.513622603430878,0.9337023496627808,3,large,,2
148,multi_defect,23.252658104562826,26.08500545718148,1.1218074656188606,0.12180746561886051,0.5682478218780251,0.7246913580246913,0.2926657497882843,3,large,,2
149,rotated_rect,13.019661217682525,25.110434325097643,1.9286549707602338,0.928654970760234,0.35205183585313177,0.5207667731629393,1.885939121246338,2,large,,1
150,multi_defect,15.69973183091308,25.232255716608122,1.6071774975751698,0.6071774975751697,0.4192185850052798,0.5907738095238095,0.8643448352813721,3,large,,2
151,multi_defect,30.105111377027313,28.871669787983706,0.9590288315629742,0.0409711684370258,0.4604072398190045,0.6305189775367932,1.1564418077468872,3,large,,3
152,polygon,8.512269731794774,20.7705472525368,2.440071556350626,1.4400715563506261,0.25850785340314136,0.4108164326573063,2.1734201908111572,2,large,9,1
153,rotated_rect,7.629064643343796,21.48624792766087,2.816367265469062,1.816367265469062,0.33706293706293705,0.50418410041841,0.5995617508888245,2,large,,1
154,polygon,5.42105192221635,19.506650315615573,3.598314606741573,2.598314606741573,0.2779078844652615,0.43494196701282833,0.48545435070991516,2,medium,8,1
155,ellipse,14.770843720645672,32.25221340239952,2.183505154639175,1.1835051546391753,0.3281720430107527,0.49417098445595853,1.7521827220916748,1,large,,1
156,rotated_rect,9.258425754796463,22.399908363989468,2.419407894736842,1.419407894736842,0.32420382165605094,0.4896584896584897,1.7410469055175781,2,large,,1
157,polygon,4.431253116193702,13.004433543743716,2.9347079037800685,1.9347079037800687,0.3070776255707763,0.4698689956331878,0.45403769612312317,2,medium,7,1
158,polygon,4.842400312541571,3.4566819841098635,0.7138364779874213,0.2861635220125786,0.02830188679245283,0.05504587155963303,1.5685114860534668,2,medium,5,1
159,circle,17.770695486591237,22.704461842765667,1.2776349614395888,0.2776349614395887,0.7815013404825737,0.8773513920240783,0.1575637012720108,1,large,,1
160,multi_defect,24.729742476627393,43.96229466134439,1.7777093596059113,0.7777093596059114,0.4194461925739459,0.590999778319663,0.597377359867096,3,large,,3
161,triangle,6.243346314912088,8.466586709978344,1.3560975609756099,0.35609756097560974,0.17804878048780487,0.3022774327122153,2.5183281898498535,1,medium,,1
162,polygon,2.4212001562707854,8.131577883324525,3.358490566037736,2.358490566037736,0.2785977859778598,0.4357864357864358,0.7225006818771362,2,medium,9,1
163,circle,9.197515059041223,19.141186141084134,2.0811258278145695,1.0811258278145695,0.4805091487669053,0.6491133799032778,0.9290645122528076,1,large,,1
164,polygon,11.344617084413429,20.298489360433692,1.789261744966443,0.789261744966443,0.3476005188067445,0.5158806544754572,1.2059272527694702,2,large,5,1
165,multi_defect,19.933025185902252,28.749848396473226,1.442322383498854,0.4423223834988541,0.37920621225194134,0.5498905223647169,1.3623592853546143,3,large,,2
166,circle,26.98343821957127,30.105111377027313,1.1156884875846502,0.11568848758465011,0.7826913932477413,0.87810082688717,0.37617141008377075,1,large,,1
167,triangle,9.030010645714313,21.34919886221158,2.3642495784148396,1.3642495784148398,0.4128895184135977,0.5844611528822055,0.6418237686157227,1,large,,1
168,polygon,3.730780115008443,7.263600468812356,1.9469387755102041,0.9469387755102041,0.28698752228163993,0.44598337950138506,0.6799627542495728,2,medium,7,1
169,multi_defect,26.80070613230555,33.851119165974566,1.263068181818182,0.2630681818181818,0.5266385588348026,0.6899322119005774,0.31740912795066833,3,large,,3
170,ellipse,5.46673494403278,18.988909401696034,3.4735376044568245,2.4735376044568245,0.28685897435897434,0.44582814445828145,0.3285679221153259,1,medium,,1
171,triangle,15.090624873360682,30.94263344366186,2.0504540867810293,1.0504540867810293,0.4646317829457364,0.6344690704598082,0.06612439453601837,1,large,,1
172,polygon,1.2943522847988476,6.075841901585179,4.694117647058824,3.6941176470588237,0.1152073732718894,0.2066115702479339,1.5095789432525635,2,small,6,1
173,rotated_rect,14.359696524297803,20.100529599229162,1.3997879109225875,0.3997879109225875,0.5628453038674033,0.7202828104286345,0.24325378239154816,2,large,,1
174,polygon,12.029862411659877,15.94337461393404,1.3253164556962025,0.32531645569620254,0.47906602254428343,0.6477953184540011,1.1691006422042847,2,large,6,1
175,polygon,1.6750441332690968,1.9339145902288664,1.1545454545454545,0.15454545454545454,0.07239819004524888,0.1350210970464135,1.2010071277618408,2,small,7,1
176,polygon,1.4770843720645672,3.5328203538039133,2.3917525773195876,1.3917525773195876,0.1267123287671233,0.22492401215805471,1.2441425323486328,2,small,9,1
177,rect,10.55277803959531,23.328796474256876,2.2106782106782106,1.2106782106782106,0.3683886838868389,0.5384269662921348,0.7915723323822021,1,large,,1
178,multi_defect,26.28296521838601,29.358955354025625,1.1170336037079953,0.11703360370799537,0.17757009345794392,0.30158730158730157,0.9832831025123596,3,large,,3
179,multi_defect,10.004581777798151,15.71495950485189,1.5707762557077625,0.5707762557077626,0.2595078299776286,0.41207815275310833,1.451304316520691,3,large,,2
180,ellipse,25.68908593477242,24.364278302095954,0.948429164196799,0.051570835803200946,0.6668356997971603,0.8001216915120171,0.17895327508449554,1,large,,1
181,multi_defect,17.542280377509087,19.141186141084134,1.0911458333333333,0.09114583333333333,0.2652310924369748,0.41926110419261103,1.2703971862792969,3,large,,2
182,polygon,20.161440294984402,26.67888474079507,1.3232628398791542,0.32326283987915405,0.4162062615101289,0.58777633289987,0.6438599824905396,2,large,8,1
183,circle,10.080720147492201,17.131133181161218,1.6993957703927491,0.6993957703927492,0.4273162939297125,0.5987688864017907,1.3932794332504272,1,large,,1
184,polygon,1.020254153900268,2.695298287169365,2.6417910447761193,1.6417910447761195,0.0,0.0,2.8665802478790283,2,small,8,1
185,polygon,3.289177570782954,4.035333593784642,1.2268518518518519,0.22685185185185186,0.12121212121212122,0.21621621621621623,1.2396413087844849,2,medium,7,1
186,rect,6.532672119749478,18.638672901103405,2.8531468531468533,1.8531468531468531,0.3395461912479741,0.5069570477918935,1.3488084077835083,1,medium,,1
