sample_id,split,defect_type,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
sample_001,train,rectangular_notch,0.6,0.8762475049900199,0.9340425531914893,0.041666666666666664,0.9251398504610835,460,480,0,0.017354357987642288,0.08154642581939697,0.09890078008174896,0.0,1.0,0.05581887066364288,pilot_v2_training_gate_only
sample_002,train,rectangular_notch,0.6,0.6985074626865672,0.8224956063268892,0.43162393162393164,0.505617805377468,335,234,0,0.0373724102973938,0.20200806856155396,0.23938047885894775,0.0,0.999998927116394,0.042815715074539185,pilot_v2_training_gate_only
sample_003,train,rectangular_notch,0.6,0.8033333333333333,0.8909426987060998,0.06095238095238095,1.8767825454767952,557,525,0,0.04161854833364487,0.12207901477813721,0.16369757056236267,0.0,0.9999998807907104,0.06972812116146088,pilot_v2_training_gate_only
sample_004,train,rectangular_notch,0.6,0.8414634146341463,0.9139072847682119,0.1674641148325359,0.7811060402166158,488,418,0,0.020413191989064217,0.1025039553642273,0.12291714549064636,0.0,1.0,0.06134858727455139,pilot_v2_training_gate_only
sample_005,train,rectangular_notch,0.6,0.6936416184971098,0.8191126279863481,0.2196969696969697,2.9875840962727724,322,264,0,0.032406628131866455,0.1961003541946411,0.22850698232650757,0.0,0.9999775886535645,0.041392676532268524,pilot_v2_training_gate_only
sample_006,train,rectangular_notch,0.6,0.6495098039215687,0.787518573551263,0.5300751879699248,1.2777056542087846,407,266,0,0.05739794299006462,0.23243999481201172,0.28983792662620544,0.0,0.9999979734420776,0.05110188573598862,pilot_v2_training_gate_only
sample_007,train,rectangular_notch,0.6,0.8041379310344827,0.8914373088685015,0.14204545454545456,1.1846162433677394,604,704,0,0.032440997660160065,0.10648393630981445,0.13892492651939392,0.0,1.0,0.07528076320886612,pilot_v2_training_gate_only
sample_008,train,rectangular_notch,0.6,0.9206049149338374,0.9586614173228346,0.07575757575757576,0.4030795523267028,488,528,0,0.013003319501876831,0.06547355651855469,0.07847687602043152,0.0,1.0,0.06078892573714256,pilot_v2_training_gate_only
sample_009,train,rectangular_notch,0.6,0.8173431734317343,0.899492385786802,0.13203463203463203,1.9662240605790289,523,462,0,0.026306485757231712,0.10995876789093018,0.13626524806022644,0.0,1.0,0.06565900146961212,pilot_v2_training_gate_only
sample_010,train,rectangular_notch,0.6,0.7702702702702703,0.8702290076335878,0.1772853185595568,1.559618443267876,425,361,0,0.03072701022028923,0.14511269330978394,0.17583970725536346,0.0,0.9999977350234985,0.05376055836677551,pilot_v2_training_gate_only
