seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,0,sample_001,train,rectangular_notch+rectangular_notch,0.5,0.6802469135802469,0.8096987509184423,0.11993769470404984,1.9025601131413268,719,642,0,0.0660567581653595,0.21514654159545898,0.2812032997608185,0.0,0.9997324347496033,0.08939633518457413,2,2,0,1,0,0,0,0.5493741307371349,0.4506258692628651,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,642,small
42,1,sample_002,train,rectangular_notch+rotated_rect,0.5,0.5639412997903563,0.7211796246648794,0.24882629107981222,2.7445127312059756,640,852,0,0.12116322666406631,0.28355246782302856,0.4047156870365143,0.0,0.999964714050293,0.07981140911579132,2,2,0,1,0,0,0,0.625,0.375,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,852,large
42,2,sample_003,train,rotated_rect+rotated_rect,0.5,0.5882352941176471,0.7407407407407407,0.19968051118210864,3.0667407951496206,751,626,0,0.12253090739250183,0.2840716242790222,0.40660253167152405,0.0,0.9998514652252197,0.0922771766781807,2,2,0,1,0,0,0,0.5166444740346205,0.4833555259653795,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,626,small
42,3,sample_004,train,rectangular_notch+rectangular_notch,0.5,0.8278008298755186,0.905788876276958,0.033482142857142856,0.6410563988757609,866,896,0,0.04653923213481903,0.14934396743774414,0.19588319957256317,0.0,0.9999819993972778,0.10605891048908234,2,2,0,1,0,0,0,0.7124711316397229,0.28752886836027713,1.0,multi_defect_pilot_gate_only,0.022130521909796884,near,896,large
42,4,sample_005,train,rectangular_notch+rotated_rect,0.5,0.6058041112454655,0.7545180722891566,0.06853582554517133,4.045465519906764,686,642,0,0.11936166882514954,0.279321551322937,0.39868322014808655,0.0,0.9996230602264404,0.08611264079809189,2,2,0,1,0,0,0,0.5306122448979592,0.46938775510204084,1.0,multi_defect_pilot_gate_only,0.022130521909796884,near,642,small
42,5,sample_006,train,rotated_rect+rotated_rect,0.5,0.6431322207958922,0.7828125,0.26548672566371684,1.0840860503429037,715,565,0,0.07238775491714478,0.24698281288146973,0.3193705677986145,0.0,0.9999206066131592,0.08982996642589569,2,2,0,1,0,0,0,0.5328671328671328,0.4671328671328671,1.0,multi_defect_pilot_gate_only,0.022130521909796884,near,565,small
42,6,sample_007,train,rectangular_notch+rectangular_notch,0.5,0.6587570621468927,0.7942779291553134,0.010958904109589041,0.16468797589792394,738,730,0,0.08629626035690308,0.22943562269210815,0.31573188304901123,0.0,0.9996505975723267,0.09252490103244781,2,3,1,0,0,0,1,0.5365853658536586,0.462059620596206,1.0,multi_defect_pilot_gate_only,0.024119701490690138,medium,730,medium
42,7,sample_008,train,rectangular_notch+rotated_rect,0.5,0.5683317624882187,0.7247596153846154,0.24101479915433405,3.858166810994746,718,946,0,0.1647971272468567,0.28705424070358276,0.45185136795043945,0.0,0.9998273253440857,0.09009813517332077,2,2,0,1,0,0,0,0.5222841225626741,0.4777158774373259,1.0,multi_defect_pilot_gate_only,0.024119701490690138,medium,946,large
42,8,sample_009,train,rotated_rect+rotated_rect,0.5,0.6230425055928411,0.7677463818056512,0.07285714285714286,0.8834470156165368,751,700,0,0.10873612016439438,0.2625402808189392,0.3712764084339142,0.0,0.9997276663780212,0.09236954897642136,2,2,0,1,0,0,0,0.5193075898801598,0.4806924101198402,1.0,multi_defect_pilot_gate_only,0.024119701490690138,medium,700,medium
42,9,sample_010,train,rectangular_notch+rectangular_notch,0.5,0.6596583442838371,0.7949326999208234,0.07730263157894737,6.087535351355054,655,608,0,0.11117016524076462,0.24000287055969238,0.3511730432510376,0.0,0.999968409538269,0.08177758753299713,2,2,0,1,0,0,0,0.5587786259541985,0.44122137404580153,1.0,multi_defect_pilot_gate_only,0.02611053427258814,medium,608,small
42,10,sample_011,train,rectangular_notch+rotated_rect,0.5,0.6075675675675676,0.7558843308675185,0.09846547314578005,0.6508649544623218,705,782,0,0.11733138561248779,0.27639031410217285,0.39372169971466064,1.6115754913144343e-35,0.9995899796485901,0.08970855176448822,2,2,0,1,0,0,0,0.5219858156028369,0.47801418439716314,1.0,multi_defect_pilot_gate_only,0.02611053427258814,medium,782,medium
42,11,sample_012,train,rotated_rect+rotated_rect,0.5,0.7135922330097088,0.8328611898016998,0.06432748538011696,2.6712367666892365,728,684,0,0.06749951839447021,0.2272912859916687,0.2947908043861389,1.0061488327070977e-38,0.9997784495353699,0.09183211624622345,2,2,0,1,0,0,0,0.5865384615384616,0.41346153846153844,1.0,multi_defect_pilot_gate_only,0.02611053427258814,medium,684,medium
42,12,sample_013,train,rectangular_notch+rectangular_notch,0.5,0.6386036960985626,0.7794486215538847,0.14849187935034802,2.082577941281396,734,862,0,0.11795385181903839,0.2361236810684204,0.3540775179862976,0.0,0.9999663829803467,0.08962365239858627,2,2,0,1,0,0,0,0.5054495912806539,0.494550408719346,1.0,multi_defect_pilot_gate_only,0.028102668912400475,far,862,large
42,13,sample_014,train,rectangular_notch+rotated_rect,0.5,0.6466346153846154,0.7854014598540145,0.18543046357615894,4.580419407271593,615,755,0,0.08774316310882568,0.2559671401977539,0.3437103033065796,3.0517431284979733e-34,0.9995680451393127,0.07971598207950592,2,2,0,1,0,0,0,0.6455284552845528,0.3544715447154472,1.0,multi_defect_pilot_gate_only,0.028102668912400475,far,755,medium
42,14,sample_015,train,rotated_rect+rotated_rect,0.5,0.6510067114093959,0.7886178861788617,0.23636363636363636,3.242653307818489,680,550,0,0.08311758935451508,0.22830402851104736,0.31142163276672363,0.0,0.9999911785125732,0.08329758048057556,2,2,0,1,0,0,0,0.5661764705882353,0.4338235294117647,1.0,multi_defect_pilot_gate_only,0.028102668912400475,far,550,small
42,15,sample_016,train,rectangular_notch+rectangular_notch,0.5,0.5942028985507246,0.7454545454545455,0.13802083333333334,7.0843918417149165,662,768,0,0.14404535293579102,0.29961729049682617,0.4436626434326172,0.0,0.9996827840805054,0.08339882642030716,2,2,0,1,0,0,0,0.525679758308157,0.4743202416918429,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,768,medium
42,16,sample_017,train,rectangular_notch+rotated_rect,0.5,0.6073858114674441,0.7557436517533253,0.20607375271149675,1.5356985922030637,732,922,0,0.13789331912994385,0.2635594606399536,0.40145277976989746,0.0,0.9995392560958862,0.09086482226848602,2,2,0,1,0,0,0,0.5081967213114754,0.4918032786885246,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,922,large
42,17,sample_018,train,rotated_rect+rotated_rect,0.5,0.6152284263959391,0.7617850408548082,0.02360248447204969,3.107295148976567,786,805,0,0.10959496349096298,0.2752763032913208,0.3848712742328644,0.0,0.9998742341995239,0.0996440201997757,2,2,0,1,0,0,0,0.573791348600509,0.4262086513994911,1.0,multi_defect_pilot_gate_only,0.020143485299222674,near,805,large
42,18,sample_019,train,rectangular_notch+rectangular_notch,0.5,0.6167452830188679,0.7629467541940189,0.13551401869158877,3.9338322166774353,729,642,0,0.09671340882778168,0.2556076645851135,0.3523210883140564,0.0,0.9997331500053406,0.08975538611412048,2,3,1,0,0,0,1,0.5267489711934157,0.4718792866941015,1.0,multi_defect_pilot_gate_only,0.022130521909796884,near,642,small
