variant,seed,selected_by_validation,eligible_for_multiseed,split,sample_count,selection_score,test_final_only,profile_weight,dimension_weight,curvature_aux_weight,soft_mask_weight,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,profile_depth_rmse_norm,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,profile_rmse_delta_vs_20_77,dice_delta_vs_20_77,dimension_delta_vs_ref_val,notes
P0_reference_20_77,42,False,False,train,162,,False,,,,,0.6461113923125796,0.4468101876799339,0.8454125907134127,1.8511671239487182,2.035119338122047,0.8981590448292317,0.19226883443785303,0.18994916294827874,0.17381475185170586,0.18534424889510798,0.7614980454774725,0.8562088055848226,0.0004272178392528548,0.08544356976038357,,,0.5254112478704511,3.948057556329689e-05,0.0084816689080488,-0.10197160865471172,reference metrics only
P0_reference_20_77,42,False,False,val,39,,False,,,,,0.7486944236816504,0.5487817963346456,0.9486070420497503,2.5295834308251357,2.2502389185321636,1.1248635611472986,0.21566433020127126,0.211593950406099,0.19649168314077917,0.20791665512399796,0.7298490255306381,0.8315550804306858,0.0005162771157278584,0.10325542545351028,,,0.7934174726721338,0.00012853985203830048,-0.016172056246087974,0.0,reference metrics only
P0_reference_20_77,42,False,False,test,39,,False,,,,,0.6780143536818333,0.4387845003213256,0.9172442085467852,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.7506502455785019,0.8477271366767738,0.0003877372636895579,0.07754745447123226,,,0.5764562522168966,0.0,0.0,-0.10999729601332003,reference metrics only
P1_profile_primary_w0p5,42,False,False,train,162,,,0.5,0.25,0.05,0.1,0.3575212953635204,0.22048514572052677,0.4945574426724587,1.1022080929007059,0.8231655760311786,0.4582922843882791,0.12015763808179784,0.11564872699019349,0.09084458961898897,0.10888365169205232,0.8822572275559551,0.9355532344967529,0.0002230971415821931,0.04461942931376058,0.1740826960069124,0.00046036506925399107,0.18840401822867348,-0.0001646401221073648,0.08782609781997908,-0.32829665061411883,validation screen only
P1_profile_primary_w0p5,42,False,False,val,39,0.4275251405620701,,0.5,0.25,0.05,0.1,0.7362254739571841,0.4985919184027574,0.9738590233983138,2.380518793104551,2.1202921828207297,0.9759722275611682,0.21781704059013954,0.2277518847049811,0.19533334175745645,0.21363408791904265,0.745701276830028,0.8437569897431471,0.0004704443165862288,0.09408886542029578,0.3700498805826143,0.0009759722384982384,0.6607152148246437,8.270705289667088e-05,-0.003970146933626739,-0.05018987793188823,validation screen only
P2_profile_primary_dim_guard_w1p0,42,True,False,train,162,,,1.0,0.5,0.05,0.1,0.631201551468284,0.44750657865639637,0.8148965218368872,2.092177582283815,1.8284204162565278,0.9122606371241955,0.18994050040657137,0.17948580192930905,0.16676655926822145,0.1787309539216904,0.7783570581117596,0.8692995020808548,0.00042706486551146046,0.08541297501142085,0.2843760604735543,0.0009212191748421317,0.37224213124949895,3.932760182190256e-05,0.02157236540408103,-0.10127521767824926,validation screen only
P2_profile_primary_dim_guard_w1p0,42,True,False,val,39,0.4215889157980826,,1.0,0.5,0.05,0.1,0.7506331671506931,0.5301545875576826,0.9711117413945687,2.508659846125505,1.966160814731549,1.1412611148105218,0.21823194699409681,0.224561734077258,0.19618782171836266,0.21299383689004642,0.7470597165144843,0.8473748997267359,0.0005258390777807784,0.10516781790683959,0.3236691866199561,0.0011569310505038653,0.49530329333774303,0.0001381018140912205,-0.000352236950037943,-0.018627208776963,validation screen only
P3_profile_primary_w2p0,42,False,False,train,162,,,2.0,0.25,0.05,0.1,0.6829264204443237,0.5021238392851327,0.863729007266186,1.9999431160589058,2.056688573602357,1.1073893505482026,0.20067489404737213,0.19251237533710622,0.17527071414170442,0.18948599431709742,0.7686529155752586,0.8622274963166797,0.0005171387133992135,0.10342774499163294,0.3479571135488342,0.0011141282537906075,0.4489719040242554,0.0001294014497096556,0.014500359639905924,-0.04665795704951292,validation screen only
P3_profile_primary_w2p0,42,False,False,val,39,0.46855686019759296,,2.0,0.25,0.05,0.1,0.7919610219124036,0.5681221610269486,1.015799885758987,2.2670724655573187,2.252819480995337,1.2770999030042918,0.2333768117122161,0.23396025254176214,0.20159201285777947,0.22297635760444862,0.7485992462582545,0.8462884705876974,0.0005891277370466971,0.11782555004294568,0.3726337673226165,0.001297228303976739,0.5766751467137953,0.00020139047335713915,-0.0014386660890763903,0.019340364692302936,validation screen only
P2_profile_primary_dim_guard_w1p0,42,True,False,test,39,,True,1.0,0.5,0.05,0.1,0.6894106998657569,0.4406224204561649,0.938198963801066,2.182535461890392,1.8601902571435158,0.8477263475457827,0.20746825138727823,0.2163339058558146,0.19304824333924514,0.2056168004965935,0.7780899308200834,0.868041567724276,0.00040971767567754845,0.08194353696709047,0.2837751062947151,0.000857612807661868,0.3765963491257067,2.1980411987990547e-05,0.02031443104750219,-0.10815937587848073,validation-selected candidate; test final only for screen
