split,defect_type,n,residual_reduction_vs_delta_iou_corr,residual_reduction_vs_delta_dice_corr,residual_reduction_vs_area_error_delta_corr,residual_reduction_vs_angle_error_delta_corr,mean_delta_iou,mean_delta_dice,mean_forward_nrmse_reduction,mismatch_flag_rate
train,all,268,-0.021598906744908206,-0.028645103031858042,0.14953246088556008,-0.008637919334559766,-0.05140574890818369,-0.03778932569284915,0.06600056121598429,0.7350746268656716
train,rectangular_notch,134,0.052945465655166106,0.04451364319671006,0.058312243992527775,nan,-0.05348346741187027,-0.03904816587244288,0.0753833395776464,0.6940298507462687
train,rotated_rect,134,-0.19288768470350684,-0.1907946501908499,0.33691490229714083,-0.008637919334559766,-0.049328030404497104,-0.03653048551325543,0.056617782854322174,0.7761194029850746
val,all,66,-0.40095333171563846,-0.41406012451185953,0.17320209383762586,0.18555808375277413,-0.034009900838373304,-0.025926848534004624,0.07455415843111096,0.6666666666666666
val,rectangular_notch,33,-0.4564557154173286,-0.4704835264260223,0.22693352259824942,nan,-0.043132745203774525,-0.0334975010608644,0.09496386304046169,0.6666666666666666
val,rotated_rect,33,-0.08328348606470533,-0.08784990592216398,0.29120050918090956,0.18555808375277413,-0.024887056472972093,-0.01835619600714484,0.05414445382176024,0.6666666666666666
test,all,66,-0.18242063989603638,-0.2250135659269758,-0.010428541613535229,-0.038381880708589944,-0.023327019465259013,-0.018811895228106883,0.07133982149940549,0.6212121212121212
test,rectangular_notch,33,-0.24136729448362107,-0.28335731958881577,0.04752440284178708,nan,-0.01990045422107293,-0.017820324403012757,0.08953219245780598,0.5757575757575758
test,rotated_rect,33,0.0457514043967165,0.02848062302296265,-0.23608008665330651,-0.038381880708589944,-0.026753584709445097,-0.019803466053201012,0.05314745054100499,0.6666666666666666
