sample_id,split,component_types,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path,seed,extra_fragment_flag,third_largest_component_area_ratio,distance_bin,source_pack
v3_sample_059,test,rectangular_notch+rotated_rect+rotated_rect,3,3,0.0,0.0,0.010050251256281407,4.994108040465466,394,398,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v3_sample_059_test_rectangular_notch_rotated_rect_rotated_rect.png,42,0,0.3096446700507614,far,pilot_v3
v3_sample_004,test,rotated_rect+rotated_rect+rotated_rect,3,3,0.3232169954476479,0.48853211009174313,0.009216589861751152,4.685756130252208,438,434,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v3_sample_004_test_rotated_rect_rotated_rect_rotated_rect.png,42,0,0.3150684931506849,near,pilot_v3
v4_topup_023,test,rectangular_notch+rotated_rect+rotated_rect,3,3,0.3623417721518987,0.5319396051103368,0.09933774834437085,4.566478540819151,408,453,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v4_topup_023_test_rectangular_notch_rotated_rect_rotated_rect.png,42,0,0.3112745098039216,far,pilot_v4_topup
v3_sample_017,test,rectangular_notch+rectangular_notch+rectangular_notch,3,4,0.38436482084690554,0.5552941176470588,0.15736040609137056,4.533689914913207,456,394,extra fragments,prediction has more connected components than the true three-component union mask.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v3_sample_017_test_rectangular_notch_rectangular_notch_rectangular_notch.png,42,1,0.3026315789473684,medium,pilot_v3
v3_sample_042,test,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.4241935483870968,0.5956964892412231,0.1756198347107438,4.519941385810502,399,484,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2932330827067669,medium,pilot_v3
v3_sample_121,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.6606425702811245,0.7956469165659008,0.19363395225464192,3.5700252949478855,450,377,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.33111111111111113,near,pilot_v3
v4_topup_027,test,rectangular_notch+rotated_rect+rotated_rect,3,4,0.6641074856046065,0.798154555940023,0.05938242280285035,3.102118173752262,446,421,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.31614349775784756,near,pilot_v4_topup
v4_topup_205,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.6709796672828097,0.8030973451327433,0.19560878243512975,2.850546160081421,403,501,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3225806451612903,near,pilot_v4_topup
v4_topup_200,test,rotated_rect+rotated_rect+rotated_rect,3,4,0.7037773359840954,0.8261376896149358,0.09535452322738386,4.237795163261507,448,409,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.28348214285714285,medium,pilot_v4_topup
v4_topup_077,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.7047970479704797,0.8268398268398268,0.21052631578947367,2.8937384195269273,506,418,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2964426877470356,medium,pilot_v4_topup
