group_field,group_value,split,count,notes
split,train,train,72,assembled component-set pilot
split,val,val,20,assembled component-set pilot
split,test,test,20,assembled component-set pilot
component_count,2,train,65,assembled component-set pilot
component_count,2,val,18,assembled component-set pilot
component_count,2,test,17,assembled component-set pilot
component_count,3,train,7,assembled component-set pilot
component_count,3,val,2,assembled component-set pilot
component_count,3,test,3,assembled component-set pilot
separation_type,separated,train,25,assembled component-set pilot
separation_type,separated,val,7,assembled component-set pilot
separation_type,separated,test,8,assembled component-set pilot
separation_type,close,train,16,assembled component-set pilot
separation_type,touching,train,16,assembled component-set pilot
separation_type,partially_overlapping,train,15,assembled component-set pilot
separation_type,partially_overlapping,val,5,assembled component-set pilot
separation_type,close,val,4,assembled component-set pilot
separation_type,touching,val,4,assembled component-set pilot
separation_type,close,test,4,assembled component-set pilot
separation_type,touching,test,4,assembled component-set pilot
separation_type,partially_overlapping,test,4,assembled component-set pilot
topology_relation,disconnected,train,41,assembled component-set pilot
topology_relation,disconnected,val,11,assembled component-set pilot
topology_relation,disconnected,test,12,assembled component-set pilot
topology_relation,touching_boundary,train,16,assembled component-set pilot
topology_relation,partially_overlapping,train,15,assembled component-set pilot
topology_relation,partially_overlapping,val,5,assembled component-set pilot
topology_relation,touching_boundary,val,4,assembled component-set pilot
topology_relation,touching_boundary,test,4,assembled component-set pilot
topology_relation,partially_overlapping,test,4,assembled component-set pilot
relative_depth_type,deep_and_shallow,train,9,assembled component-set pilot
relative_depth_type,deep_and_shallow,val,3,assembled component-set pilot
relative_depth_type,deep_and_shallow,test,4,assembled component-set pilot
relative_depth_type,similar_depth,train,32,assembled component-set pilot
relative_depth_type,one_deep_one_shallow,train,31,assembled component-set pilot
relative_depth_type,one_deep_one_shallow,val,9,assembled component-set pilot
relative_depth_type,similar_depth,val,8,assembled component-set pilot
relative_depth_type,similar_depth,test,8,assembled component-set pilot
relative_depth_type,one_deep_one_shallow,test,8,assembled component-set pilot
orientation_type,aligned_x,train,31,assembled component-set pilot
orientation_type,aligned_x,val,9,assembled component-set pilot
orientation_type,aligned_x,test,8,assembled component-set pilot
orientation_type,aligned_y,train,21,assembled component-set pilot
orientation_type,diagonal,train,20,assembled component-set pilot
orientation_type,aligned_y,val,5,assembled component-set pilot
orientation_type,diagonal,val,6,assembled component-set pilot
orientation_type,aligned_y,test,6,assembled component-set pilot
orientation_type,diagonal,test,6,assembled component-set pilot
source_dataset_id,comsol_surface_shape_extension_pilot_v1,train,9,assembled component-set pilot
source_dataset_id,comsol_surface_shape_extension_pilot_v1,val,3,assembled component-set pilot
source_dataset_id,comsol_surface_shape_extension_pilot_v1,test,4,assembled component-set pilot
source_dataset_id,comsol_surface_multipit_topup_pack_v1,train,63,assembled component-set pilot
source_dataset_id,comsol_surface_multipit_topup_pack_v1,val,17,assembled component-set pilot
source_dataset_id,comsol_surface_multipit_topup_pack_v1,test,16,assembled component-set pilot
