model,observation_config,split,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count
ridge_logreg,mag_x_5line_only,test,4.129768371582031,3.4871203899383545,7.171734809875488,7.807857036590576,8.443979263305664,0.5481816530227661,0.5089542865753174,0.8580281734466553,0.8796135783195496,0.9011989235877991,3,0.6,0,0.0,2,0
ridge_logreg,dual_mag_xy_5line,test,5.212203025817871,7.486705780029297,8.38870620727539,8.62998104095459,8.871254920959473,0.5152820944786072,0.2378053069114685,1.177163004875183,1.4412040710449219,1.7052451372146606,3,0.6,0,0.0,2,0
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,test,5.505382061004639,6.050960063934326,8.953140258789062,9.388179779052734,9.82321834564209,0.7927824854850769,1.0709832906723022,1.3651299476623535,1.4056411981582642,1.4461523294448853,3,0.6,1,0.2,1,3
ridge_logreg,mag_x_9line_only,test,2.7820239067077637,1.5609349012374878,5.015793323516846,5.678290367126465,6.340786933898926,0.8333369493484497,0.5801571607589722,1.3923903703689575,1.522409200668335,1.6524279117584229,2,0.4,0,0.0,1,1
ridge_logreg,dual_mag_xy_9line,test,3.6184680461883545,3.7293057441711426,5.615748405456543,5.736121654510498,5.856494903564453,0.6455469131469727,0.30134129524230957,1.403329849243164,1.5922452211380005,1.7811604738235474,3,0.6,0,0.0,2,0
ridge_logreg,dual_mag_xy_9line_plus_mag_features,test,4.397119998931885,3.611088514328003,7.539958953857422,7.971266746520996,8.40257453918457,0.898119330406189,0.5979791879653931,1.789624810218811,1.996029257774353,2.2024335861206055,4,0.8,2,0.4,2,2
