epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5,seed,best_val_threshold,best_val_iou,best_val_dice,best_val_area_error,best_val_score
1,0.744129783966962,0.14474647798958948,0.5993833086069893,0.5944039225578308,0.06348051875829697,0.5309234261512756,nan,nan,nan,nan,42,0.5,0.5503263058493558,0.7032386141073305,0.42961554762433124,0.823949372332355
2,0.4736187358697255,0.087117084612449,0.38650164884679455,0.4000370502471924,0.07446883618831635,0.32556819915771484,nan,nan,nan,nan,42,0.8,0.543001113628303,0.6971115216632379,0.3132564258591204,0.9268562094324204
3,0.38920947091252195,0.0819091739899972,0.30730029765297384,0.3917299509048462,0.08087390661239624,0.31085604429244995,nan,nan,nan,nan,42,0.9,0.5364197403762674,0.6911104505233834,0.2955639481002333,0.9319662427994175
4,0.3549182853277992,0.0750376909386878,0.2798805961421892,0.3131616413593292,0.06031777709722519,0.25284385681152344,nan,nan,nan,nan,42,0.8,0.6198773609084934,0.7629349778308157,0.2551545852568636,1.1276577534824455
5,0.31330037584491804,0.0691358333855283,0.24416454399333282,0.3179883360862732,0.06679821014404297,0.2511901259422302,nan,nan,nan,nan,42,0.7,0.6194240230191727,0.7608154656377746,0.2674069972400086,1.1128324914169387
6,0.30676308186615214,0.06593147015162543,0.24083161237193088,0.2964553236961365,0.06609029322862625,0.23036503791809082,nan,nan,nan,nan,42,0.8,0.6418415036274903,0.7786592081102828,0.23577822820871025,1.1847224835290628
7,0.29503775402611376,0.06364244916567616,0.23139530537175199,0.29888036847114563,0.05859031155705452,0.24029004573822021,nan,nan,nan,nan,42,0.9,0.647348357174944,0.7825073915650876,0.24270491749002823,1.1871508312500034
8,0.2879386640646878,0.06194681403975861,0.22599185214323156,0.29450541734695435,0.05206513777375221,0.24244028329849243,nan,nan,nan,nan,42,0.8,0.6538976736698489,0.7877587067245166,0.23501683753080607,1.2066395428635592
9,0.2805643587135801,0.060440362376325274,0.22012399341545852,0.28868457674980164,0.06739786267280579,0.22128671407699585,nan,nan,nan,nan,42,0.9,0.6593061404734484,0.790968339687369,0.23318182761116543,1.217092652549652
10,0.2759879047379774,0.058868420766849144,0.21711948455548755,0.285992294549942,0.06594512611627579,0.22004717588424683,nan,nan,nan,nan,42,0.9,0.6514833826312907,0.7856565475486676,0.23306817874538266,1.2040717514345758
11,0.26969622133993637,0.05893765791666274,0.21075856218151018,0.2757195830345154,0.0493023507297039,0.22641724348068237,nan,nan,nan,nan,42,0.7,0.6593685345140391,0.7912543890899535,0.2290698592029718,1.2215530644010206
12,0.2649090415706821,0.056164688485510206,0.2087443552765192,0.2802615463733673,0.057618398219347,0.22264313697814941,nan,nan,nan,nan,42,0.9,0.660453893021992,0.7918962987239333,0.21414051544368662,1.2382096763022388
13,0.26098617180889727,0.05530376549737126,0.2056824062384811,0.2850700318813324,0.060900069773197174,0.22416996955871582,nan,nan,nan,nan,42,0.8,0.6550028851236137,0.7878979856334564,0.22229030283788906,1.220610567919181
14,0.2586432128560309,0.05562256386174875,0.20302064979777618,0.2852972447872162,0.05441144481301308,0.2308858036994934,nan,nan,nan,nan,42,0.8,0.6491745606418464,0.783348533375601,0.2219129156388689,1.2106101783785785
15,0.2511144251215692,0.05454025066950742,0.19657417372161268,0.27281633019447327,0.05207870528101921,0.22073763608932495,nan,nan,nan,nan,42,0.8,0.663717097353586,0.794860120247043,0.22487662104214504,1.233700596558484
16,0.2512412763693753,0.05360708436837383,0.19763419090532788,0.2931605577468872,0.06362594664096832,0.22953462600708008,nan,nan,nan,nan,42,0.8,0.6509383754214916,0.7851451432234942,0.23148316663113966,1.204600352013846
17,0.24827760253466813,0.05369520391903672,0.19458239803127214,0.2827523648738861,0.06194738298654556,0.22080498933792114,nan,nan,nan,nan,42,0.9,0.6643095368249572,0.7954214731730122,0.22212435224392518,1.237606657754044
18,0.24351373490165262,0.05220698068539301,0.19130675465452904,0.2971184551715851,0.06746348738670349,0.2296549677848816,nan,nan,nan,nan,42,0.3,0.6493480018551502,0.7833732988083398,0.24750270303881244,1.1852185976246776
19,0.25456391245711085,0.05466053539923593,0.19990337713091982,0.2779616117477417,0.061487019062042236,0.21647459268569946,nan,nan,nan,nan,42,0.5,0.665722260895692,0.7960920096513343,0.2055534739300861,1.2562607966169401
20,0.24455157974187067,0.0518526318756973,0.19269894735485898,0.2830028831958771,0.057360850274562836,0.22564202547073364,nan,nan,nan,nan,42,0.9,0.660519513548445,0.7916587633857389,0.2164693850967871,1.2357088918373969
21,0.23515811796281852,0.05058084851970859,0.18457726988137937,0.28924283385276794,0.06451091170310974,0.2247319221496582,nan,nan,nan,nan,42,0.9,0.658483658196672,0.7904502463679232,0.22371516783499157,1.2252187367296035
22,0.23631789286931357,0.05014924471284829,0.18616864727992638,0.28463995456695557,0.06239618360996246,0.2222437858581543,nan,nan,nan,nan,42,0.9,0.6572348841121842,0.7892912331866597,0.21724679231070476,1.229279324988139
23,0.22952678682757358,0.04903539774172446,0.1804913878440857,0.2840583324432373,0.0577840693295002,0.2262742519378662,nan,nan,nan,nan,42,0.8,0.6564855507306515,0.789361049158542,0.21865714446368012,1.2271894554255134
24,0.2269152332754696,0.04790501135821436,0.17901022293988397,0.2821025848388672,0.06836634129285812,0.21373623609542847,nan,nan,nan,nan,42,0.7,0.6633876787774864,0.7940722958192304,0.22669291396718194,1.230767060629535
25,0.22063987950483957,0.046563751338159334,0.17407612823972515,0.27852535247802734,0.06707429885864258,0.21145105361938477,nan,nan,nan,nan,42,0.9,0.6665861131680886,0.7966670364805643,0.2099535147038984,1.2532996349447545
26,0.2212258776028951,0.0467547088423196,0.17447116912580005,0.286876380443573,0.06566816568374634,0.22120821475982666,nan,nan,nan,nan,42,0.8,0.6566561709767923,0.7889716580337788,0.24169727262826624,1.2039305563823048
27,0.2253373607116587,0.04861586088058995,0.176721500415428,0.27920278906822205,0.06184729188680649,0.21735548973083496,nan,nan,nan,nan,42,0.8,0.6598321595527126,0.7912504776535918,0.22554411032406632,1.225538526882238
28,0.22153434186589485,0.04683301305654002,0.17470132953980388,0.30783092975616455,0.07689279317855835,0.2309381365776062,nan,nan,nan,nan,42,0.9,0.6516066011064456,0.7853853733805392,0.2402119392136968,1.196780035273288
29,0.21686417945459777,0.046473922171429094,0.1703902564796747,0.2901275157928467,0.06853615492582321,0.22159135341644287,nan,nan,nan,nan,42,0.9,0.6655912013263836,0.7958724201256254,0.22433890593890735,1.2371247155131018
30,0.20643557958743153,0.04369000035027663,0.16274557978499168,0.28572648763656616,0.06690222769975662,0.21882426738739014,nan,nan,nan,nan,42,0.9,0.663019809873902,0.7935141605502946,0.232454539381851,1.2240794310423455
31,0.20631434169470095,0.04437621828972125,0.16193812384324915,0.287899374961853,0.06587826460599899,0.22202110290527344,nan,nan,nan,nan,42,0.8,0.6559430206666714,0.788782740495779,0.23171063369762268,1.2130151274648278
32,0.19243695893708399,0.04076955682945018,0.15166740207111135,0.286498486995697,0.06982719898223877,0.21667128801345825,nan,nan,nan,nan,42,0.6,0.6617002594751072,0.7924309348718162,0.21730817586442108,1.2368230184825022
33,0.19238217467186497,0.04176066618631868,0.15062150768205232,0.2802026867866516,0.06202806532382965,0.21817463636398315,nan,nan,nan,nan,42,0.8,0.6659892988984587,0.7956429254230969,0.21381193344080654,1.247820290880749
34,0.1967270891456043,0.04190169884731956,0.1548253893852234,0.28838515281677246,0.06772041320800781,0.22066473960876465,nan,nan,nan,nan,42,0.8,0.6541413371596908,0.7868196937488322,0.21952601347044523,1.2214350174380777
35,0.1881570208306406,0.04082930157435875,0.14732771878148995,0.3038697838783264,0.07415921986103058,0.22971057891845703,nan,nan,nan,nan,42,0.9,0.6503256208024277,0.7839572758773927,0.2308061452402547,1.2034767514395657
36,0.18207905251605838,0.03875861010130714,0.14332044124603271,0.29704195261001587,0.08109940588474274,0.21594256162643433,nan,nan,nan,nan,42,0.8,0.6565053734109113,0.7885754420958363,0.21230253945506222,1.2327782760516854
37,0.17388366717918247,0.037828849592045244,0.13605481619928397,0.30291450023651123,0.07850874215364456,0.22440576553344727,nan,nan,nan,nan,42,0.9,0.6531517374145371,0.7862434376146384,0.22563964380216608,1.2137555312270094
38,0.16461104622074202,0.03490494111297177,0.1297061045964559,0.29187238216400146,0.07405425608158112,0.21781814098358154,nan,nan,nan,nan,42,0.8,0.6541601687189172,0.7868645741593833,0.21888556946976587,1.2221391734085347
39,0.16120212189122743,0.034411103519446706,0.12679101906570733,0.3170444965362549,0.08713896572589874,0.22990554571151733,nan,nan,nan,nan,42,0.9,0.6393003521054278,0.7748262653643523,0.21785205003871172,1.1962745674310684
