model,observation_config,split,group_field,group_value,sample_count,total_normalized_mae,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
ridge_logreg,single_x_5line,test,shape_type,internal_ellipsoid,3,0.6457202434539795,0.6349687576293945,2.1761362552642822,0.16666666666666666,2,0
ridge_logreg,single_x_5line,test,shape_type,internal_sphere,2,0.2924061417579651,0.4180000126361847,1.4286845922470093,0.3333333333333333,1,0
ridge_logreg,single_x_5line,test,burial_depth_level,deep_plus,4,0.5898580551147461,0.6034649014472961,2.249055862426758,0.5,3,0
ridge_logreg,single_x_5line,test,burial_depth_level,shallow,1,0.16254070401191711,0.327046662569046,0.38955456018447876,0.3333333333333333,0,0
ridge_logreg,single_x_5line,test,size_level,large,3,0.43754076957702637,0.4435848295688629,1.8458259105682373,0.3333333333333333,2,0
ridge_logreg,single_x_5line,test,size_level,medium,1,0.4222716987133026,0.508953332901001,2.4678142070770264,0.3333333333333333,1,0
ridge_logreg,single_x_5line,test,size_level,small,1,0.7870793342590332,0.9011985063552856,1.3804857730865479,0.3333333333333333,0,0
ridge_logreg,single_x_5line,test,aspect_bin,compact,3,0.34480422735214233,0.5430909395217896,1.45704984664917,0.3333333333333333,2,0
ridge_logreg,single_x_5line,test,aspect_bin,elongated_y,2,0.743780255317688,0.5558168292045593,2.5073142051696777,0.2222222222222222,1,0
ridge_logreg,dual_xy_5line,test,shape_type,internal_ellipsoid,3,0.6547600626945496,0.8058610558509827,2.14441180229187,0.0,1,0
ridge_logreg,dual_xy_5line,test,shape_type,internal_sphere,2,0.2801925837993622,0.5676708221435547,1.1554735898971558,0.3333333333333333,1,0
ridge_logreg,dual_xy_5line,test,burial_depth_level,deep_plus,4,0.5979947447776794,0.803269624710083,2.113278388977051,0.3333333333333333,2,0
ridge_logreg,dual_xy_5line,test,burial_depth_level,shallow,1,0.13268615305423737,0.33984631299972534,0.291068434715271,0.3333333333333333,0,0
ridge_logreg,dual_xy_5line,test,size_level,large,3,0.48826852440834045,0.8666859865188599,1.6749993562698364,0.3333333333333333,0,0
ridge_logreg,dual_xy_5line,test,size_level,medium,1,0.4276990294456482,0.7954952120780945,2.019878625869751,0.3333333333333333,1,0
ridge_logreg,dual_xy_5line,test,size_level,small,1,0.6321607232093811,0.1573716253042221,1.6993056535720825,0.0,1,0
ridge_logreg,dual_xy_5line,test,aspect_bin,compact,3,0.36756014823913574,0.9265493154525757,1.0962858200073242,0.3333333333333333,1,0
ridge_logreg,dual_xy_5line,test,aspect_bin,elongated_y,2,0.7109924554824829,0.38663846254348755,2.7276625633239746,0.0,1,0
ridge_logreg,dual_xy_5line_plus_direction_features,test,shape_type,internal_ellipsoid,3,0.9210079908370972,1.4307833909988403,2.722881555557251,0.16666666666666666,3,2
ridge_logreg,dual_xy_5line_plus_direction_features,test,shape_type,internal_sphere,2,0.6284335851669312,1.7675304412841797,1.3650730848312378,0.3333333333333333,1,0
ridge_logreg,dual_xy_5line_plus_direction_features,test,burial_depth_level,deep_plus,4,0.9813864827156067,1.8980902433395386,2.659832239151001,0.5,4,2
ridge_logreg,dual_xy_5line_plus_direction_features,test,burial_depth_level,shallow,1,0.09434521943330765,0.23505015671253204,0.25946322083473206,0.3333333333333333,0,0
ridge_logreg,dual_xy_5line_plus_direction_features,test,size_level,large,3,0.6342964768409729,1.313882827758789,1.8920749425888062,0.3333333333333333,2,2
ridge_logreg,dual_xy_5line_plus_direction_features,test,size_level,medium,1,1.1625219583511353,3.3000106811523438,2.4706830978393555,0.3333333333333333,1,0
