split,group_field,group_value,sample_count,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,dimension_mae_norm,curvature_mae_mean
test,curvature_template,LD_dominant,8,0.00048435955977765843,0.2985594081531867,0.7788720289108806,0.6294716522097588,0.17626198660582304
test,curvature_template,WD_dominant,8,0.00012963658264197875,0.1343125075890786,0.8779836228714004,0.26865265145897865,0.16925651673227549
test,curvature_template,boxy,7,0.0006902010770448085,0.3543247208136249,0.8813653985622656,0.5153597870043346,0.3226997234991619
test,curvature_template,round,8,0.00042768668390635867,0.30617627504181394,0.9204297368082961,0.4113118043169379,0.08991004736162722
test,curvature_template,sharp,8,0.00035176490018784534,0.33432132169073503,0.8832225303232859,0.3876583781093359,0.28459109365940094
test,depth_bin,deep,11,0.0009132073610089719,0.39907882369591957,0.8459266200117828,0.7605960856784474,0.21966969831423325
test,depth_bin,medium,11,0.0003410460042439147,0.2680010057341761,0.8894832857267527,0.3767162967811931,0.19152791374786335
test,depth_bin,shallow,17,0.00012836484315544914,0.21937358951546096,0.8684771869484045,0.2749316582784933,0.20564008745200493
test,aspect_bin,balanced,9,0.000377603639208246,0.27331660951374964,0.8450949315107176,0.45618581606282127,0.21098733279440138
test,aspect_bin,compact,9,0.00042464996012212295,0.38013184827757285,0.9113586159787272,0.3190280910995271,0.23842981706062952
test,aspect_bin,narrow,9,0.0004884711282405382,0.2598120633833344,0.8043040418906808,0.6449673506948683,0.18877815869119433
test,aspect_bin,wide,12,0.00036353890027385205,0.2373237045768315,0.9005669030688027,0.36688692308962345,0.18960812020425996
test,size_bin,elongated,9,0.0004884711282405382,0.2598120633833344,0.8043040418906808,0.6449673506948683,0.18877815869119433
test,size_bin,large_wide,12,0.00036353890027385205,0.2373237045768315,0.9005669030688027,0.36688692308962345,0.18960812020425996
test,size_bin,medium_balanced,9,0.000377603639208246,0.27331660951374964,0.8450949315107176,0.45618581606282127,0.21098733279440138
test,size_bin,small_compact,9,0.00042464996012212295,0.38013184827757285,0.9113586159787272,0.3190280910995271,0.23842981706062952
