seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,predicted_component_count_is_3,extra_fragment_flag,third_largest_component_area_ratio,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,0,sample_001,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.6990291262135923,0.8228571428571428,0.12378640776699029,1.3975439984041604,463,412,0,0.06200028583407402,0.19042259454727173,0.25242286920547485,0.0,0.9999998807907104,0.05521809309720993,3,3,0,0,0,0,0,0.36069114470842334,0.3412526997840173,1.0,multi_defect_pilot_gate_only,1,0,0.2980561555075594,0.016906803364326446,near,412,small
42,1,sample_002,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.5427631578947368,0.7036247334754797,0.057971014492753624,5.64525471401974,455,483,0,0.12358898669481277,0.29406261444091797,0.41765159368515015,0.0,0.9999996423721313,0.05436021834611893,3,3,0,0,0,0,0,0.3516483516483517,0.34065934065934067,1.0,multi_defect_pilot_gate_only,1,0,0.3076923076923077,0.016906803364326446,near,483,medium
42,2,sample_003,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.7831775700934579,0.8784067085953878,0.03411513859275053,1.7117936896129617,485,469,0,0.037731897085905075,0.15909135341644287,0.19682325422763824,0.0,0.9999914169311523,0.05843023210763931,3,3,0,0,0,0,0,0.3835051546391753,0.30927835051546393,1.0,multi_defect_pilot_gate_only,1,0,0.30721649484536084,0.016906803364326446,near,469,medium
42,3,sample_004,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.6357615894039735,0.7773279352226721,0.07563025210084033,2.455404004562755,512,476,0,0.0824882835149765,0.24297469854354858,0.3254629969596863,0.0,0.9999915361404419,0.05945320427417755,3,3,0,0,0,0,0,0.357421875,0.341796875,1.0,multi_defect_pilot_gate_only,1,0,0.30078125,0.016906803364326446,near,476,medium
42,4,sample_005,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.48099415204678364,0.6495557749259625,0.20697167755991286,3.050197938549615,554,459,0,0.12240099161863327,0.3876979947090149,0.5100989937782288,6.025199292790042e-25,0.9989437460899353,0.06438006460666656,3,4,1,0,0,0,1,0.36101083032490977,0.3231046931407942,1.0,multi_defect_pilot_gate_only,0,1,0.3140794223826715,0.018704010265181103,far,459,medium
42,5,sample_006,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.8470394736842105,0.9171861086375779,0.008865248226950355,1.5542848994888445,559,564,0,0.032347626984119415,0.1641913652420044,0.1965389847755432,7.489305411357609e-25,0.9983713030815125,0.06355911493301392,3,3,0,0,0,0,0,0.35241502683363146,0.3470483005366726,1.0,multi_defect_pilot_gate_only,1,0,0.3005366726296959,0.018704010265181103,far,564,large
42,6,sample_007,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.6875,0.8148148148148148,0.2399103139013453,1.2368833734159606,553,446,0,0.04491346329450607,0.22591334581375122,0.2708268165588379,7.763856616506204e-25,0.9971653819084167,0.06377814710140228,3,3,0,0,0,0,0,0.3453887884267631,0.3345388788426763,1.0,multi_defect_pilot_gate_only,1,0,0.32007233273056057,0.018704010265181103,far,446,small
42,7,sample_008,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.6978967495219885,0.8220720720720721,0.07476635514018691,1.4598690408787216,460,428,0,0.05666954815387726,0.21025651693344116,0.2669260501861572,1.4555738367047388e-38,0.9999325275421143,0.05499674379825592,3,3,0,0,0,0,0,0.3521739130434783,0.33043478260869563,1.0,multi_defect_pilot_gate_only,1,0,0.3173913043478261,0.018704010265181103,far,428,small
42,8,sample_009,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.583203732503888,0.7367387033398821,0.007889546351084813,2.5264069970835754,511,507,0,0.10262810438871384,0.27445101737976074,0.3770791292190552,0.0,0.9999841451644897,0.05945814773440361,3,3,0,0,0,0,0,0.3522504892367906,0.3385518590998043,1.0,multi_defect_pilot_gate_only,1,0,0.30919765166340507,0.015984054554461453,near,507,large
42,9,sample_010,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.6274834437086093,0.7711088504577823,0.014344262295081968,0.5826378042547051,495,488,0,0.06900736689567566,0.2662529945373535,0.3352603614330292,8.777151831361086e-33,0.9998817443847656,0.057970672845840454,3,3,0,0,0,0,0,0.3575757575757576,0.32727272727272727,1.0,multi_defect_pilot_gate_only,1,0,0.3151515151515151,0.015984054554461453,near,488,large
