candidate,seed,selected_robustness_candidate,best_epoch,best_val_selection_metric,val_all_profile_depth_rmse_m,test_all_profile_depth_rmse_m,test_nominal_profile_depth_rmse_m,test_non_nominal_profile_depth_rmse_m,test_non_nominal_L_mae_mm,test_non_nominal_W_mae_mm,test_non_nominal_D_mae_mm,test_non_nominal_dice,test_non_nominal_wMAE_auxiliary,notes
C0_reference_20_85_baseline,42,False,,,0.0007284438538590621,0.0007389971158318076,0.0003330594072394888,0.0008743096853625806,6.241229236125946,3.6898963103691735,1.8258158404690523,0.6833513107587862,0.22040785911182562,
C1_unconditioned_liftoff_aug,123,True,27,0.8607479810714722,0.0005008132221746564,0.000697073064657161,0.0008090106257441221,0.0006597605442948407,2.2240403778851032,1.740571657816569,1.4768037957449753,0.8331291878502872,0.25759525822165114,
C1_unconditioned_liftoff_aug,2026,False,13,0.9536421746015549,0.0006131778278586353,0.0006773821414753911,0.0006846498235972831,0.0006749595807680938,2.4111498103787503,2.000797822761039,1.449421255538861,0.8264285356154387,0.25534532700354856,
C1_unconditioned_liftoff_aug,42,False,23,0.949584373831749,0.0006363891552609857,0.0006235204373297165,0.0006978157307457877,0.0005987553395243594,2.390782335152229,2.5267572912077108,1.310405117770036,0.8013171159679189,0.2594631264607112,
C2_sensor_z_conditioned,123,False,10,0.9463333696126938,0.0005248177740213578,0.0006823289882049721,0.0006899621985212434,0.0006797845847662151,1.9046763343115647,2.0712422505021095,1.4899201265846689,0.8420882647630584,0.25041945402820903,
C2_sensor_z_conditioned,2026,False,13,0.9230152949690819,0.0005724970208973446,0.0006710692482556624,0.000659520101180533,0.0006749189639473722,2.0903868892540536,1.9988399930298328,1.4565851812561352,0.8325075022082326,0.252082993897299,
C2_sensor_z_conditioned,42,False,14,0.946381351351738,0.0004999026723453426,0.0006605358721571974,0.0006674044980172766,0.0006582463302038377,2.593916192650795,2.882338836789131,1.435963519072781,0.7660918292443788,0.2694274076881508,
C3_calibrated_input_conditioned,skipped,False,,,,,,,,,,,,Skipped deliberately: 20.89 calibration remains diagnostic caveat and is not promoted into 20.92 training input protocol.
