model,selected,split,threshold,selection_threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,before_total_mean,accepted_total_mean,before_center_p95_mm,accepted_center_p95_mm,before_center_max_mm,accepted_center_max_mm,before_burial_p95_mm,accepted_burial_p95_mm,before_burial_max_mm,accepted_burial_max_mm,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,train,0.5,0.5,,240,53,44,6,2,0.8301886792452831,1.0,1.0,1.0,0.04591836734693878,0.7791666666666667,0.28361911441509924,0.212967001897766,5.0208211183547915,2.6200143098831172,7.738551616668701,2.9913461208343506,1.0146824002265928,0.4999972879886627,1.7754498720169067,0.7810071706771851,2.4008068084716743,0.5146851122379301
logistic_regression_balanced,False,val,0.5,0.5,7.884730699996341,60,20,23,2,1,0.8,0.6956521739130435,0.5,1.0,0.10810810810810811,0.6666666666666666,0.40748248050610225,0.2895913127809763,6.749954628944397,4.376538443565363,8.471294403076172,6.32070779800415,1.5840142905712125,1.2451234221458425,2.5149731636047363,1.7219806909561157,2.3734161853790336,0.33889086842537
logistic_regression_balanced,False,test,0.5,0.5,,60,22,36,11,4,0.9090909090909091,0.5555555555555556,0.6363636363636364,0.5,0.08333333333333333,0.6333333333333333,0.5100083683927854,0.4368668673069854,8.940113210678097,6.191038823127746,22.01708221435547,7.12094783782959,1.8406276404857633,1.5832079052925105,2.489889621734619,2.489889621734619,2.749074387550351,0.2574197351932528
ridge_classifier_balanced,False,train,0.5,0.5,,240,77,44,6,2,0.5714285714285714,1.0,1.0,1.0,0.1683673469387755,0.6791666666666667,0.28361911441509924,0.20253474416176967,5.0208211183547915,2.332617974281311,7.738551616668701,2.898923635482788,1.0146824002265928,0.49923863112926486,1.7754498720169067,0.7810071706771851,2.6882031440734804,0.5154437690973279
ridge_classifier_balanced,False,val,0.5,0.5,9.014585500615887,60,32,23,2,1,0.5625,0.782608695652174,1.0,1.0,0.3783783783783784,0.4666666666666667,0.40748248050610225,0.28678702456610544,6.749954628944397,5.519833827018735,8.471294403076172,6.32070779800415,1.5840142905712125,0.9109047234058378,2.5149731636047363,1.7219806909561157,1.2301208019256622,0.6731095671653746
ridge_classifier_balanced,False,test,0.5,0.5,,60,30,36,11,4,0.8666666666666667,0.7222222222222222,0.8181818181818182,0.75,0.16666666666666666,0.5,0.5100083683927854,0.3662474607427915,8.940113210678097,6.056513595581054,22.01708221435547,7.12094783782959,1.8406276404857633,1.0831310331821438,2.489889621734619,1.838216781616211,2.8835996150970438,0.7574966073036196
random_forest_small,True,train,0.07046389,0.07046389,,240,109,44,6,2,0.4036697247706422,1.0,1.0,1.0,0.33163265306122447,0.5458333333333333,0.28361911441509924,0.16491895260019157,5.0208211183547915,2.3863351345062256,7.738551616668701,2.769660472869873,1.0146824002265928,0.2554197311401367,1.7754498720169067,0.39529862999916077,2.634485983848566,0.7592626690864561
random_forest_small,True,val,0.07046389,0.07046389,9.962765198418943,60,38,23,2,1,0.5789473684210527,0.9565217391304348,1.0,1.0,0.43243243243243246,0.36666666666666664,0.40748248050610225,0.16209211945533752,6.749954628944397,2.769660472869873,8.471294403076172,3.8598508834838867,1.5840142905712125,0.263188898563385,2.5149731636047363,0.7738739252090454,3.9802941560745237,1.3208253920078274
random_forest_small,True,test,0.07046389,0.07046389,,60,43,36,11,4,0.7674418604651163,0.9166666666666666,1.0,1.0,0.4166666666666667,0.2833333333333333,0.5100083683927854,0.2747909523108426,8.940113210678097,4.568573856353759,22.01708221435547,5.289581775665283,1.8406276404857633,0.5897882819175717,2.489889621734619,0.910711944103241,4.371539354324338,1.2508393585681916
