sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7150537634408602,0.8338557993730408,0.17714285714285713,1.9282198989581076,432.0,525.0,0.0,0.7168480753898621,0.28315189480781555,rectangular_notch,1.0,0.003000000026077032,-0.0005000000237487257,0.0018498116405680776,-2.7393518394092098e-05,0.001243499189586338,0.01600000075995922,0.01368036214262247,0.00231963861733675,0.006500000134110451,0.007956513203680515,0.0014565130695700645,0.0015999999595806003,0.0018391222693026066,0.00023912230972200632,0.0,0.0,nan,0.0,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8256880733944955,0.9045226130653267,0.09569377990430622,1.5811388300841898,378.0,418.0,0.0,0.7798466086387634,0.22015339136123657,rectangular_notch,1.0,-0.000750000006519258,0.0005000000237487257,-0.0003574341826606542,0.0001780030579539016,0.0005077302250351093,0.012000000104308128,0.012285455130040646,0.00028545502573251724,0.007000000216066837,0.0075887953862547874,0.0005887951701879501,0.0010000000474974513,0.001940003247000277,0.0009400031995028257,0.0,0.0,nan,0.0,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5369318181818182,0.6987060998151571,0.4630681818181818,2.692582403567252,378.0,704.0,0.0,0.7802342772483826,0.21976566314697266,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,-0.0002255291910842061,0.00017020975064951926,0.0009816422959185102,0.014000000432133675,0.012257395312190056,0.0017426051199436188,0.009999999776482582,0.0075768292881548405,0.0024231704883277416,0.0019000000320374966,0.0019715693779289722,7.156934589147568e-05,0.0,0.0,nan,0.0,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8333333333333334,0.9090909090909091,0.16666666666666666,1.0,440.0,528.0,0.0,0.77019202709198,0.2298080325126648,rectangular_notch,1.0,0.000750000006519258,0.0,0.0013539392966777086,3.529083187459037e-05,0.0006049695108114902,0.014000000432133675,0.013130970299243927,0.0008690301328897476,0.007499999832361937,0.007854999043047428,0.00035499921068549156,0.0013000000035390258,0.0019534453749656677,0.0006534453714266419,0.0,0.0,nan,0.0,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6525252525252525,0.7897310513447433,0.22943722943722944,3.165589510640961,356.0,462.0,0.0,0.7836825251579285,0.21631750464439392,rectangular_notch,1.0,-0.0022499999031424522,0.0010000000474974513,-0.0010456066811457276,0.00022047154197935015,0.0014346524829359204,0.013000000268220901,0.01216848287731409,0.0008315173909068108,0.007000000216066837,0.007523110136389732,0.000523109920322895,0.0013000000035390258,0.0018721497617661953,0.0005721497582271695,0.0,0.0,nan,0.0,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8413098236775819,0.9138166894664843,0.024930747922437674,1.347901000584854,370.0,361.0,0.0,0.6438464522361755,0.35615354776382446,rectangular_notch,1.0,0.0022499999031424522,-0.0005000000237487257,0.001431005191989243,-2.084650259348564e-05,0.0009488627109288761,0.012000000104308128,0.013433968648314476,0.0014339685440063477,0.006000000052154064,0.007793810218572617,0.0017938101664185524,0.0024999999441206455,0.0017758933827280998,0.0007241065613925457,0.0,0.0,nan,0.0,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6767068273092369,0.807185628742515,0.19264069264069264,2.6718279280021795,373.0,462.0,0.0,0.6676962375640869,0.3323037624359131,rectangular_notch,1.0,0.001500000013038516,-0.0010000000474974513,0.001514117349870503,-2.7369806048227474e-05,0.0009727326715993051,0.013000000268220901,0.01336608361452818,0.0003660833463072777,0.007000000216066837,0.007724439259618521,0.0007244390435516834,0.0024999999441206455,0.0018171920673921704,0.0006828078767284751,0.0,0.0,nan,0.0,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5738255033557047,0.7292110874200426,0.19615384615384615,3.3541019662496847,418.0,520.0,0.0,0.7718061804771423,0.22819380462169647,rectangular_notch,1.0,-0.000750000006519258,0.0010000000474974513,0.0004188061284366995,0.00011439371155574918,0.0014664263688768354,0.01600000075995922,0.012757375836372375,0.0032426249235868454,0.006500000134110451,0.007762731984257698,0.0012627318501472473,0.0013000000035390258,0.0019055359298363328,0.000605535926297307,0.0,0.0,nan,0.0,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6638935108153078,0.798,0.2608695652173913,3.201316338254915,425.0,575.0,0.0,0.6839698553085327,0.3160301446914673,rectangular_notch,1.0,0.0022499999031424522,-0.0010000000474974513,0.001689139287918806,-2.3125547158997506e-05,0.0011264317133786476,0.014000000432133675,0.01364868599921465,0.0003513144329190254,0.00800000037997961,0.007930249907076359,6.975047290325165e-05,0.0019000000320374966,0.0017976126400753856,0.000102387391962111,0.0,0.0,nan,0.0,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6092843326885881,0.7572115384615384,0.24842105263157896,3.605551275463989,357.0,475.0,0.0,0.7801231145858765,0.21987682580947876,rectangular_notch,1.0,-0.003000000026077032,-0.0005000000237487257,-0.0009225640678778291,0.0002015597274294123,0.0021926985084596133,0.012000000104308128,0.012461621314287186,0.0004616212099790573,0.00800000037997961,0.007649355102330446,0.0003506452776491642,0.0013000000035390258,0.0017816481413319707,0.0004816481377929449,0.0,0.0,nan,0.0,
