variant,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae
C1_split_heads,42,True,train,L_m,162,0.32271918654441833,0.0020009318832308054,2.000931978225708,0.11136925965547562
C1_split_heads,42,True,train,W_m,162,0.4200837016105652,0.0018865951569750905,1.8865951299667358,0.17900384962558746
C1_split_heads,42,True,train,D_m,162,0.554186999797821,0.0008454881026409566,0.8454881310462952,0.40268197655677795
C1_split_heads,42,True,train,wLD,162,0.6648692488670349,0.15387307107448578,,
C1_split_heads,42,True,train,wWD,162,0.6383382678031921,0.1429232805967331,,
C1_split_heads,42,True,train,wLW,162,0.586840808391571,0.11900857090950012,,
C1_split_heads,42,True,train,ALL,162,0.5311729907989502,0.07008965313434601,,
C1_split_heads,42,True,train,DIMENSION_MEAN,162,0.4323299825191498,0.001577671617269516,1.5776716470718384,
C1_split_heads,42,True,train,CURVATURE_MEAN,162,0.6300160884857178,0.1386016458272934,,
C1_split_heads,42,True,val,L_m,39,0.4181283414363861,0.0025924898218363523,2.592489719390869,0.15987719595432281
C1_split_heads,42,True,val,W_m,39,0.5226799249649048,0.0023473543114960194,2.3473544120788574,0.25981876254081726
C1_split_heads,42,True,val,D_m,39,0.7351487874984741,0.0011215702397748828,1.1215702295303345,0.5474255681037903
C1_split_heads,42,True,val,wLD,39,0.8669575452804565,0.20064306259155273,,
C1_split_heads,42,True,val,wWD,39,0.9830427169799805,0.22010226547718048,,
C1_split_heads,42,True,val,wLW,39,0.840916633605957,0.17053396999835968,,
C1_split_heads,42,True,val,ALL,39,0.7278124094009399,0.09955678880214691,,
C1_split_heads,42,True,val,DIMENSION_MEAN,39,0.558652400970459,0.002020471729338169,2.0204718112945557,
C1_split_heads,42,True,val,CURVATURE_MEAN,39,0.8969724178314209,0.19709311425685883,,
C1_split_heads,42,True,test,L_m,39,0.4316107928752899,0.0026760841719806194,2.676084280014038,0.15464012324810028
C1_split_heads,42,True,test,W_m,39,0.4754510521888733,0.0021352495532482862,2.135249614715576,0.20508719980716705
C1_split_heads,42,True,test,D_m,39,0.7285794615745544,0.0011115476954728365,1.1115477085113525,0.5797384977340698
C1_split_heads,42,True,test,wLD,39,1.002853274345398,0.2320939153432846,,
C1_split_heads,42,True,test,wWD,39,0.974283754825592,0.218141108751297,,
C1_split_heads,42,True,test,wLW,39,0.9123457670211792,0.18501946330070496,,
C1_split_heads,42,True,test,ALL,39,0.754187285900116,0.10686288774013519,,
C1_split_heads,42,True,test,DIMENSION_MEAN,39,0.5452137589454651,0.00197429396212101,1.9742939472198486,
C1_split_heads,42,True,test,CURVATURE_MEAN,39,0.9631608724594116,0.21175149083137512,,
C1_split_heads,123,False,train,L_m,162,0.3117961287498474,0.0019332063384354115,1.93320631980896,0.10569779574871063
C1_split_heads,123,False,train,W_m,162,0.32800963521003723,0.0014730904949828982,1.4730905294418335,0.14893591403961182
C1_split_heads,123,False,train,D_m,162,0.535438597202301,0.0008168849744834006,0.8168849945068359,0.2842216193675995
C1_split_heads,123,False,train,wLD,162,0.6005954742431641,0.13899794220924377,,
C1_split_heads,123,False,train,wWD,162,0.5866811275482178,0.1313573122024536,,
C1_split_heads,123,False,train,wLW,162,0.5296914577484131,0.10741894692182541,,
