variant,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,L_m,162,0.1557646095752716,0.0009657758055254817,0.9657757878303528,0.053491123020648956
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,W_m,162,0.17359362542629242,0.0007796086138114333,0.7796086072921753,0.08238682895898819
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,D_m,162,0.2260684221982956,0.00034489837707951665,0.34489837288856506,0.14049187302589417
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,wLD,162,0.327366441488266,0.07576358318328857,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,wWD,162,0.3616257905960083,0.08096764981746674,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,wLW,162,0.3155338168144226,0.06398878246545792,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,ALL,162,0.2599921226501465,0.037135049700737,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,DIMENSION_MEAN,162,0.18514221906661987,0.0006967609515413642,0.6967609524726868,
H3_curv_fusion_F0F1F2_w1p0,2026,True,train,CURVATURE_MEAN,162,0.3348420262336731,0.07357334345579147,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,L_m,39,0.40120139718055725,0.0024875395465642214,2.487539529800415,0.14894363284111023
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,W_m,39,0.5181140899658203,0.0023268491495400667,2.3268492221832275,0.24342796206474304
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,D_m,39,0.7991039752960205,0.0012191426940262318,1.2191426753997803,0.5232147574424744
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,wLD,39,0.9351122975349426,0.2164163887500763,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,wWD,39,0.9253900051116943,0.20719391107559204,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,wLW,39,0.8377604484558105,0.16989390552043915,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,ALL,39,0.7361137270927429,0.09992294758558273,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,DIMENSION_MEAN,39,0.5728064775466919,0.0020111771300435066,2.0111770629882812,
H3_curv_fusion_F0F1F2_w1p0,2026,True,val,CURVATURE_MEAN,39,0.899420976638794,0.19783473014831543,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,L_m,39,0.32915133237838745,0.002040812512859702,2.0408124923706055,0.1162886768579483
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,W_m,39,0.4081077575683594,0.0018328109290450811,1.832810878753662,0.19395318627357483
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,D_m,39,0.62702876329422,0.0009566183434799314,0.9566183686256409,0.42264890670776367
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,wLD,39,0.9499737620353699,0.21985581517219543,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,wWD,39,0.9184013605117798,0.2056291252374649,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,wLW,39,0.8154764175415039,0.16537481546401978,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,ALL,39,0.6746899485588074,0.0992816686630249,,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,DIMENSION_MEAN,39,0.45476266741752625,0.00161008071154356,1.6100807189941406,
H3_curv_fusion_F0F1F2_w1p0,2026,True,test,CURVATURE_MEAN,39,0.8946171998977661,0.19695328176021576,,
