variant,seed,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error
P1_profile_primary_w0p5,42,False,train,curvature_template,LD_dominant,31,0.47813750370856256,0.2627156237440725,0.15475447379773663,1.39110051335827,0.8308633909590782,0.5778770937073615,0.26359452932111677,0.1028452015692188,0.09782369098355694,0.8758009368984305,0.932467738338372,0.000304879336674217,0.20532496710905618
P1_profile_primary_w0p5,42,False,train,curvature_template,WD_dominant,34,0.3664527316303814,0.16198370167437723,0.1259598387953113,0.8847038246252957,0.5943835570531733,0.3217753400642644,0.09212824001031764,0.20304993846837213,0.08270133944118724,0.9063042935805135,0.9497594614961,0.00017342886498869012,0.13681318954840616
P1_profile_primary_w0p5,42,False,train,curvature_template,boxy,32,0.414488960057497,0.22551653924165294,0.1320095236878842,1.29559098277241,0.8243858513887972,0.4333219050313346,0.13672424852848053,0.1270220186561346,0.13228229992091656,0.8741649479380669,0.9307113828078287,0.0002483351504309894,0.17854651702262087
P1_profile_primary_w0p5,42,False,train,curvature_template,round,33,0.2457780693516587,0.22018565926136394,0.05950994800889131,1.058788188027613,0.9204544571764541,0.4345555280645688,0.054440167817202484,0.07103339831034343,0.0530562780120156,0.8699287910135364,0.9277646402031535,0.0001892449590465703,0.16247186578841916
P1_profile_primary_w0p5,42,False,train,curvature_template,sharp,32,0.28945222962647676,0.23700960632413626,0.07409360390738584,0.9048357326537371,0.9572397789452225,0.5369426630204543,0.06218891590833664,0.06982462108135223,0.09026727452874184,0.8837677312815959,0.9363220322675763,0.00020631523835845655,0.1909254441359862
P1_profile_primary_w0p5,42,False,train,depth_bin,deep,49,0.3623637794231882,0.28696247281468645,0.09690978665056886,1.1411015634634056,0.7942502299437717,0.762805702354835,0.1122411416501415,0.11150774785450526,0.0669804689835529,0.9074115246221719,0.9502898827793304,0.0003622955693423805,0.16222010074861049
P1_profile_primary_w0p5,42,False,train,depth_bin,medium,57,0.3807607727092609,0.23338807857873148,0.11608823326726754,1.3738216229698115,0.8876606171068392,0.4286046283025491,0.1295914179400394,0.11585244170406409,0.10282083979824133,0.8654640788071013,0.9258896716069764,0.00021903385993681966,0.1820788365151583
P1_profile_primary_w0p5,42,False,train,depth_bin,shallow,56,0.32962965379868236,0.14918414213960723,0.11202754878572055,0.7917125344808612,0.7828197656199336,0.22206083646908933,0.11748233224664416,0.11906473125730242,0.0995355833853994,0.8773402440280987,0.9324947937623056,0.00010543435753821282,0.17632353812631912
P1_profile_primary_w0p5,42,False,train,aspect_bin,balanced,44,0.39865545522082935,0.2080550661987879,0.12950620326128873,1.0912951992994004,0.7789701756767251,0.4190997673113915,0.13896982778202405,0.13608899441632358,0.11345978623086755,0.8856410006712263,0.9380345456140838,0.00021014217252906582,0.16160593024623843
P1_profile_primary_w0p5,42,False,train,aspect_bin,compact,43,0.32023050150899,0.1978995816912069,0.09783034297356079,1.0522337659846905,0.4254199886737868,0.5023351208588411,0.11617204754851586,0.10468824796898421,0.07263073394464892,0.8843340417324407,0.9368429234098204,0.00023471568784919137,0.2121928182680624
P1_profile_primary_w0p5,42,False,train,aspect_bin,narrow,33,0.36247910965572705,0.2478876934584343,0.10492732056952787,1.2178819165988402,1.4583273482593624,0.3394775887894811,0.11108858476985585,0.11450328068299727,0.08919009656617136,0.8259806170493587,0.9023468778701444,0.00017341304611005452,0.14162620630186123
P1_profile_primary_w0p5,42,False,train,aspect_bin,wide,42,0.3487116103725774,0.2350998761221057,0.10170410247519612,1.073918264181841,0.7776255614700771,0.5476140400527844,0.1116558001154945,0.10635654983066377,0.08709995661463056,0.9208033970811187,0.9577240786932671,0.00026381133918784185,0.17363761497136218
P1_profile_primary_w0p5,42,False,train,size_bin,elongated,33,0.36247910965572705,0.2478876934584343,0.10492732056952787,1.2178819165988402,1.4583273482593624,0.3394775887894811,0.11108858476985585,0.11450328068299727,0.08919009656617136,0.8259806170493587,0.9023468778701444,0.00017341304611005452,0.14162620630186123
P1_profile_primary_w0p5,42,False,train,size_bin,large_wide,42,0.3487116103725774,0.2350998761221057,0.10170410247519612,1.073918264181841,0.7776255614700771,0.5476140400527844,0.1116558001154945,0.10635654983066377,0.08709995661463056,0.9208033970811187,0.9577240786932671,0.00026381133918784185,0.17363761497136218
P1_profile_primary_w0p5,42,False,train,size_bin,medium_balanced,44,0.39865545522082935,0.2080550661987879,0.12950620326128873,1.0912951992994004,0.7789701756767251,0.4190997673113915,0.13896982778202405,0.13608899441632358,0.11345978623086755,0.8856410006712263,0.9380345456140838,0.00021014217252906582,0.16160593024623843
P1_profile_primary_w0p5,42,False,train,size_bin,small_compact,43,0.32023050150899,0.1978995816912069,0.09783034297356079,1.0522337659846905,0.4254199886737868,0.5023351208588411,0.11617204754851586,0.10468824796898421,0.07263073394464892,0.8843340417324407,0.9368429234098204,0.00023471568784919137,0.2121928182680624
P1_profile_primary_w0p5,42,False,val,curvature_template,LD_dominant,7,0.707515286547797,0.43748472577759195,0.21790638778890883,1.9278148402060782,1.697726160287857,0.9512329825333187,0.3598341686385019,0.1534885593823024,0.14039644173213414,0.7995328632104484,0.8749599882551796,0.0004911160150576117,0.37246702744212057
P1_profile_primary_w0p5,42,False,val,curvature_template,WD_dominant,8,0.666742604225874,0.4925677068531513,0.18383649084717035,2.676735855638981,2.4010008424520493,0.7801528535783291,0.0873723104596138,0.3086870610713959,0.15545011311769485,0.696446912477116,0.8163102443835454,0.000392278184335737,0.34708848990651414
P1_profile_primary_w0p5,42,False,val,curvature_template,boxy,8,1.0212449952960014,0.6471980456262827,0.3055903036147356,3.505712650716305,2.355848878622055,1.2992413528263569,0.31354526430368423,0.3086928725242615,0.29453276097774506,0.7021482733475468,0.8104984836282894,0.0006919256611581659,0.4306744690566998
P1_profile_primary_w0p5,42,False,val,curvature_template,round,8,0.531971225515008,0.4648924544453621,0.13094106479547918,1.9744962491095066,2.788718443363905,0.6945681665092707,0.12571793049573898,0.1359381526708603,0.13116711378097534,0.7316969463913436,0.8334289516076443,0.00030425586191995535,0.24981056611259306
P1_profile_primary_w0p5,42,False,val,curvature_template,sharp,8,0.7500644847750664,0.44317826023325324,0.23043023003265262,1.7612463757395744,1.3053458365611732,1.1515733767300844,0.2203676700592041,0.22266986221075058,0.24825316667556763,0.8054103370212383,0.887487655655081,0.00047522982276859693,0.45051099375258213
P1_profile_primary_w0p5,42,False,val,depth_bin,deep,15,0.8243463635444641,0.6738502035538355,0.21352105538050334,3.1094033340613048,2.1385466774304707,1.5925620555877686,0.21490221818288166,0.22163279056549073,0.2040281613667806,0.7549793574127549,0.8516562345254484,0.0007708094684251895,0.3392214528704852
P1_profile_primary_w0p5,42,False,val,depth_bin,medium,11,0.6674546572295103,0.35808558626608417,0.21440560523081909,1.9261040247299455,2.138149280778386,0.4386350458318537,0.22625830498608676,0.2220899137583646,0.19486859169873325,0.7508610913522439,0.8497501491333647,0.00024644198062808505,0.21726850542617634
P1_profile_primary_w0p5,42,False,val,depth_bin,shallow,13,0.6927382155106618,0.4152607934979292,0.21311168773816183,1.9240029729329622,2.0841194523068576,0.7191923489937415,0.21403768887886634,0.23960327643614548,0.18569410764254057,0.7306298023311608,0.8295713416641544,0.00031340957950585737,0.5348976915366722
P1_profile_primary_w0p5,42,False,val,aspect_bin,balanced,11,0.6928862224925648,0.45601009780710394,0.20352378707717766,2.015542721206492,2.1843681850216607,0.8491183302619241,0.1896967508576133,0.22750339182940396,0.19337123090570624,0.752963240036204,0.8517708058295596,0.00039623596768995577,0.24539570021878562
P1_profile_primary_w0p5,42,False,val,aspect_bin,compact,12,0.6231258536378542,0.3506284573425849,0.19708605421086153,2.219202055906256,0.6688884096220136,0.8315069004893303,0.2024884819984436,0.22616300483544668,0.16260667641957602,0.7753380300700133,0.8656623538556508,0.00042253717886827263,0.4903036706026725
P1_profile_primary_w0p5,42,False,val,aspect_bin,narrow,6,0.9166817590594292,0.6422223299741745,0.26096218327681225,3.380515684684118,3.8334763745466867,0.8053092385331789,0.27680697043736774,0.25420473019282025,0.251874844233195,0.6181381541522879,0.7493578913789142,0.00039647589195131633,0.27836531780372037
P1_profile_primary_w0p5,42,False,val,aspect_bin,wide,10,0.8113444238901139,0.6368098273873329,0.21621620208024978,2.3755744218826296,2.763582593202591,1.3912677004933358,0.23174967169761657,0.21406017541885375,0.20283876061439515,0.7786868870218966,0.8652948141316287,0.000653943120414624,0.41787566862609227
P1_profile_primary_w0p5,42,False,val,size_bin,elongated,6,0.9166817590594292,0.6422223299741745,0.26096218327681225,3.380515684684118,3.8334763745466867,0.8053092385331789,0.27680697043736774,0.25420473019282025,0.251874844233195,0.6181381541522879,0.7493578913789142,0.00039647589195131633,0.27836531780372037
P1_profile_primary_w0p5,42,False,val,size_bin,large_wide,10,0.8113444238901139,0.6368098273873329,0.21621620208024978,2.3755744218826296,2.763582593202591,1.3912677004933358,0.23174967169761657,0.21406017541885375,0.20283876061439515,0.7786868870218966,0.8652948141316287,0.000653943120414624,0.41787566862609227
P1_profile_primary_w0p5,42,False,val,size_bin,medium_balanced,11,0.6928862224925648,0.45601009780710394,0.20352378707717766,2.015542721206492,2.1843681850216607,0.8491183302619241,0.1896967508576133,0.22750339182940396,0.19337123090570624,0.752963240036204,0.8517708058295596,0.00039623596768995577,0.24539570021878562
P1_profile_primary_w0p5,42,False,val,size_bin,small_compact,12,0.6231258536378542,0.3506284573425849,0.19708605421086153,2.219202055906256,0.6688884096220136,0.8315069004893303,0.2024884819984436,0.22616300483544668,0.16260667641957602,0.7753380300700133,0.8656623538556508,0.00042253717886827263,0.4903036706026725
P2_profile_primary_dim_guard_w1p0,42,False,train,curvature_template,LD_dominant,31,0.6503870314167391,0.5073107495423286,0.17712306639840525,2.8825142400399333,1.7725567171169865,1.01048503491667,0.3371099771991853,0.0734422129969443,0.12081700755703834,0.753767172674782,0.8519267920607803,0.0005080606895775887,0.2961792437658107
P2_profile_primary_dim_guard_w1p0,42,False,train,curvature_template,WD_dominant,34,0.5522926607552696,0.40842785302768736,0.1526093235348954,2.1357534212224625,1.6804538588313496,0.7729441412888906,0.06533806113635793,0.2780790609471938,0.11441084742546082,0.7799874196634824,0.8718845941851397,0.00039450745011623334,0.2525515491841539
P2_profile_primary_dim_guard_w1p0,42,False,train,curvature_template,boxy,32,0.7759600533172488,0.46310605958569795,0.23840892920270562,2.2146232910454273,1.9330158736556768,0.9179967404343188,0.2559614796191454,0.22422322444617748,0.23504208587110043,0.7556457044158622,0.8509866779616586,0.0005060500184299599,0.3366212130618996
