candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
shape_autoencoder_reconstruction,ae,val,overall,all,0.5,200,0.7293021556588605,0.8392749331764164,0.09221192838542136,0.26095555832376705,0,73,125,1.4763651604498556,1.476812952001023
shape_autoencoder_reconstruction,ae,val,area_bin,small,0.5,67,0.7113219894196714,0.824592634368109,0.09280865992685473,0.1479607926153425,0,31,35,1.4431059638609258,1.476812952001023
shape_autoencoder_reconstruction,ae,val,area_bin,medium,0.5,66,0.7704993824389755,0.868426457565169,0.07255457776963685,0.20253377322417995,0,22,44,1.5663712622345076,1.476812952001023
shape_autoencoder_reconstruction,ae,val,area_bin,large,0.5,67,0.7066999790997273,0.8252408049749079,0.11097915416699959,0.4315001421899938,0,20,46,1.4209616299076355,1.476812952001023
shape_autoencoder_reconstruction,ae,val,signal_bin,low_signal,0.5,0,nan,nan,nan,nan,0,0,0,nan,1.476812952001023
shape_autoencoder_reconstruction,ae,val,signal_bin,non_low_signal,0.5,200,0.7293021556588605,0.8392749331764164,0.09221192838542136,0.26095555832376705,0,73,125,1.4763651604498556,1.476812952001023
shape_autoencoder_reconstruction,ae,val,defect_type,multi_defect,0.5,71,0.6811116770091092,0.8071767686693726,0.12031402645664815,0.4684965215413503,0,21,50,1.3679744192218337,1.476812952001023
shape_autoencoder_reconstruction,ae,val,defect_type,polygon,0.5,72,0.730853027743422,0.8384225312681818,0.08858182636388537,0.14558722153823409,0,30,41,1.4806937326477185,1.476812952001023
shape_autoencoder_reconstruction,ae,val,defect_type,rotated_rect,0.5,57,0.7873698959052452,0.8803335755868205,0.061792952639693095,0.14816804709762596,0,22,34,1.6059105188523726,1.476812952001023
shape_autoencoder_reconstruction,ae,test,overall,all,0.5,200,0.7371260325030294,0.8445573765792475,0.09671855890441297,0.22771952987648547,0,64,136,1.4849648501778638,1.485165143716096
shape_autoencoder_reconstruction,ae,test,area_bin,small,0.5,67,0.7169388637132461,0.828642094431774,0.1200878632605316,0.1348129269847674,0,31,36,1.4254930948844884,1.485165143716096
shape_autoencoder_reconstruction,ae,test,area_bin,medium,0.5,66,0.752900434226635,0.8563455291529944,0.08402211201710005,0.27030207877132023,0,15,51,1.5252238513625294,1.485165143716096
shape_autoencoder_reconstruction,ae,test,area_bin,large,0.5,67,0.7417742384009031,0.8488604487287014,0.08585620222833391,0.2786791443046349,0,18,49,1.5047784849012704,1.485165143716096
shape_autoencoder_reconstruction,ae,test,signal_bin,low_signal,0.5,67,0.6990803449798728,0.8162554182064709,0.12663075259821052,0.26332129407396065,0,22,45,1.3887050105881333,1.485165143716096
shape_autoencoder_reconstruction,ae,test,signal_bin,non_low_signal,0.5,133,0.7562919051650709,0.858814754105383,0.08165001020152247,0.20978480655896037,0,42,91,1.5334566490689314,1.485165143716096
shape_autoencoder_reconstruction,ae,test,defect_type,multi_defect,0.5,62,0.685652047647834,0.8110996622591439,0.1054476961821646,0.41911991000656157,0,16,46,1.3913040137248132,1.485165143716096
shape_autoencoder_reconstruction,ae,test,defect_type,polygon,0.5,75,0.7377795356651888,0.8426483428332451,0.11442445074761008,0.147784190227588,0,30,45,1.4660034277508238,1.485165143716096
shape_autoencoder_reconstruction,ae,test,defect_type,rotated_rect,0.5,63,0.7870049900246199,0.8797566752903045,0.06704953669075604,0.13451836964795513,0,18,45,1.5997121286241685,1.485165143716096
current_grid_decoder_baseline,42,test,overall,all,0.9,200,0.3381314334236054,0.48115383481656493,0.2885821172668118,1.2594384817368907,2,110,90,0.5307031509733585,0.5312400613714823
current_grid_decoder_baseline,42,test,area_bin,small,0.9,67,0.2829465254789291,0.4144555577537016,0.42286901999619925,1.2442398859904362,2,16,51,0.2745330632364314,0.5312400613714823
current_grid_decoder_baseline,42,test,area_bin,medium,0.9,66,0.33788391158767805,0.48474898638627995,0.18401075697771901,1.358855125578967,0,40,26,0.6386221409962389,0.5312400613714823
current_grid_decoder_baseline,42,test,area_bin,large,0.9,67,0.39356016884844897,0.5443106192883657,0.25730580825503807,1.176250574721107,0,54,13,0.6805649798817766,0.5312400613714823
current_grid_decoder_baseline,42,test,signal_bin,low_signal,0.9,67,0.2631872105763425,0.39387724235771837,0.3821122200526752,1.3473872945858882,2,39,28,0.2749522328813856,0.5312400613714823
current_grid_decoder_baseline,42,test,signal_bin,non_low_signal,0.9,133,0.3758852900459108,0.525120238536435,0.2414654489461137,1.2164559792167038,0,71,62,0.6595400796362321,0.5312400613714823
current_grid_decoder_baseline,42,test,defect_type,multi_defect,0.9,62,0.32409883237876286,0.4707085740968916,0.28449975510758035,1.427358364866626,0,41,21,0.5103076513680742,0.5312400613714823
current_grid_decoder_baseline,42,test,defect_type,polygon,0.9,75,0.3100557908920395,0.4446594006602749,0.3606675981673671,1.1556006171676803,2,31,44,0.39404759338494727,0.5312400613714823
current_grid_decoder_baseline,42,test,defect_type,rotated_rect,0.9,63,0.38536467873547336,0.5348790526950015,0.2067836313355531,1.2145040588719505,0,38,25,0.7134601000949217,0.5312400613714823
current_grid_decoder_baseline,123,test,overall,all,0.9,200,0.33481778631182135,0.4770866089434564,0.2768729799059569,1.2359909240034117,2,135,65,0.535031415349321,0.5353124163556142
current_grid_decoder_baseline,123,test,area_bin,small,0.9,67,0.28601383984293016,0.4151426021105619,0.3119085982099319,1.185309065763767,2,24,43,0.38924784374356025,0.5353124163556142
current_grid_decoder_baseline,123,test,area_bin,medium,0.9,66,0.33083965555717293,0.4748657955225409,0.21419283346544216,1.3449768903806354,0,51,15,0.5915126176142717,0.5353124163556142
current_grid_decoder_baseline,123,test,area_bin,large,0.9,67,0.3875404884494707,0.5412182827282975,0.30358198346875764,1.1778005807896825,0,60,7,0.6251767877090106,0.5353124163556142
current_grid_decoder_baseline,123,test,signal_bin,low_signal,0.9,67,0.24247299009744105,0.36789091644875016,0.3411298495983581,1.3705725410809884,2,45,22,0.2692340569478331,0.5353124163556142
current_grid_decoder_baseline,123,test,signal_bin,non_low_signal,0.9,133,0.3813373453070355,0.53209496531297,0.24450297788046157,1.1702179532512127,0,90,43,0.6689293327395439,0.5353124163556142
current_grid_decoder_baseline,123,test,defect_type,multi_defect,0.9,62,0.326203561167604,0.47059650491556865,0.29197471535901715,1.4410524499121933,0,49,13,0.5048253507241556,0.5353124163556142
current_grid_decoder_baseline,123,test,defect_type,polygon,0.9,75,0.31033874669077255,0.4431019916002157,0.2977512503658381,1.1078067685235036,2,40,35,0.4556894879251501,0.5353124163556142
