split,forward_nrmse_reduction,mismatch_flag_rate,residual_reduction_vs_delta_iou_corr,residual_reduction_vs_delta_dice_corr,residual_reduction_vs_delta_area_error_corr
train,0.06600056121598429,0.7350746268656716,-0.021598906744908206,-0.028645103031858042,0.14953246088556008
val,0.07455415843111096,0.6666666666666666,-0.40095333171563846,-0.41406012451185953,0.17320209383762586
test,0.07133982149940549,0.6212121212121212,-0.18242063989603638,-0.2250135659269758,-0.010428541613535229
