group_field,group_value,split,sample_count,oracle_fit_success_rate,rbc_representable_rate,oracle_profile_depth_rmse_mean_m,oracle_profile_depth_rmse_p95_m,oracle_Er_like_mean,oracle_projected_mask_Dice_mean,oracle_projected_mask_IoU_mean,oracle_area_error_mean,primary_interpretation
shape_type,asymmetric_corrosion,all,16,1.0,1.0,7.305768088976471e-05,0.00012888522573418424,0.3222721925081061,0.9731884356863416,0.9478157662770268,0.02261257113469979,RBC representation adequate
shape_type,elongated_crack_like_surface_defect,all,16,1.0,1.0,0.00010605021444061776,0.00017980041642194226,0.30903202497230386,0.9209788156890242,0.853598694928803,0.10996044354288137,RBC representation adequate
shape_type,flat_bottom_pit,all,16,1.0,1.0,9.562374974294125e-05,0.0001853242593566847,0.24391217950207894,0.9534184325488283,0.9110272700156351,0.09777316215727626,RBC representation adequate
shape_type,irregular_corrosion_non_rbc,all,16,1.0,1.0,0.00011839952586880639,0.00021721870335033314,0.39540491433477976,0.8973080685328433,0.8137953722615016,0.01913876330085095,RBC representation adequate
shape_type,multi_pit_two_component_surface_defect,all,16,1.0,0.0,0.00028126370737191405,0.0005033121363166146,0.9186959225628002,0.34303849580876594,0.22804941108398244,0.3670852982063319,RBC representation failure
shape_type,rbc_like_smooth_pit,all,24,1.0,1.0,4.089406676058101e-05,7.474320706538308e-05,0.20587309157387704,0.9656262234493874,0.933662999355637,0.023727127598888082,RBC representation adequate
shape_type,sharp_wall_boxy_corrosion,all,16,1.0,1.0,0.0001271319868667392,0.00023212488911091093,0.30477162079366915,0.916778543044861,0.8463962001433251,0.13154698739466417,RBC representation adequate
shape_type,asymmetric_corrosion,train,10,1.0,1.0,6.509888336339627e-05,0.00012447572241420027,0.32580724410177714,0.972382065544228,0.9462898675571502,0.022239179105992428,RBC representation adequate
shape_type,elongated_crack_like_surface_defect,train,10,1.0,1.0,9.457385503714553e-05,0.00017160995699605077,0.3089991294518964,0.9199942084608856,0.8518933428385032,0.11593122074937423,RBC representation adequate
shape_type,flat_bottom_pit,train,10,1.0,1.0,8.306079895223993e-05,0.00016664639358768241,0.24229279649230778,0.9533318973696552,0.9108674749942238,0.09796144892765109,RBC representation adequate
