source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes
0,sample_001,train,rectangular_notch+rectangular_notch,0.6,0.758985200845666,0.8629807692307693,0.25474254742547425,0.5218422307840258,463,369,0,0.039411794394254684,0.16243457794189453,0.20184637606143951,0.0,0.9999935626983643,0.05872843787074089,2,2,0,1,0,0,0,0.5205183585313174,0.4794816414686825,1.0,multi_defect_pilot_gate_only
1,sample_002,train,rectangular_notch+rotated_rect,0.6,0.7700729927007299,0.8701030927835052,0.03643724696356275,0.32126779709264724,476,494,0,0.0447189137339592,0.1489861011505127,0.1937050223350525,0.0,0.9999899864196777,0.061514344066381454,2,2,0,1,0,0,0,0.5063025210084033,0.49369747899159666,1.0,multi_defect_pilot_gate_only
2,sample_003,train,rotated_rect+rotated_rect,0.6,0.6576704545454546,0.7934875749785776,0.2608047690014903,0.6604880658983981,496,671,0,0.07853536307811737,0.20729517936706543,0.285830557346344,0.0,0.9999654293060303,0.06453853845596313,2,2,0,1,0,0,0,0.5080645161290323,0.49193548387096775,1.0,multi_defect_pilot_gate_only
3,sample_004,train,rectangular_notch+rectangular_notch,0.6,0.6756756756756757,0.8064516129032258,0.1292929292929293,1.8201030535026292,559,495,0,0.07060617208480835,0.20532816648483276,0.2759343385696411,0.0,0.9999934434890747,0.07156990468502045,2,3,1,0,0,0,1,0.554561717352415,0.44364937388193204,1.0,multi_defect_pilot_gate_only
4,sample_005,train,rectangular_notch+rotated_rect,0.6,0.5973154362416108,0.7478991596638656,0.0728744939271255,0.6493809076826412,458,494,0,0.07071215659379959,0.2519626021385193,0.3226747512817383,0.0,0.9998300075531006,0.05948549881577492,2,2,0,1,0,0,0,0.5283842794759825,0.47161572052401746,1.0,multi_defect_pilot_gate_only
5,sample_006,train,rotated_rect+rotated_rect,0.6,0.6145251396648045,0.7612456747404844,0.42857142857142855,0.3739874507413244,510,357,0,0.06689795851707458,0.26286178827285767,0.32975974678993225,0.0,0.9999617338180542,0.06603556871414185,2,2,0,1,0,0,0,0.5078431372549019,0.492156862745098,1.0,multi_defect_pilot_gate_only
6,sample_007,train,rectangular_notch+rectangular_notch,0.6,0.7598371777476255,0.8635312259059368,0.15242165242165243,3.7147336648187568,595,702,0,0.05625605210661888,0.15699917078018188,0.21325522661209106,0.0,0.9999394416809082,0.0764998123049736,2,2,0,1,0,0,0,0.5126050420168067,0.48739495798319327,1.0,multi_defect_pilot_gate_only
7,sample_008,train,rectangular_notch+rotated_rect,0.6,0.7496617050067659,0.8569218870843001,0.1449067431850789,2.187516802587055,596,697,0,0.055407702922821045,0.15081799030303955,0.2062256932258606,0.0,0.9999626874923706,0.07730349898338318,2,2,0,1,0,0,0,0.5167785234899329,0.48322147651006714,1.0,multi_defect_pilot_gate_only
8,sample_009,train,rotated_rect+rotated_rect,0.6,0.473421926910299,0.6426155580608793,0.4776536312849162,0.8976401232037837,529,358,0,0.09064620733261108,0.3786432147026062,0.4692894220352173,0.0,0.9988694787025452,0.06854914128780365,2,2,0,1,0,0,0,0.5368620037807184,0.46313799621928164,1.0,multi_defect_pilot_gate_only
9,sample_010,train,rectangular_notch+rectangular_notch,0.6,0.6119402985074627,0.7592592592592593,0.12180746561886051,4.918595227551174,571,509,0,0.07767593860626221,0.2578035593032837,0.3354794979095459,0.0,0.9998899698257446,0.07637374103069305,2,2,0,1,0,0,0,0.5078809106830122,0.4921190893169877,1.0,multi_defect_pilot_gate_only
10,sample_011,train,rectangular_notch+rotated_rect,0.6,0.7463175122749591,0.8547328959700093,0.13827655310621242,0.9102439252757175,568,499,0,0.054293192923069,0.20077180862426758,0.255064994096756,0.0,0.9998918771743774,0.07649741321802139,2,2,0,1,0,0,0,0.5316901408450704,0.46830985915492956,1.0,multi_defect_pilot_gate_only
11,sample_012,train,rotated_rect+rotated_rect,0.6,0.7724039829302988,0.8715890850722311,0.1375186846038864,0.4949293444447542,577,669,0,0.04585045948624611,0.14411592483520508,0.1899663805961609,0.0,0.9999949932098389,0.07596850395202637,2,2,0,1,0,0,0,0.5389948006932409,0.4610051993067591,1.0,multi_defect_pilot_gate_only
12,sample_013,train,rectangular_notch+rectangular_notch,0.6,0.8105065666041276,0.8953367875647669,0.08151093439363817,1.951613025922379,462,503,0,0.03249945864081383,0.12341475486755371,0.15591421723365784,0.0,0.9999916553497314,0.0588018037378788,2,2,0,1,0,0,0,0.5173160173160173,0.48268398268398266,1.0,multi_defect_pilot_gate_only
13,sample_014,train,rectangular_notch+rotated_rect,0.6,0.6888888888888889,0.8157894736842105,0.33519553072625696,2.9268257973738714,478,358,0,0.05565967410802841,0.22053754329681396,0.276197224855423,0.0,0.9999616146087646,0.06267831474542618,2,3,1,0,0,0,1,0.5083682008368201,0.4895397489539749,1.0,multi_defect_pilot_gate_only
14,sample_015,train,rotated_rect+rotated_rect,0.6,0.7045454545454546,0.8266666666666667,0.2195845697329377,3.073521203271437,526,674,0,0.0599132776260376,0.18420851230621338,0.24412178993225098,0.0,0.9999498128890991,0.06842487305402756,2,2,0,1,0,0,0,0.532319391634981,0.467680608365019,1.0,multi_defect_pilot_gate_only
15,sample_016,train,rectangular_notch+rectangular_notch,0.6,0.7351524879614767,0.84736355226642,0.19715447154471544,2.7512463125110185,589,492,0,0.07432832568883896,0.17851394414901733,0.2528422772884369,0.0,0.9999982118606567,0.07501669973134995,2,2,0,1,0,0,0,0.5500848896434635,0.44991511035653653,1.0,multi_defect_pilot_gate_only
16,sample_017,val,rectangular_notch+rotated_rect,0.6,0.6090468497576736,0.7570281124497992,0.043222003929273084,1.0801420371283863,487,509,0,0.07736149430274963,0.24376744031906128,0.3211289346218109,0.0,0.9999696016311646,0.06392359733581543,2,3,1,0,0,0,1,0.5112936344969199,0.486652977412731,1.0,multi_defect_pilot_gate_only
17,sample_018,val,rotated_rect+rotated_rect,0.6,0.6435483870967742,0.7831207065750736,0.033932135728542916,3.5649776259939965,518,501,0,0.07607361674308777,0.22889107465744019,0.30496469140052795,0.0,0.99997878074646,0.06664034724235535,2,2,0,1,0,0,0,0.5096525096525096,0.49034749034749037,1.0,multi_defect_pilot_gate_only
18,sample_019,val,rectangular_notch+rectangular_notch,0.6,0.7544715447154472,0.8600556070435589,0.14940239043824702,0.674851139015802,577,502,0,0.05122870206832886,0.19885390996932983,0.2500826120376587,0.0,0.9995349645614624,0.07691100239753723,2,3,1,0,0,0,1,0.5043327556325823,0.49393414211438474,1.0,multi_defect_pilot_gate_only
19,sample_020,val,rectangular_notch+rotated_rect,0.6,0.7716216216216216,0.8710907704042715,0.06921944035346098,1.2915489884727998,632,679,0,0.06262996047735214,0.14591866731643677,0.2085486352443695,0.0,0.9999940395355225,0.0782681480050087,2,4,2,0,0,0,1,0.5427215189873418,0.4541139240506329,1.0,multi_defect_pilot_gate_only
20,sample_021,test,rotated_rect+rotated_rect,0.6,0.4438943894389439,0.6148571428571429,0.4373259052924791,1.453604427289951,516,359,0,0.1260853111743927,0.37940847873687744,0.5054937601089478,0.0,0.9999598264694214,0.06646181643009186,2,2,0,1,0,0,0,0.5193798449612403,0.4806201550387597,1.0,multi_defect_pilot_gate_only
21,sample_022,test,rectangular_notch+rectangular_notch,0.6,0.5660919540229885,0.7229357798165138,0.16699801192842942,1.2510880233575912,587,503,0,0.08396965265274048,0.2871791124343872,0.3711487650871277,0.0,0.9992163181304932,0.07744167745113373,2,2,0,1,0,0,0,0.5093696763202725,0.4906303236797274,1.0,multi_defect_pilot_gate_only
22,sample_023,test,rectangular_notch+rotated_rect,0.6,0.5272952853598015,0.6904955320877335,0.16815476190476192,0.7287605683047776,559,672,0,0.14897912740707397,0.31332045793533325,0.4622995853424072,0.0,0.9996694326400757,0.07193568348884583,2,2,0,1,0,0,0,0.5474060822898033,0.4525939177101968,1.0,multi_defect_pilot_gate_only
23,sample_024,test,rotated_rect+rotated_rect,0.6,0.6936507936507936,0.8191190253045924,0.17311608961303462,3.711269992949752,576,491,0,0.09251022338867188,0.21411466598510742,0.3066248893737793,0.0,0.9999957084655762,0.07581895589828491,2,2,0,1,0,0,0,0.5381944444444444,0.4618055555555556,1.0,multi_defect_pilot_gate_only
