candidate,seed,selected_robustness_candidate,best_epoch,best_val_score,test_clean_profile_depth_rmse_m,test_clean_profile_rmse_drop_pct,test_clean_dice,test_gain08_profile_rmse_drop_pct,test_gain12_profile_rmse_drop_pct,test_bx50_profile_rmse_drop_pct
A0_reference_20_77,42,False,,,0.000387737259305327,6.687660116207187e-05,0.8477271366767738,123.84539212593933,69.65684423929284,141.57741697493046
A1_global_gain_aug,42,False,34,2.258085895329714,0.0004983183200984525,28.519671864808497,0.8667896645933004,46.0446501483454,17.11396259085578,79.96404745596462
A1_global_gain_aug,123,False,8,2.2704781323671344,0.0005329766714473804,37.458295557911796,0.8625511162883631,52.898946727620505,31.66903775655508,61.67792457525382
A1_global_gain_aug,2026,False,6,2.326743982732296,0.0004885939379164483,26.011687797772296,0.8654656779596807,40.98613868720352,29.656080834742358,55.221834663260346
A2_axis_gain_aug,42,False,7,2.251670640707016,0.0005413878019540929,39.62758311796216,0.8588548744514105,51.14417841258878,36.40112237685681,56.69002151167735
A2_axis_gain_aug,123,True,192,2.1863963112235067,0.000525244751770515,35.464181073901905,0.857960988088222,24.614151592651115,38.768485178837004,59.27895260837035
A2_axis_gain_aug,2026,False,6,2.2466798178851604,0.0005259516168361864,35.64648636477468,0.8637888853496238,49.313454487560016,30.763625144717412,62.434881600485
A3_light_bx_attenuation_aug,42,False,3,2.243211229890585,0.0004836096247741714,24.726199659607264,0.8563299544686159,35.9356823032058,20.813690810506856,46.112776488957884
A3_light_bx_attenuation_aug,123,False,9,2.245545044541359,0.0004628022148748502,19.359827634414618,0.8563224202578903,25.537657574488136,24.461201960092747,52.268253385463964
A3_light_bx_attenuation_aug,2026,False,6,2.24875433370471,0.00047812691926269623,23.312172751812763,0.8566894552505969,43.73927961172974,16.895627489881555,48.01236932676072
