sample_id,split,shape_type,target_role,eligibility_status,failure_mode,feature_residual_mse_before,feature_residual_mse_after,baseline_profile_depth_rmse_m,refined_profile_depth_rmse_m,oracle_profile_depth_rmse_m,baseline_projected_mask_Dice,refined_projected_mask_Dice,oracle_projected_mask_Dice,notes
surf_shape_039_flat_bottom_pit,test,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,23.989425638260542,1.295002424580715,0.0002418089170758106,0.0006013742682514951,0.00015498528051100492,0.7737973387922211,0.49101796407185627,0.9521410579345088,runner failure/monitoring row only; no baseline transition
surf_shape_064_asymmetric_corrosion,train,asymmetric_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,27.603735938305764,0.5667821750370038,0.00014189393297362113,0.0005001001524846465,0.00012891391930111286,0.8288907996560619,0.6783954961294862,0.9730848861283644,runner failure/monitoring row only; no baseline transition
surf_shape_055_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,40.24704497376418,0.9425074717801325,0.0003136099082393107,0.0005987588745019337,0.00021442498321898993,0.7284878863826232,0.48747913188647746,0.9075451647183846,runner failure/monitoring row only; no baseline transition
surf_shape_112_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,49.02833096283892,0.7909613341329387,0.0002053691511042363,0.00043253012357863504,0.00022249663571097632,0.8258859784283513,0.5095890410958904,0.8911627906976745,runner failure/monitoring row only; no baseline transition
surf_shape_056_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,9.304674248609109,1.141888191554268,0.000455077449054399,0.0006513508100784763,0.00022986899643422543,0.8614298323036187,0.5275,0.9218884120171674,runner failure/monitoring row only; no baseline transition
surf_shape_032_flat_bottom_pit,train,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,13.969627244435891,0.39301949048972024,0.00026916367277319794,0.00045338903363389277,0.00017795447086396782,0.7763371150729336,0.8147345612134345,0.9438423645320198,runner failure/monitoring row only; no baseline transition
surf_shape_046_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,3.5670768194037907,0.28472881338320205,0.00023057969025119324,0.0004067592747346167,0.00012830843930873774,0.6771653543307087,0.7643312101910829,0.91875,runner failure/monitoring row only; no baseline transition
surf_shape_119_irregular_corrosion_non_rbc,test,irregular_corrosion_non_rbc,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,29.65337733541007,0.5753012118432098,0.00019330905531576576,0.00035910341794834644,0.00019738841548599164,0.7693693693693694,0.6362252663622526,0.9014084507042254,runner failure/monitoring row only; no baseline transition
surf_shape_036_flat_bottom_pit,val,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,7.35563157261017,0.6059052472820767,0.00017618257455745984,0.0003350310666403373,8.892428660356799e-05,0.8855813953488372,0.5157750342935528,0.9539078156312625,runner failure/monitoring row only; no baseline transition
surf_shape_031_flat_bottom_pit,train,flat_bottom_pit,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,11.177255175740962,0.3199870241717534,0.00036174996843863085,0.0005129718240420332,0.00015282541025000033,0.6200657894736842,0.6033898305084746,0.9556400506970849,runner failure/monitoring row only; no baseline transition
surf_shape_120_irregular_corrosion_non_rbc,test,irregular_corrosion_non_rbc,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,24.155128201445134,0.5683620479260819,0.00019301522410602982,0.00032084584184750023,0.00021545939256345208,0.8404423380726699,0.8268482490272373,0.8931860036832413,runner failure/monitoring row only; no baseline transition
surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,36.96168251495256,1.353823996406668,0.00021959380562752072,0.0003439936494989449,7.479148027891204e-05,0.7310344827586207,0.6933769419460344,0.9627906976744186,runner failure/monitoring row only; no baseline transition
surf_shape_028_flat_bottom_pit,train,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,12.279552381598023,1.8966934411991552,0.00021784820066138235,0.0003121692846325879,9.169775872977344e-05,0.8674481514878268,0.517503805175038,0.9534192269573836,runner failure/monitoring row only; no baseline transition
surf_shape_083_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,9.408939096457328,0.3282616786906116,0.0004033049781607859,0.0004884613931204387,9.162499635709624e-05,0.5016216216216216,0.475177304964539,0.9228130360205832,runner failure/monitoring row only; no baseline transition
surf_shape_063_asymmetric_corrosion,train,asymmetric_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,29.660068863327506,0.6027963687135139,0.00018158806306345593,0.0002654486528781286,0.00011905125955241824,0.7296786389413988,0.6870748299319728,0.9704749679075738,runner failure/monitoring row only; no baseline transition
