sample_id,source_index,split,defect_type,source_pack,method,threshold,dense_threshold,geometry_threshold,extraction_threshold,pred_center_x,pred_center_y,pred_width,pred_length,pred_depth,pred_angle_deg,pred_angle_rad,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,dense_iou,dense_dice,dense_area_error,dense_center_error_px,dense_pred_area,true_area,geometry_iou,geometry_dice,geometry_area_error,center_abs_error_m,width_abs_error_m,length_abs_error_m,depth_abs_error_m,angle_abs_error_deg,empty_prediction,fallback_used,component_area_px,depth_source,type_probability_source,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.002686886366939655,5.486968298343972e-05,0.014024693005399425,0.007174896497802468,0.001500000013038516,1.9700910599758572,0.034384575560683785,0.7930325905539396,0.2069674094460604,rectangular_notch,0.7956810631229236,0.8862164662349676,0.05904761904761905,1.923321285928146,556.0,525.0,0.7612456747404844,0.8644400785854617,0.06095238095238095,0.0006371189585544597,0.0019753082,0.0006748964,9.999995e-05,nan,0.0,0.0,486.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.0008000895660011962,0.0002023621503113641,0.01145150813540425,0.007787136989131191,0.001500000013038516,1.9622954399262937,0.03424851632358442,0.7934587691099279,0.20654123089007212,rectangular_notch,0.8592750533049041,0.9243119266055045,0.0861244019138756,1.2196140858911653,454.0,418.0,0.8389830508474576,0.9124423963133641,0.07655502392344497,0.0003018232538603146,0.0005484922,0.0007871366,0.00049999997,nan,0.0,0.0,422.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-6.407122147654441e-05,0.00012066211674573814,0.012642113806301147,0.007708554856705195,0.001500000013038516,1.0317632633476421,0.018007666046537685,0.839710941197912,0.160289058802088,rectangular_notch,0.7120567375886525,0.831814415907208,0.28551136363636365,2.8126417760778124,503.0,704.0,0.7017045454545454,0.8247078464106845,0.29829545454545453,0.001115228025953147,0.0013578869,0.0022914447,0.00040000002,nan,0.0,0.0,467.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.001558910634922966,0.00014489588067106423,0.011397011603905372,0.007643318114405474,0.001500000013038516,-0.5601791102087645,-0.00977696987403512,0.8597570567947769,0.14024294320522313,rectangular_notch,0.8394160583941606,0.9126984126984127,0.09090909090909091,1.5231660192579937,480.0,528.0,0.8523364485981308,0.9202825428859738,0.12310606060606061,0.0008217853413972158,0.0026029889,0.00014331844,0.00020000001,nan,0.0,0.0,436.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002544935035739361,7.032349122145885e-05,0.012045929544977064,0.007727275196721837,0.001500000013038516,0.7069319615650613,0.012338290316892327,0.8537543810710162,0.14624561892898386,rectangular_notch,0.7446043165467626,0.8536082474226804,0.09956709956709957,2.923229009252557,508.0,462.0,0.7380073800738007,0.8492569002123143,0.03896103896103896,0.0009753385603514592,0.00095407106,0.0007272749,0.00020000001,nan,0.0,0.0,474.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0026288713704949868,0.0,0.009557487577740598,0.00675346271606628,0.001500000013038516,2.0733742401388326,0.0361872071164582,0.7873248841898515,0.21267511581014859,rectangular_notch,0.7044334975369458,0.8265895953757225,0.08310249307479224,1.7428882310967109,331.0,361.0,0.7019704433497537,0.8248914616497829,0.08587257617728532,0.0006273306065033789,0.0024425127,0.0007534628,0.0009999999,nan,0.0,0.0,300.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0017106392441794136,-6.770480797136141e-05,0.012619088561309211,0.006714258473189077,0.001500000013038516,0.2891022166358539,0.005045785555109575,0.8703021114774867,0.12969788852251324,rectangular_notch,0.7522935779816514,0.8586387434554974,0.0670995670995671,3.233031090613579,493.0,462.0,0.7569721115537849,0.8616780045351474,0.09090909090909091,0.0009557945704336304,0.00038091186,0.00028574187,0.0009999999,nan,0.0,0.0,422.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.0012079388876502274,9.749717779338974e-05,0.014554721134871645,0.007705166203428275,0.001500000013038516,-1.1386349103169096,-0.019872928163180422,0.8348578744330528,0.16514212556694718,rectangular_notch,0.7289719626168224,0.8432432432432433,0.1346153846153846,2.9216253794419775,590.0,520.0,0.6913385826771653,0.8175046554934823,0.06538461538461539,0.0010120372619858427,0.0014452795,0.0012051659,0.00020000001,nan,0.0,0.0,534.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0034645669261171258,0.0003084330146434889,0.011522523738242193,0.00753453680828497,0.001500000013038516,2.1668413014742214,0.037818515078924225,0.7820613461115348,0.21793865388846523,rectangular_notch,0.5794251134644478,0.7337164750957854,0.18434782608695652,5.098887110011298,469.0,575.0,0.5837173579109063,0.7371483996120272,0.20695652173913043,0.001785264743703122,0.0024774764,0.00046546338,0.00040000002,nan,0.0,0.0,422.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002699049521803511,1.340772390710723e-05,0.010797192200179575,0.007027780128220659,0.001500000013038516,-1.0177481486115312,-0.017763056149347773,0.840338738743116,0.15966126125688396,rectangular_notch,0.7967479674796748,0.8868778280542986,0.13894736842105262,1.9401097393956581,409.0,475.0,0.7873684210526316,0.8810365135453475,0.21263157894736842,0.0005951124133774462,0.0012028078,0.0009722202,0.00020000001,nan,0.0,0.0,367.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0016,15,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.003204522486283587,0.0009328449344955002,0.010624403351447764,0.008849475367363994,0.001500000013038516,8.4889342145363,0.14815985202885712,0.4081621646107986,0.5918378353892014,rotated_rect,0.7317554240631163,0.8451025056947609,0.04017857142857143,3.0850027151201243,430.0,448.0,0.7031539888682746,0.8257080610021786,0.049107142857142856,0.0009550021404183561,0.0016244035,0.0011505242,0.00040000002,nan,0.0,0.0,390.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0017,16,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0021068187472492433,0.0003197877431002273,0.010173424416362514,0.007475134928577673,0.001500000013038516,2.0254577380914043,0.035350906389691975,0.7899870604849192,0.2100129395150808,rectangular_notch,0.6588447653429603,0.794341675734494,0.31066176470588236,2.107284719464569,375.0,544.0,0.7058823529411765,0.8275862068965517,0.29411764705882354,0.0009115469439115495,0.0008265758,0.0025248649,0.00040000002,nan,0.0,0.0,341.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0019,18,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.0023274005273396774,8.440137519455296e-05,0.012611027141823649,0.007611425077886834,0.001500000013038516,-0.22926382332502726,-0.0040014085727323,0.8725369768569243,0.12746302314307564,rectangular_notch,0.7159468438538206,0.8344627299128751,0.03238095238095238,1.4330384179072861,508.0,525.0,0.717948717948718,0.835820895522388,0.08571428571428572,0.0007906404829913595,0.003388974,0.001111425,0.00040000002,nan,0.0,0.0,457.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0020,19,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.002764654397235068,0.00015184754801681897,0.01094606392011193,0.007404298672888058,0.001500000013038516,3.589999071418248,0.06265730393978748,0.6906871276761472,0.30931287232385285,rectangular_notch,0.7681159420289855,0.8688524590163934,0.04576659038901602,2.44600202156585,417.0,437.0,0.7579617834394905,0.8623188405797102,0.10526315789473684,0.0008305266108631947,0.0010539358,9.570131e-05,0.00040000002,nan,0.0,0.0,369.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0021,20,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002680634072902797,-1.6782042136547126e-05,0.012620662257223858,0.00764633967401264,0.001500000013038516,-0.8531006551945666,-0.014889415284066053,0.8475654984647304,0.1524345015352696,rectangular_notch,0.666095890410959,0.7995889003083247,0.027083333333333334,3.1730430656794155,493.0,480.0,0.6551724137931034,0.7916666666666666,0.0,0.0010337853396349074,0.0023793373,0.0011463393,0.00020000001,nan,0.0,0.0,454.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0022,21,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.0026213807713672474,0.00012987013176363839,0.009707041474259886,0.006972567373498658,0.001500000013038516,-3.2969559255008107,-0.057542736193126026,0.7111579773984216,0.2888420226015785,rectangular_notch,0.6175438596491228,0.7635574837310195,0.3824561403508772,0.9486467158144929,352.0,570.0,0.6052631578947368,0.7540983606557377,0.39473684210526316,0.00039343367074812674,0.002292959,0.0025274325,0.00040000002,nan,0.0,0.0,319.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0023,22,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.001687240703356883,-7.851169099129977e-06,0.013318251697250056,0.007380321911858487,0.001500000013038516,1.0387163294254833,0.018129019942704744,0.8393987427985748,0.16060125720142515,rectangular_notch,0.6591549295774648,0.7945670628183361,0.18769230769230769,3.7039421721706494,528.0,650.0,0.6185133239831697,0.7642980935875217,0.2246153846153846,0.0013762936205911891,0.002681749,0.0006196783,0.0009999999,nan,0.0,0.0,465.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0024,23,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.0020381934857183273,0.00021127531851572253,0.011368648839027658,0.007652695229643618,0.001500000013038516,0.34142174987127305,0.005958933673174241,0.8683208205794535,0.13167917942054647,rectangular_notch,0.7321428571428571,0.845360824742268,0.10916179337231968,2.921542529436863,457.0,513.0,0.7796610169491526,0.8761904761904762,0.15789473684210525,0.000954850172308432,0.000631351,0.0008473052,0.00049999997,nan,0.0,0.0,435.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0027,26,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0019413281234179054,0.00010394718187894112,0.013369267618333276,0.007456644512897845,0.001500000013038516,2.077618046915404,0.03626127551752782,0.787087920673516,0.212912079326484,rectangular_notch,0.6950354609929078,0.8200836820083682,0.17272727272727273,2.2006835830437583,516.0,440.0,0.7236363636363636,0.8396624472573839,0.15454545454545454,0.0011958544264895413,0.0006307326,0.0009566443,0.00040000002,nan,0.0,0.0,452.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0028,27,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0009252785224877143,-6.586310922997111e-06,0.013246591609416613,0.007661216953552524,0.001500000013038516,0.4825257102438911,0.008421662369280032,0.8628491065640674,0.13715089343593254,rectangular_notch,0.7241379310344828,0.84,0.38095238095238093,0.09266962929078534,522.0,378.0,0.75,0.8571428571428571,0.3333333333333333,0.00017540221823101555,0.00024659093,0.0016612168,0.00049999997,nan,0.0,0.0,482.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0029,28,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.002563336310086093,2.1998848476167172e-05,0.013406600464532601,0.007066869972543583,0.001500000013038516,1.97638029748461,0.03449434346265145,0.7926882910017872,0.2073117089982128,rectangular_notch,0.7932773109243697,0.8847235238987816,0.020833333333333332,2.307350149417585,539.0,528.0,0.7692307692307693,0.8695652173913043,0.08333333333333333,0.0010635639228046957,0.0005933996,0.00043312972,0.0007,nan,0.0,0.0,469.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0031,30,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002417697772103739,0.00011715797369279676,0.011984097356574085,0.00756893353258292,0.001500000013038516,-0.7498376511018705,-0.013087135867148127,0.8519596274852178,0.14804037251478222,rectangular_notch,0.776173285198556,0.8739837398373984,0.12571428571428572,2.088959964179653,459.0,525.0,0.8033088235294118,0.890927624872579,0.13142857142857142,0.0008485045055132131,0.0010159025,0.00043106684,0.00049999997,nan,0.0,0.0,420.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0032,31,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.001993201040693755,9.957241884396649e-06,0.015172619832455055,0.00746989334470478,0.001500000013038516,1.027753653519369,0.017937685153313995,0.8398907526485024,0.16010924735149756,rectangular_notch,0.7480438184663537,0.855863921217547,0.11553030303030302,2.683558337836732,589.0,528.0,0.7777777777777778,0.875,0.09090909090909091,0.0007094389293575912,0.00017261971,0.00046989322,0.00049999997,nan,0.0,0.0,542.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0033,32,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0025905195660337462,6.757187356084892e-05,0.014606912795996841,0.007432214459783227,0.001500000013038516,1.7414408643144839,0.030393876811063567,0.8052631113439002,0.19473688865609987,rectangular_notch,0.7602523659305994,0.8637992831541219,0.021739130434782608,2.6971168241327557,564.0,552.0,0.7412698412698413,0.8514129443938013,0.012681159420289856,0.0009926610519041716,0.0006069122,6.778538e-05,0.00049999997,nan,0.0,0.0,498.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0034,33,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0018550254805150496,-1.7507002613616778e-06,0.014647528753670827,0.007589129370785343,0.001500000013038516,1.7648817177309581,0.030802996882658407,0.8040349000069106,0.19596509999308945,rectangular_notch,0.7048567870485679,0.8268809349890431,0.24487179487179486,3.0191810543359816,589.0,780.0,0.6865671641791045,0.8141592920353983,0.26153846153846155,0.001212160794742559,0.0013524722,0.0019108704,0.00020000001,nan,0.0,0.0,544.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0036,35,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002333417987867382,0.00022244979510597859,0.009123102485288219,0.0066334300021447705,0.001500000013038516,-4.627465951461943,-0.08076451687694301,0.6124236332822017,0.38757636671779827,rectangular_notch,0.5644444444444444,0.7215909090909091,0.23558897243107768,2.897895148434382,305.0,399.0,0.5553097345132744,0.7140825035561877,0.23809523809523808,0.001024166014970765,0.0038768975,0.00063342974,0.0007,nan,0.0,0.0,279.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0037,36,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.002410948640317656,-6.928697494292883e-06,0.014671439224679183,0.007464510448168286,0.001500000013038516,2.186617316530061,0.038163671654572594,0.7809357066856584,0.21906429331434168,rectangular_notch,0.7563380281690141,0.8612670408981555,0.15259259259259259,2.4553086395458763,572.0,675.0,0.8117647058823529,0.8961038961038961,0.1748148148148148,0.0010358315145774536,0.0013285615,0.0010354901,0.00040000002,nan,0.0,0.0,504.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0038,37,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.003514060739793682,0.00026228269368099667,0.011644615779809148,0.007669681662918505,0.001500000013038516,3.472107642777104,0.06059971035011957,0.6990190004252845,0.3009809995747154,rectangular_notch,0.6710914454277286,0.8031774051191527,0.31398809523809523,1.574449212082447,461.0,672.0,0.6815476190476191,0.8106194690265487,0.31845238095238093,0.0005771054010980843,0.0013553845,0.002330318,0.0009999999,nan,0.0,0.0,420.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0039,38,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.002640351752127678,0.00044629973863620406,0.009342474902469335,0.007748682777717524,0.001500000013038516,7.835608984899977,0.13675717568535525,0.44888789775178495,0.551112102248215,rotated_rect,0.7028824833702882,0.8255208333333334,0.2304147465437788,0.7879941479175322,334.0,434.0,0.720173535791757,0.8373266078184111,0.1728110599078341,0.00036363535801467277,0.00034247525,0.0022513168,0.0007,nan,0.0,0.0,308.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0042,41,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0011087516194925174,5.03845115554539e-05,0.01205097466635757,0.007094610646142489,0.001500000013038516,1.014946451671932,0.01771415731310872,0.8404639997200659,0.15953600027993406,rectangular_notch,0.7430441898527005,0.8525821596244132,0.20707070707070707,2.1596711613056025,471.0,594.0,0.7037037037037037,0.8260869565217391,0.2962962962962963,0.001196446522547831,0.0019490253,0.00140539,0.00040000002,nan,0.0,0.0,419.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0044,43,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,0.0006252758245802537,0.0003057545556475279,0.009628615970894053,0.007458276566724882,0.001500000013038516,-2.100196474769291,-0.03665534342350214,0.785823960708914,0.21417603929108595,rectangular_notch,0.6491228070175439,0.7872340425531915,0.3508771929824561,1.0843632608675766,370.0,570.0,0.6736842105263158,0.8050314465408805,0.3263157894736842,0.0002308406730133424,0.0023713838,0.002041723,9.999995e-05,nan,0.0,0.0,339.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0046,45,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,1.6744742965726536e-05,0.00014587100772069225,0.010851313100481496,0.007556717319093608,0.001500000013038516,1.7787708232612545,0.03104540750431903,0.8033044043816162,0.1966955956183838,rectangular_notch,0.6392045454545454,0.779896013864818,0.36079545454545453,3.472994936241702,450.0,704.0,0.5923295454545454,0.743978590544157,0.40767045454545453,0.001145993346772112,0.003148687,0.0024432824,9.999995e-05,nan,0.0,0.0,395.0,train_median_depth,angle_aspect_heuristic_no_true_type,
rect_p2_0048,47,train,rectangular_notch,pilot_v2_rectangular_notch,hybrid_threshold_sweep_t0.90,0.5,0.8,0.5,0.9,-0.002162729640258476,0.0001541950125274958,0.007666752511113262,0.0063358165787103845,0.001500000013038516,-3.7217075254501424,-0.06495605011535564,0.7290456249075693,0.2709543750924307,rectangular_notch,0.6357615894039735,0.7773279352226721,0.14285714285714285,2.628817996102588,228.0,266.0,0.643312101910828,0.7829457364341085,0.06015037593984962,0.0014544366883060167,0.0013332469,0.0003358163,0.0007,nan,0.0,0.0,210.0,train_median_depth,angle_aspect_heuristic_no_true_type,
