sample_index,defect_type,true_area,area_bin,baseline_iou,baseline_dice,baseline_area_error,baseline_pred_area,baseline_center_error,baseline_defect_mae,baseline_background_mae,composite_mean_iou,composite_mean_dice,composite_mean_area_error,composite_mean_pred_area,composite_mean_center_error,composite_mean_defect_mae,composite_mean_background_mae,delta_iou,delta_dice,delta_area_error,delta_pred_area,delta_center_error,delta_defect_mae,delta_background_mae,baseline_pred_area_zero,composite_pred_area_zero,pred_area_zero_repaired,composite_clearly_worse
0,rotated_rect,12.821701456477996,large,0.4634420697412823,0.633358954650269,0.45486935866983375,6.989502337913777,0.6125524044036865,531.8197021484375,15.453922271728516,0.5315208895031304,0.6922558003078781,0.35075217735550274,8.324461753216118,0.5471122066179911,487.16895548502606,19.732653935750324,0.06807881976184804,0.05889684565760911,-0.10411718131433101,1.3349594153023414,-0.06544019778569543,-44.65074666341144,4.278731664021809,False,False,False,False
1,polygon,3.091217809578424,small,0.11699779249448124,0.20948616600790515,0.49261083743842365,4.613985203459421,1.3912712335586548,609.6412963867188,26.347307205200195,0.18429446026418125,0.3003400518823467,0.5057471264367815,4.654592333962914,1.2194092273712158,562.8586018880209,29.19750150044759,0.06729666776970002,0.09085388587444154,0.013136288998357892,0.04060713050349296,-0.17186200618743896,-46.78269449869788,2.8501942952473946,False,False,False,False
2,multi_defect,7.019957685791397,small,0.5553145336225597,0.7140864714086471,0.44468546637744033,3.8982845283353527,0.20385627448558807,496.3576354980469,17.112537384033203,0.5601478951010574,0.6960892968440139,0.38756326825741144,4.624136986085294,0.2710847059885661,458.7481384277344,21.713219960530598,0.004833361478497777,-0.017997174564633234,-0.05712219812002889,0.7258524577499417,0.06722843150297803,-37.6094970703125,4.600682576497395,False,False,False,False
3,multi_defect,21.57761397129373,large,0.21415034744156664,0.35275754422476585,0.6436132674664785,7.6899753390990355,3.491194248199463,631.3897705078125,34.14764404296875,0.38138023807263255,0.5479741853083139,0.1997177134791814,17.268182246610507,1.6590773562590282,525.2780354817709,50.25624338785807,0.16722989063106591,0.19521664108354803,-0.4438955539872971,9.578206907511472,-1.8321168919404347,-106.11173502604163,16.10859934488932,False,False,False,False
4,rotated_rect,11.100974301392469,medium,0.24045801526717558,0.38769230769230767,0.2167352537722908,8.695001819060494,1.7348198890686035,615.2255859375,26.804615020751953,0.2927362029768617,0.4525872745974768,0.12437128486511202,9.720331864273698,1.601792295773824,553.2473551432291,29.355993906656902,0.05227818770968612,0.0648949669051691,-0.09236396890717878,1.0253300452132041,-0.13302759329477953,-61.97823079427087,2.551378885904949,False,False,False,False
5,rotated_rect,11.923268694088208,large,0.38615847542627885,0.557163531114327,0.23499361430395913,9.121376689347173,1.1394240856170654,508.8383483886719,24.32913589477539,0.4463018332162933,0.6165999576782251,0.1656023839931886,10.2329968868803,1.0371191104253132,460.8314514160156,26.005756378173828,0.06014335779001445,0.059436426563898026,-0.06939123031077052,1.111620197533128,-0.10230497519175219,-48.00689697265625,1.6766204833984375,False,False,False,False
6,polygon,5.786516096747789,small,0.0,0.0,1.0,0.0,nan,660.5233764648438,14.495272636413574,0.13473105841526894,0.2179065068465582,0.7921052631578948,1.2029862411659877,0.6266684234142303,640.8171793619791,20.623201688130695,0.13473105841526894,0.2179065068465582,-0.20789473684210524,1.2029862411659877,nan,-19.70619710286462,6.127929051717121,True,False,True,False
7,polygon,15.85200857030118,large,0.2020618556701031,0.3361921097770154,0.31988472622478387,10.78119314867746,2.0978219509124756,681.7536010742188,30.854280471801758,0.24617845146764394,0.3950356853134788,0.18892090938200448,13.933321654011124,2.030906875928243,612.9883219401041,37.18967946370443,0.04411659579754085,0.05884357553646341,-0.13096381684277938,3.152128505333664,-0.06691507498423244,-68.76527913411462,6.335398991902672,False,False,False,False
8,polygon,5.3449135525223,small,0.1800356506238859,0.30513595166163143,0.11396011396011396,4.735806594969901,1.5227617025375366,556.3837280273438,23.48776626586914,0.15001964574227225,0.252256750902704,0.2564102564102564,5.893109814319459,1.674777626991272,579.0932312011719,28.87264633178711,-0.030016004881613656,-0.052879200758927436,0.14245014245014243,1.1573032193495578,0.15201592445373535,22.709503173828125,5.384880065917969,False,False,False,True
9,rotated_rect,8.588408101488824,medium,0.4795417348608838,0.6482300884955752,0.3971631205673759,5.17740913919539,0.9578953385353088,542.3037719726562,18.070512771606445,0.5302590933089467,0.6925719505340279,0.15130023640661938,7.288979925377039,0.8409260908762614,474.91778564453125,24.52729606628418,0.05071735844806291,0.044341862038452695,-0.24586288416075652,2.111570786181649,-0.11696924765904748,-67.385986328125,6.456783294677734,False,False,False,False
