split,group_name,group_value,sample_count,mse_mean,mae_mean,rmse_mean,nrmse_mean,correlation_mean,amplitude_abs_error_mean,abs_peak_index_error_mean
train,overall,rect_rot,268,0.1700919215609111,0.2922063396214994,0.38016285347775236,0.430260194587876,0.9408857153894997,1.353534229655764,31.03606965174129
train,defect_type,rectangular_notch,134,0.25061355075284614,0.37591251508513496,0.4934215330709456,0.5220932373878447,0.9300629503899117,2.0690953571404984,28.950248756218908
train,defect_type,rotated_rect,134,0.08957029236897604,0.20850016415786388,0.266904173884559,0.3384271517879072,0.9517084803890876,0.6379731021710296,33.12189054726369
train,source_pack,pilot_v2_rectangular_notch,81,0.2618048053096842,0.3884555594420727,0.502684921829892,0.37798746122210153,0.953948291617152,2.390824576954783,21.292181069958847
train,source_pack,pilot_v3_rotated_rect,30,0.2486442965765794,0.3691929027438164,0.47743125667214037,0.3648479633111518,0.9446903759138684,1.7573975563049316,22.233333333333334
train,source_pack,pilot_v7_topup_rotated_rect,16,0.041274599032476544,0.15705297607928514,0.201985113116089,0.28878514617203055,0.9636161575153055,0.24732418358325958,29.666666666666664
train,source_pack,pilot_v8_topup_rotated_rect,24,0.038519936691348754,0.154431553867956,0.19471579221555033,0.28321421207345443,0.964105545542398,0.39507835110028583,43.23611111111111
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.23350993529805597,0.35674295672830547,0.47926427855255604,0.7423303669996411,0.8935589383256392,1.5773959834620637,40.65408805031447
train,source_pack,pilot_v9_topup_rotated_rect,64,0.04622215960989706,0.16631296882405877,0.211520012145876,0.35915775018327534,0.9473723981478006,0.30199065059423447,35.296875
val,overall,rect_rot,66,0.18587816486868894,0.3033901777005557,0.39766906443752004,0.46485135085605434,0.9355425933727642,1.4140601772250552,32.686868686868685
val,defect_type,rectangular_notch,33,0.2634308139483134,0.3763472455920595,0.5002999367717721,0.5897785553575942,0.9181005386512582,2.0776764046062124,31.888888888888886
val,defect_type,rotated_rect,33,0.10832551578906449,0.23043310980905185,0.29503819210326815,0.3399241463545144,0.9529846480942706,0.750443949843898,33.48484848484848
val,source_pack,pilot_v2_rectangular_notch,19,0.3031511542044188,0.3997993422181983,0.5411089936167246,0.42681553523965404,0.9324252731894144,2.5359029644413997,23.982456140350877
val,source_pack,pilot_v3_rotated_rect,9,0.2648955004082786,0.3829362756676144,0.49712995311131825,0.3840231698533645,0.9360477814360776,2.0887778070237903,27.222222222222218
val,source_pack,pilot_v7_topup_rotated_rect,8,0.05966540053486824,0.19009757600724697,0.24114363969744712,0.3505986415946092,0.9615764564668355,0.23633089661598206,31.208333333333336
val,source_pack,pilot_v8_topup_rotated_rect,8,0.04128551692701876,0.15724477637559175,0.19838044185192555,0.3082514369215943,0.9617311532673778,0.3347083628177643,38.875
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.2095246378864561,0.3445194001708712,0.444916216767908,0.8109426540890846,0.8986598274923321,1.4557975019727434,42.61904761904761
val,source_pack,pilot_v9_topup_rotated_rect,8,0.04788439720869064,0.172390915453434,0.2182372636263754,0.3113109591111335,0.954700309539066,0.17466700077056885,37.41666666666667
test,overall,rect_rot,66,0.2039949991599177,0.3154768979910648,0.41068619743961016,0.4632041978182715,0.938864867404628,1.4395402814402725,27.90909090909091
test,defect_type,rectangular_notch,33,0.3117845961541841,0.41469844904812897,0.5468034067987344,0.607800479420209,0.9228972107810278,2.1941193667325107,23.767676767676768
test,defect_type,rotated_rect,33,0.09620540216565132,0.21625534693400064,0.27456898808048597,0.31860791621633405,0.9548325240282283,0.6849611961480343,32.05050505050505
test,source_pack,pilot_v2_rectangular_notch,20,0.32249550670385363,0.4185308784246445,0.5550871315249651,0.4163386002970307,0.9384787887183512,2.255097472667694,21.6
test,source_pack,pilot_v3_rotated_rect,9,0.2485827033718427,0.3753888077206082,0.4878235823966144,0.361271918033119,0.9484410416740366,1.7960726155175104,26.88888888888889
test,source_pack,pilot_v7_topup_rotated_rect,8,0.03861759859137237,0.1529290396720171,0.19006473485898454,0.27906049292035384,0.9608218524287271,0.23644697666168213,33.625
test,source_pack,pilot_v8_topup_rotated_rect,8,0.043426715303212404,0.16577844321727753,0.20760748457609646,0.29692390435764404,0.9591447257795969,0.28805968165397644,31.25
test,source_pack,pilot_v9_topup_rectangular_notch,13,0.2953062722316155,0.4088024038534898,0.5340592149122256,0.902357216532791,0.8989255524159151,2.100306896062998,27.102564102564106
test,source_pack,pilot_v9_topup_rotated_rect,8,0.035147428745403886,0.15103341452777386,0.18612332620073235,0.3318423493271212,0.9517214115248263,0.2803765833377838,37.083333333333336
