candidate,seed,split,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy,shape_macro_f1,selection_score,best_epoch
B2_feature_fusion_burial_head,2026,train,160,0.05574171990156174,0.12912169098854065,0.12929469347000122,0.011815519072115421,0.03966078534722328,0.3377147614955902,1.0,1.0,,277
B2_feature_fusion_burial_head,2026,val,40,0.23487666249275208,0.7214447259902954,0.41718119382858276,0.061452481895685196,0.18651756644248962,0.8896825313568115,1.0,1.0,0.26623319238424303,277
B2_feature_fusion_burial_head,2026,test,40,0.3952564597129822,0.8486037850379944,0.9846186637878418,0.08997005224227905,0.4132470190525055,1.4663500785827637,0.975,0.9753086419753086,,277
