sample_id,source_index,split,defect_type,stage,iou,dice,area_error,center_error_px,pred_area,true_area,forward_mse,forward_nrmse,forward_correlation,true_center_x,true_center_y,center_x,center_y,center_abs_error_m,true_width,width,width_abs_error_m,true_length,length,length_abs_error_m,true_depth,depth,depth_abs_error_m,true_angle_deg,angle_deg,angle_abs_error_deg,type_prob_rectangular_notch,type_prob_rotated_rect,parameter_drift_norm,selected_steps,selected_lr,selected_lambda_prior
rect_p2_0003,2,train,rectangular_notch,pre_refine,0.7612456747404844,0.8644400785854617,0.06095238095238095,1.7519449553461883,493.0,525.0,1.470430850982666,0.616902768611908,0.8733345428213396,0.003000000026077032,-0.0005000000237487257,0.0026868863496929407,5.4869684390723705e-05,0.0006371189585544597,0.01600000075995922,0.014024692587554455,0.001975308172404766,0.006500000134110451,0.007174896541982889,0.0006748964078724384,0.0015999999595806003,0.001500000013038516,9.999994654208422e-05,0.0,1.9700910130186038,nan,0.7930325865745544,0.20696741342544556,0.0,50,0.003,0.1
rect_p2_0004,3,train,rectangular_notch,pre_refine,0.8389830508474576,0.9124423963133641,0.07655502392344497,1.5811388300841898,450.0,418.0,2.1552469730377197,0.6344747543334961,0.8658656004495765,-0.000750000006519258,0.0005000000237487257,-0.000800089561380446,0.0002023621491389349,0.0003018232538603146,0.012000000104308128,0.011451507918536663,0.0005484921857714653,0.007000000216066837,0.007787136826664209,0.0007871366105973721,0.0010000000474974513,0.001500000013038516,0.0004999999655410647,0.0,1.9622954192980921,nan,0.7934587597846985,0.20654122531414032,0.0,50,0.003,0.1
rect_p2_0007,6,train,rectangular_notch,pre_refine,0.7017045454545454,0.8247078464106845,0.29829545454545453,2.8595902913296993,494.0,704.0,1.988263487815857,0.632121205329895,0.8489781151855468,-0.000750000006519258,0.0010000000474974513,-6.407122418750077e-05,0.00012066211638739333,0.001115228025953147,0.014000000432133675,0.012642113491892815,0.00135788694024086,0.009999999776482582,0.0077085550874471664,0.0022914446890354156,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,1.0317632533802485,nan,0.8397109508514404,0.16028906404972076,0.0,50,0.003,0.1
rect_p2_0008,7,train,rectangular_notch,pre_refine,0.8523364485981308,0.9202825428859738,0.12310606060606061,1.4368882606265851,463.0,528.0,2.088390827178955,0.621749997138977,0.8971686069444393,0.000750000006519258,0.0,0.0015589105896651745,0.00014489587920252234,0.0008217853413972158,0.014000000432133675,0.011397011578083038,0.0026029888540506363,0.007499999832361937,0.007643318269401789,0.00014331843703985214,0.0013000000035390258,0.001500000013038516,0.00020000000949949026,0.0,-0.5601790853565065,nan,0.8597570657730103,0.14024294912815094,0.0,50,0.003,0.1
rect_p2_0009,8,train,rectangular_notch,pre_refine,0.7380073800738007,0.8492569002123143,0.03896103896103896,3.0413812651491097,480.0,462.0,1.3729701042175293,0.587688684463501,0.8648300947397481,-0.0022499999031424522,0.0010000000474974513,-0.002544935094192624,7.032349094515666e-05,0.0009753385603514592,0.013000000268220901,0.012045929208397865,0.0009540710598230362,0.007000000216066837,0.007727275136858225,0.0007272749207913876,0.0013000000035390258,0.001500000013038516,0.00020000000949949026,0.0,0.7069319428940186,nan,0.8537544012069702,0.14624561369419098,0.0,50,0.003,0.1
rect_p2_0010,9,train,rectangular_notch,pre_refine,0.7019704433497537,0.8248914616497829,0.08587257617728532,1.8027756377319946,330.0,361.0,0.9075750708580017,0.628869354724884,0.8104859750688139,0.0022499999031424522,-0.0005000000237487257,0.0026288714725524187,0.0,0.0006273306065033789,0.012000000104308128,0.009557487443089485,0.002442512661218643,0.006000000052154064,0.006753462832421064,0.0007534627802670002,0.0024999999441206455,0.001500000013038516,0.0009999999310821295,0.0,2.0733741454397747,nan,0.7873249053955078,0.21267510950565338,0.0,50,0.003,0.1
rect_p2_0011,10,train,rectangular_notch,pre_refine,0.7569721115537849,0.8616780045351474,0.09090909090909091,2.5495097567963922,420.0,462.0,0.7666878700256348,0.6398728489875793,0.7797430284749564,0.001500000013038516,-0.0010000000474974513,0.0017106392187997699,-6.770480831619352e-05,0.0009557945704336304,0.013000000268220901,0.012619088403880596,0.00038091186434030533,0.007000000216066837,0.0067142583429813385,0.0002857418730854988,0.0024999999441206455,0.001500000013038516,0.0009999999310821295,0.0,0.28910221741192305,nan,0.870302140712738,0.12969788908958435,0.0,50,0.003,0.1
rect_p2_0012,11,train,rectangular_notch,pre_refine,0.6913385826771653,0.8175046554934823,0.06538461538461539,3.003434913142465,554.0,520.0,2.183166265487671,0.6205856204032898,0.8883040455820345,-0.000750000006519258,0.0010000000474974513,-0.0012079388834536076,9.749717719387263e-05,0.0010120372619858427,0.01600000075995922,0.014554721303284168,0.0014452794566750526,0.006500000134110451,0.007705166004598141,0.00120516587048769,0.0013000000035390258,0.001500000013038516,0.00020000000949949026,0.0,-1.1386349031583207,nan,0.8348578810691833,0.16514211893081665,0.0,50,0.003,0.1
rect_p2_0013,12,train,rectangular_notch,pre_refine,0.5837173579109063,0.7371483996120272,0.20695652173913043,4.924428900898052,456.0,575.0,1.5985207557678223,0.6304080486297607,0.8518736970889849,0.0022499999031424522,-0.0010000000474974513,0.003464567009359598,0.0003084330237470567,0.001785264743703122,0.014000000432133675,0.011522524058818817,0.0024774763733148575,0.00800000037997961,0.007534536998718977,0.00046546338126063347,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,2.1668412288065797,nan,0.7820613384246826,0.2179386466741562,0.0,50,0.003,0.1
rect_p2_0015,14,train,rectangular_notch,pre_refine,0.7873684210526316,0.8810365135453475,0.21263157894736842,1.5,374.0,475.0,2.135328769683838,0.6082983016967773,0.9029939366614973,-0.003000000026077032,-0.0005000000237487257,-0.002699049422517419,1.3407723599812016e-05,0.0005951124133774462,0.012000000104308128,0.010797192342579365,0.0012028077617287636,0.00800000037997961,0.007027780171483755,0.0009722202084958553,0.0013000000035390258,0.001500000013038516,0.00020000000949949026,0.0,-1.0177481320902055,nan,0.8403387665748596,0.15966126322746277,0.0,50,0.003,0.1
rect_p2_0016,15,train,rectangular_notch,pre_refine,0.7031539888682746,0.8257080610021786,0.049107142857142856,2.945910455367868,470.0,448.0,1.6849063634872437,0.6222120523452759,0.8588250796414402,0.003000000026077032,0.0,0.0032045224215835333,0.0009328449377790093,0.0009550021404183561,0.008999999612569809,0.01062440313398838,0.0016244035214185715,0.009999999776482582,0.008849475532770157,0.0011505242437124252,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,8.48893390712255,nan,0.4081621766090393,0.5918378233909607,0.0,50,0.003,0.1
rect_p2_0017,16,train,rectangular_notch,pre_refine,0.7058823529411765,0.8275862068965517,0.29411764705882354,2.0615528128088303,384.0,544.0,1.2472782135009766,0.6123414039611816,0.8356220348208179,0.001500000013038516,0.0010000000474974513,0.002106818836182356,0.0003197877376805991,0.0009115469439115495,0.010999999940395355,0.010173424147069454,0.000826575793325901,0.009999999776482582,0.007475134916603565,0.002524864859879017,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,2.0254578070911964,nan,0.7899870872497559,0.21001294255256653,0.0,50,0.003,0.1
rect_p2_0019,18,train,rectangular_notch,pre_refine,0.717948717948718,0.835820895522388,0.08571428571428572,1.5811388300841898,480.0,525.0,0.8363844752311707,0.5211111903190613,0.8911526872660019,-0.003000000026077032,0.0005000000237487257,-0.002327400492504239,8.440137753495947e-05,0.0007906404829913595,0.01600000075995922,0.012611026875674725,0.0033889738842844963,0.006500000134110451,0.007611425127834082,0.001111424993723631,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,-0.22926381054751405,nan,0.8725369572639465,0.12746302783489227,0.0,50,0.003,0.1
rect_p2_0020,19,train,rectangular_notch,pre_refine,0.7579617834394905,0.8623188405797102,0.10526315789473684,2.23606797749979,391.0,437.0,0.9711567759513855,0.5956161022186279,0.8357175361925199,0.0022499999031424522,-0.0005000000237487257,0.0027646543458104134,0.0001518475473858416,0.0008305266108631947,0.012000000104308128,0.010946064256131649,0.0010539358481764793,0.007499999832361937,0.007404298521578312,9.570131078362465e-05,0.0019000000320374966,0.001500000013038516,0.0004000000189989805,0.0,3.5899990810643003,nan,0.6906871199607849,0.3093128800392151,0.0,50,0.003,0.1
rect_p2_0021,20,train,rectangular_notch,pre_refine,0.6551724137931034,0.7916666666666666,0.0,3.1622776601683795,480.0,480.0,1.2493691444396973,0.5421978831291199,0.9200301913168178,-0.003000000026077032,-0.0010000000474974513,-0.0026806341484189034,-1.678204171184916e-05,0.0010337853396349074,0.014999999664723873,0.012620662339031696,0.002379337325692177,0.006500000134110451,0.007646339479833841,0.0011463393457233906,0.0013000000035390258,0.001500000013038516,0.00020000000949949026,0.0,-0.853100659174936,nan,0.8475654721260071,0.15243449807167053,0.0,50,0.003,0.1
