model,selected_model,seed,split,subset,sample_count,total_error_mean,total_error_median,total_error_p90,total_error_p95,total_error_max,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,dimension_outlier_count,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_error_count,shape_error_rate
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,all,240,0.07101745903491974,0.06612439453601837,0.11042142659425735,0.12752999365329742,0.23934587836265564,0.07773982733488083,0.06668855249881744,0.15794765949249268,0.17822147905826569,0.4423777461051941,0.8785860538482666,0.685942530632019,1.6704001426696777,2.22021222114563,4.624654769897461,6,0,0.0,0,0.0,0,0.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,source_v2,160,0.07450194656848907,0.0678408145904541,0.11766384541988373,0.13303501904010773,0.23934587836265564,0.08007480204105377,0.06580716371536255,0.1628582924604416,0.19110186398029327,0.4423777461051941,0.9084243774414062,0.7264382243156433,1.8666330575942993,2.231318950653076,4.624654769897461,6,0,0.0,0,0.0,0,0.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,hardcase_topup,80,0.06404848396778107,0.06334290653467178,0.08688671141862869,0.10616125166416168,0.11834365874528885,0.07306985557079315,0.06900098919868469,0.15282750129699707,0.1588326096534729,0.35099032521247864,0.8189094662666321,0.5806228518486023,1.5207008123397827,1.7062950134277344,2.7429964542388916,0,0,0.0,0,0.0,0,0.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,all,60,0.3284408152103424,0.24650827050209045,0.7070625424385071,1.0089068412780762,1.180846929550171,0.4234190881252289,0.11661963164806366,1.012337327003479,1.7299706935882568,3.1137120723724365,2.508730173110962,1.7685176134109497,5.412353515625,6.074960231781006,9.81159782409668,18,6,0.1,4,0.06666666666666667,10,0.16666666666666666
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,source_v2,40,0.24544677138328552,0.08741211146116257,0.5997817516326904,0.7286641001701355,1.1224204301834106,0.2503539025783539,0.09479839354753494,0.8207956552505493,1.0073490142822266,1.7095870971679688,1.9348284006118774,1.30121910572052,4.182469844818115,5.269668102264404,6.02680778503418,9,2,0.05,1,0.025,3,0.075
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,hardcase_topup,20,0.494428813457489,0.4869394600391388,0.7896990776062012,1.1037402153015137,1.180846929550171,0.7695494890213013,0.5208762884140015,2.1331701278686523,2.318183183670044,3.1137120723724365,3.6565330028533936,3.5758056640625,7.023587226867676,7.4512457847595215,9.81159782409668,9,4,0.2,3,0.15,7,0.35
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,all,60,0.43622827529907227,0.46704989671707153,0.817264199256897,0.9238609671592712,1.034522294998169,0.5375959277153015,0.3533366918563843,1.3012127876281738,1.763537049293518,2.7449653148651123,3.6769487857818604,3.114088535308838,7.196896553039551,8.379115104675293,12.820659637451172,30,10,0.16666666666666666,2,0.03333333333333333,15,0.25
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,source_v2,40,0.3680172562599182,0.3913067579269409,0.7173437476158142,0.7497274279594421,0.9561571478843689,0.4370293617248535,0.2070361226797104,1.0565704107284546,1.3714191913604736,1.9235620498657227,2.870267152786255,2.178274631500244,5.673315525054932,6.908687591552734,8.811397552490234,17,6,0.15,0,0.0,3,0.075
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,hardcase_topup,20,0.5726502537727356,0.5618190765380859,0.8490548133850098,0.9331890344619751,1.034522294998169,0.7387291193008423,0.6366032361984253,1.76753830909729,1.8848291635513306,2.7449653148651123,5.290310859680176,5.082638263702393,8.587333679199219,10.773783683776855,12.820659637451172,13,4,0.2,2,0.1,12,0.6
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,all,240,0.06989679485559464,0.06252113729715347,0.1144833043217659,0.13785284757614136,0.1987902820110321,0.0437668077647686,0.034966737031936646,0.08556301146745682,0.11177536100149155,0.17483776807785034,0.9672435522079468,0.7308627367019653,1.7695767879486084,2.1431796550750732,4.284567832946777,12,0,0.0,0,0.0,0,0.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,source_v2,160,0.07473652064800262,0.06694026291370392,0.12531466782093048,0.156310573220253,0.1987902820110321,0.042019739747047424,0.034121010452508926,0.08261768519878387,0.11108256876468658,0.16477850079536438,1.0674591064453125,0.8389442563056946,1.9595969915390015,2.7435965538024902,4.284567832946777,12,0,0.0,0,0.0,0,0.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,hardcase_topup,80,0.06021732836961746,0.054778244346380234,0.10341460257768631,0.1147032380104065,0.16319505870342255,0.04726094752550125,0.0422043651342392,0.09143798798322678,0.15476016700267792,0.17483776807785034,0.766812801361084,0.6499567627906799,1.467989206314087,1.620190143585205,2.197356700897217,0,0,0.0,0,0.0,0,0.0
