sample_id,source_index,split,defect_type,source_pack,dense_threshold,geometry_threshold,pred_defect_type,type_prob_rectangular_notch,type_prob_rotated_rect,dense_iou,dense_dice,dense_area_error,dense_center_error_px,dense_pred_area,initial_iou,refined_iou,delta_iou,initial_dice,refined_dice,delta_dice,initial_area_error,refined_area_error,delta_area_error,initial_center_error_px,refined_center_error_px,initial_pred_area,refined_pred_area,true_area,initial_forward_mse,refined_forward_mse,initial_forward_nrmse,refined_forward_nrmse,forward_nrmse_reduction,initial_forward_correlation,refined_forward_correlation,true_center_x,true_center_y,initial_center_x,initial_center_y,refined_center_x,refined_center_y,center_drift_m,true_width,initial_width,refined_width,width_drift_m,true_length,initial_length,refined_length,length_drift_m,true_depth,initial_depth,refined_depth,depth_drift_m,true_angle_deg,initial_angle_deg,refined_angle_deg,initial_angle_abs_error_deg,refined_angle_abs_error_deg,angle_error_delta,parameter_drift_norm,refinement_category,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7930325865745544,0.20696741342544556,0.7956810631229236,0.8862164662349676,0.05904761904761905,1.923321285928146,556.0,0.7612456747404844,0.7504078303425775,-0.010837844397906915,0.8644400785854617,0.8574091332712023,-0.007030945314259407,0.06095238095238095,0.04380952380952381,-0.01714285714285714,1.7519449553461883,2.4170532937346656,493.0,548.0,525.0,0.2003648728132248,0.1696029007434845,0.33956423946681635,0.31241206139950456,0.027152178067311794,0.9587174522014367,0.9601162887708569,0.003000000026077032,-0.0005000000237487257,0.0026868863496929407,5.4869684390723705e-05,0.0029598604887723923,0.0002453215420246124,0.0003328464971760508,0.01600000075995922,0.014024692587554455,0.014425423927605152,0.0004007313400506973,0.006500000134110451,0.007174896541982889,0.007487804628908634,0.000312908086925745,0.0015999999595806003,0.001500000013038516,0.0014156820252537727,-8.431798778474331e-05,0.0,1.9700910130186038,1.2230309616988198,nan,nan,nan,0.43045377426807435,worsened,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7934587597846985,0.20654122531414032,0.8592750533049041,0.9243119266055045,0.0861244019138756,1.2196140858911653,454.0,0.8389830508474576,0.8548057259713702,0.015822675123912555,0.9124423963133641,0.9217199558985667,0.0092775595852026,0.07655502392344497,0.16985645933014354,0.09330143540669857,1.5811388300841898,0.8751200370870902,450.0,489.0,418.0,0.46565741300582886,0.41512903571128845,0.43804442352532247,0.4135961150770274,0.024448308448295042,0.9536307635967615,0.9554361083249924,-0.000750000006519258,0.0005000000237487257,-0.000800089561380446,0.0002023621491389349,-0.0007006132509559393,0.0003953203558921814,0.00021709077799183786,0.012000000104308128,0.011451507918536663,0.011981790885329247,0.0005302829667925835,0.007000000216066837,0.007787136826664209,0.00810560304671526,0.0003184662200510502,0.0010000000474974513,0.001500000013038516,0.0014145199675112963,-8.548004552721977e-05,0.0,1.9622954192980921,0.7502908375189058,nan,nan,nan,0.4324781058398359,improved,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8397109508514404,0.16028906404972076,0.7120567375886525,0.831814415907208,0.28551136363636365,2.8126417760778124,503.0,0.7017045454545454,0.7123287671232876,0.010624221668742218,0.8247078464106845,0.832,0.007292153589315453,0.29829545454545453,0.22443181818181818,-0.07386363636363635,2.8595902913296993,2.5,494.0,546.0,704.0,0.41160324215888977,0.36369413137435913,0.42812663764895753,0.4024398729443733,0.025686764704584253,0.9493928850276208,0.9531734457141748,-0.000750000006519258,0.0010000000474974513,-6.407122418750077e-05,0.00012066211638739333,0.0003433171659708023,0.0003150780685245991,0.00045140098382203737,0.014000000432133675,0.012642113491892815,0.01314371358603239,0.000501600094139576,0.009999999776482582,0.0077085550874471664,0.008028021082282066,0.0003194659948348999,0.0019000000320374966,0.001500000013038516,0.001414660713635385,-8.533929940313101e-05,0.0,1.0317632533802485,0.2226478385214311,nan,nan,nan,0.4736664662079582,improved,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8597570657730103,0.14024294912815094,0.8394160583941606,0.9126984126984127,0.09090909090909091,1.5231660192579937,480.0,0.8523364485981308,0.7288428324697754,-0.12349361612835541,0.9202825428859738,0.8431568431568431,-0.07712569972913064,0.12310606060606061,0.10416666666666667,-0.018939393939393936,1.4368882606265851,2.727764758867456,463.0,473.0,528.0,0.46014854311943054,0.38744401931762695,0.4354259556058226,0.3995487429759195,0.035877212629903066,0.9710325891858972,0.9727349246069646,0.000750000006519258,0.0,0.0015589105896651745,0.00014489587920252234,0.0019212649203836918,0.0003391765058040619,0.00041115158137012127,0.014000000432133675,0.011397011578083038,0.0119387898594141,0.0005417782813310623,0.007499999832361937,0.007643318269401789,0.007965562865138054,0.0003222445957362652,0.0013000000035390258,0.001500000013038516,0.0014140477869659662,-8.595222607254982e-05,0.0,-0.5601790853565065,-4.025096645346099,nan,nan,nan,0.4802590966714381,worsened,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8537544012069702,0.14624561369419098,0.7446043165467626,0.8536082474226804,0.09956709956709957,2.923229009252557,508.0,0.7380073800738007,0.7565055762081785,0.018498196134377753,0.8492569002123143,0.8613756613756614,0.012118761163347092,0.03896103896103896,0.045454545454545456,0.006493506493506496,3.0413812651491097,2.458833593896403,480.0,483.0,462.0,0.2230844646692276,0.20425444841384888,0.3532668647758475,0.33802903224972486,0.015237832526122652,0.9514481765335527,0.9521213570229491,-0.0022499999031424522,0.0010000000474974513,-0.002544935094192624,7.032349094515666e-05,-0.002770408522337675,0.00026445859111845493,0.00029753436960079177,0.013000000268220901,0.012045929208397865,0.012435205280780792,0.00038927607238292694,0.007000000216066837,0.007727275136858225,0.00803801603615284,0.0003107408992946148,0.0013000000035390258,0.001500000013038516,0.0014156200923025608,-8.437992073595524e-05,0.0,0.7069319428940186,1.0685363515413626,nan,nan,nan,0.4238493773836362,improved,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7873249053955078,0.21267510950565338,0.7044334975369458,0.8265895953757225,0.08310249307479224,1.7428882310967109,331.0,0.7019704433497537,0.6964705882352941,-0.005499855114459606,0.8248914616497829,0.8210818307905686,-0.0038096308592142636,0.08587257617728532,0.002770083102493075,-0.08310249307479224,1.8027756377319946,2.737147293925187,330.0,360.0,361.0,0.17204466462135315,0.14464841783046722,0.4068801266366994,0.373080643641801,0.03379948299489843,0.9254871246180001,0.9344346084837938,0.0022499999031424522,-0.0005000000237487257,0.0026288714725524187,0.0,0.002885151654481888,0.00019339844584465027,0.00032106462045035096,0.012000000104308128,0.009557487443089485,0.010034158825874329,0.00047667138278484344,0.006000000052154064,0.006753462832421064,0.00705379992723465,0.0003003370948135853,0.0024999999441206455,0.001500000013038516,0.001589402207173407,8.940219413489103e-05,0.0,2.0733741454397747,-0.4863857215636887,nan,nan,nan,0.44324489807172324,neutral,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.870302140712738,0.12969788908958435,0.7522935779816514,0.8586387434554974,0.0670995670995671,3.233031090613579,493.0,0.7569721115537849,0.6955684007707129,-0.06140371078307194,0.8616780045351474,0.8204545454545454,-0.04122345908060199,0.09090909090909091,0.09523809523809523,0.004329004329004321,2.5495097567963922,3.0,420.0,418.0,462.0,0.15884338319301605,0.1484040468931198,0.4334040286796537,0.41892015132897614,0.014483877350677576,0.9077865945987715,0.912807062636919,0.001500000013038516,-0.0010000000474974513,0.0017106392187997699,-6.770480831619352e-05,0.0015860553830862045,0.00011543533764779568,0.00022149818325398497,0.013000000268220901,0.012619088403880596,0.012138541787862778,-0.00048054661601781845,0.007000000216066837,0.0067142583429813385,0.00701990257948637,0.0003056442365050316,0.0024999999441206455,0.001500000013038516,0.001589347724802792,8.934771176427603e-05,0.0,0.28910221741192305,1.1573141898778363,nan,nan,nan,0.4175463566184939,worsened,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8348578810691833,0.16514211893081665,0.7289719626168224,0.8432432432432433,0.1346153846153846,2.9216253794419775,590.0,0.6913385826771653,0.7547169811320755,0.06337839845491022,0.8175046554934823,0.8602150537634409,0.042710398269958594,0.06538461538461539,0.14615384615384616,0.08076923076923077,3.003434913142465,2.56363759861625,554.0,596.0,520.0,0.4700028896331787,0.4326833486557007,0.4288166929276933,0.4114399989910912,0.017376693936602128,0.954145919211488,0.9551083645981764,-0.000750000006519258,0.0010000000474974513,-0.0012079388834536076,9.749717719387263e-05,-0.0013875733129680157,0.0002937251701951027,0.00026603374504798754,0.01600000075995922,0.014554721303284168,0.014895432628691196,0.0003407113254070282,0.006500000134110451,0.007705166004598141,0.007925761863589287,0.0002205958589911461,0.0013000000035390258,0.001500000013038516,0.001414864556863904,-8.513545617461205e-05,0.0,-1.1386349031583207,1.744092219657341,nan,nan,nan,0.390689861239615,improved,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7820613384246826,0.2179386466741562,0.5794251134644478,0.7337164750957854,0.18434782608695652,5.098887110011298,469.0,0.5837173579109063,0.5671641791044776,-0.016553178806428703,0.7371483996120272,0.7238095238095238,-0.01333887580250337,0.20695652173913043,0.17391304347826086,-0.03304347826086956,4.924428900898052,5.385164807134504,456.0,475.0,575.0,0.22464965283870697,0.1871233880519867,0.3526662173667508,0.3218659385245589,0.030800278842191886,0.9637699092964678,0.9634899572316139,0.0022499999031424522,-0.0010000000474974513,0.003464567009359598,0.0003084330237470567,0.0036438442766666412,0.0004938193596899509,0.0002578922878401225,0.014000000432133675,0.011522524058818817,0.012054763734340668,0.0005322396755218506,0.00800000037997961,0.007534536998718977,0.00785480160266161,0.0003202646039426327,0.0019000000320374966,0.001500000013038516,0.0014151812065392733,-8.481880649924278e-05,0.0,2.1668412288065797,-0.6188460880978318,nan,nan,nan,0.4396349742470389,worsened,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8403387665748596,0.15966126322746277,0.7967479674796748,0.8868778280542986,0.13894736842105262,1.9401097393956581,409.0,0.7873684210526316,0.8032454361054767,0.01587701505284511,0.8810365135453475,0.890888638920135,0.009852125374787524,0.21263157894736842,0.12842105263157894,-0.08421052631578949,1.5,2.0615528128088303,374.0,414.0,475.0,0.46827518939971924,0.4025197923183441,0.42413642755874026,0.393231789754481,0.030904637804259283,0.9746624979438256,0.9755351284602765,-0.003000000026077032,-0.0005000000237487257,-0.002699049422517419,1.3407723599812016e-05,-0.0029122259002178907,0.0002109308261424303,0.0002906193132702501,0.012000000104308128,0.010797192342579365,0.011324947699904442,0.0005277553573250771,0.00800000037997961,0.007027780171483755,0.007340210489928722,0.00031243031844496727,0.0013000000035390258,0.001500000013038516,0.0014144395245239139,-8.556048851460218e-05,0.0,-1.0177481320902055,-0.9324017167597228,nan,nan,nan,0.4423398451676481,improved,
