seed,split,best_epoch,selected_threshold,best_val_score,initial_train_loss,final_train_loss,train_loss_decreased,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_zero_sum,pred_connected_component_count_mean,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
42,train,36,0.6,1.4065281120265314,0.9918112725019455,0.0022195603785803543,True,320,0.7964258799783307,0.8852272681048626,0.06391842743139738,1.7061105317629341,0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
42,val,36,0.6,1.4065281120265314,0.9918112725019455,0.0022195603785803543,True,80,0.6863372181729769,0.8032384258651468,0.08303718404404074,2.4070172930108193,0,3.0125,0.9875,0.0375,0.0,0.0125,0.0125,0.9875
42,test,36,0.6,1.4065281120265314,0.9918112725019455,0.0022195603785803543,True,80,0.6713822276373624,0.7910534974094503,0.08031805410460767,2.521145575997891,0,3.0375,0.9625,0.0125,0.0,0.0375,0.0375,0.9875
123,train,38,0.7,1.4117465278283603,0.9691023036837578,0.0002713505981773778,True,320,0.7746447728769723,0.8707306185366074,0.06601910383849355,1.8281886819831754,0,3.003125,0.996875,0.0,0.0,0.003125,0.003125,1.0
123,val,38,0.7,1.4117465278283603,0.9691023036837578,0.0002713505981773778,True,80,0.6861468558442987,0.8024555483534801,0.0767564976198316,2.3885980864072023,0,3.0125,0.9875,0.025,0.0,0.0125,0.0125,0.9916666666666666
123,test,38,0.7,1.4117465278283603,0.9691023036837578,0.0002713505981773778,True,80,0.6779594439061024,0.79626476230533,0.08172684405582824,2.519841688046788,0,3.0,1.0,0.0125,0.0,0.0,0.0,0.9875
2026,train,39,0.6,1.4267420528521408,0.9578537419438362,0.0036434334033401683,True,320,0.8056923879809709,0.8914945088187342,0.06347282996697161,1.6617751486253631,0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
2026,val,39,0.6,1.4267420528521408,0.9578537419438362,0.0036434334033401683,True,80,0.6959467331221024,0.8101429016215134,0.07942746689653599,2.379446735404257,0,3.0,1.0,0.025,0.0,0.0,0.0,0.9916666666666666
2026,test,39,0.6,1.4267420528521408,0.9578537419438362,0.0036434334033401683,True,80,0.6790746031953195,0.8000735127594256,0.085965326263352,2.34563390597688,0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
