seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,task_group=single_defect,train,1206,0.7697158335291976,0.867376020965914,0.11540123937098413,1.6266092336260265,386.2603648424544,402.5422885572139,0,0.18095648380777926,1.0165837479270314,0.9859038142620232,0.9859038142620232,0.011608623548922056,0.0024875621890547263,0.0,0.0,0.014096185737976783,0.014096185737976783,1.0
all,task_group=multi_defect_cc2,train,480,0.7270160473377122,0.8396978657330076,0.09294481856651479,2.541387862799099,687.9208333333333,714.18125,0,0.25582110141403974,2.0145833333333334,0.9854166666666667,0.0,0.9854166666666667,0.014583333333333334,0.0,0.0,0.014583333333333334,0.014583333333333334,1.0
all,task_group=multi_defect_cc3,train,960,0.8041458736420452,0.890136150294547,0.06329463657259153,1.5875369347605466,424.29895833333336,434.475,0,0.1552495573918956,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
all,task_group=single_defect,val,297,0.6606546481277323,0.7910277818668249,0.20276293872963833,2.7157737846384076,343.3636363636364,343.4141414141414,0,0.29114955224673755,1.0303030303030303,0.9764309764309764,0.9764309764309764,0.016835016835016835,0.006734006734006734,0.0,0.0,0.02356902356902357,0.02356902356902357,1.0
all,task_group=multi_defect_cc2,val,120,0.5896462866172303,0.7299852936921863,0.14127104861311135,5.079374516481536,667.5,721.225,0,0.4516095387438933,2.0416666666666665,0.9583333333333334,0.0,0.9583333333333334,0.041666666666666664,0.03333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.9666666666666667
all,task_group=multi_defect_cc3,val,240,0.6688673496861964,0.7880239055414561,0.09081745834189894,2.596335072911763,423.24583333333334,429.975,0,0.31483907730629046,3.025,0.9625,0.0,0.008333333333333333,0.9625,0.05416666666666667,0.0,0.029166666666666667,0.029166666666666667,0.9791666666666666
all,task_group=single_defect,test,297,0.6602194790888364,0.791689073963107,0.22066706340903064,2.4247099232410663,364.023569023569,372.6060606060606,0,0.29183371146821013,1.0067340067340067,0.9932659932659933,0.9932659932659933,0.006734006734006734,0.0,0.0,0.0,0.006734006734006734,0.006734006734006734,1.0
all,task_group=multi_defect_cc2,test,120,0.5597762318867867,0.6996447468266475,0.20067015538992936,4.283711133537498,656.725,708.875,0,0.4972887681176265,2.183333333333333,0.8583333333333333,0.0,0.8583333333333333,0.1,0.058333333333333334,0.0,0.14166666666666666,0.14166666666666666,0.9458333333333333
all,task_group=multi_defect_cc3,test,240,0.6717382358782754,0.7878645494213122,0.09647169109228858,2.509282678354699,424.9291666666667,428.275,0,0.32344021890312435,3.0416666666666665,0.9541666666666667,0.0,0.016666666666666666,0.9541666666666667,0.04583333333333333,0.0,0.029166666666666667,0.029166666666666667,0.9791666666666666
all,task_group=single_defect,all,1800,0.7336538394552962,0.8422902152591011,0.14718478073143976,1.938007998329551,375.5133333333333,387.8466666666667,0,0.2174330826641785,1.0172222222222222,0.9855555555555555,0.9855555555555555,0.011666666666666667,0.002777777777777778,0.0,0.0,0.014444444444444444,0.014444444444444444,1.0
all,task_group=multi_defect_cc2,all,720,0.6762477846424777,0.7980702505751439,0.11895341304484996,3.2547728502025723,679.3180555555556,714.4708333333333,0,0.32869711875294644,2.047222222222222,0.9597222222222223,0.0,0.9597222222222223,0.03333333333333333,0.015277777777777777,0.0,0.04027777777777778,0.04027777777777778,0.9854166666666667
all,task_group=multi_defect_cc3,all,1440,0.759531513355442,0.8560721760234925,0.07341128262075894,1.9092942483847746,424.2284722222222,432.69166666666666,0,0.20987958762949954,3.011111111111111,0.9861111111111112,0.0,0.004166666666666667,0.9861111111111112,0.016666666666666666,0.0,0.009722222222222222,0.009722222222222222,0.9930555555555556
