perturbation_name,perturbation_group,severity,affected_axis,failure_type,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,notes
additive_noise_0pct,additive_noise,0pct,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014706799993291497,0.5508156418800354,0.817966903073286,3.8477611541748047,2.7838423252105713,2.6442198753356934,0.3593856394290924,
additive_noise_0pct,additive_noise,0pct,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0012984289787709713,0.4455837607383728,0.764525993883792,1.5844646692276,8.182263374328613,2.1803689002990723,0.3438050448894501,
additive_noise_0pct,additive_noise,0pct,all,worst_profile_rmse,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0008533278596587479,0.43353500962257385,0.9030732860520094,0.794926643371582,0.6586704254150391,2.4213812351226807,0.24437867105007172,
additive_noise_0pct,additive_noise,0pct,all,worst_projected_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.00021151031251065433,0.14340972900390625,0.6105263157894737,1.914491891860962,8.090651512145996,0.5798640251159668,0.07596715539693832,
additive_noise_0pct,additive_noise,0pct,all,worst_projected_dice,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0002542581642046571,0.1495785266160965,0.6242774566473989,3.2465291023254395,8.660536766052246,0.007051043212413788,0.30870211124420166,
additive_noise_0pct,additive_noise,0pct,all,worst_projected_dice,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0006115867872722447,0.32608023285865784,0.6390977443609023,7.014718055725098,2.6673526763916016,1.6164323091506958,0.16111691296100616,
additive_noise_0pct,additive_noise,0pct,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0012984289787709713,0.4455837607383728,0.764525993883792,1.5844646692276,8.182263374328613,2.1803689002990723,0.3438050448894501,
additive_noise_0pct,additive_noise,0pct,all,worst_lwd_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0002542581642046571,0.1495785266160965,0.6242774566473989,3.2465291023254395,8.660536766052246,0.007051043212413788,0.30870211124420166,
additive_noise_0pct,additive_noise,0pct,all,worst_lwd_error,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0006115867872722447,0.32608023285865784,0.6390977443609023,7.014718055725098,2.6673526763916016,1.6164323091506958,0.16111691296100616,
additive_noise_0pct,additive_noise,0pct,all,worst_w_auxiliary,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.0003096933651249856,0.20797257125377655,0.9567496723460026,0.21451152861118317,0.3767293095588684,0.13078422844409943,0.36494746804237366,
additive_noise_0pct,additive_noise,0pct,all,worst_w_auxiliary,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014706799993291497,0.5508156418800354,0.817966903073286,3.8477611541748047,2.7838423252105713,2.6442198753356934,0.3593856394290924,
additive_noise_0pct,additive_noise,0pct,all,worst_w_auxiliary,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.0005388809950090945,0.30537548661231995,0.8186528497409327,2.4721901416778564,0.608741283416748,1.671295166015625,0.34988346695899963,
additive_noise_5pct,additive_noise,5pct,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014726710505783558,0.5515614151954651,0.817966903073286,3.8661398887634277,2.7841999530792236,2.648289442062378,0.35983672738075256,
additive_noise_5pct,additive_noise,5pct,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0013143966207280755,0.4510633945465088,0.7680491551459293,1.7122160196304321,8.116012573242188,2.2187747955322266,0.3440207242965698,
additive_noise_5pct,additive_noise,5pct,all,worst_profile_rmse,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0008883919799700379,0.4513494074344635,0.9030732860520094,0.7791370153427124,0.7351385354995728,2.500514507293701,0.2385314553976059,
additive_noise_5pct,additive_noise,5pct,all,worst_projected_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.0002193037507822737,0.14869388937950134,0.6105263157894737,1.8681920766830444,8.102066040039062,0.5968888401985168,0.07374695688486099,
additive_noise_5pct,additive_noise,5pct,all,worst_projected_dice,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0002875153732020408,0.16914352774620056,0.6266924564796905,3.04673433303833,8.61523723602295,0.10370416939258575,0.31407323479652405,
additive_noise_5pct,additive_noise,5pct,all,worst_projected_dice,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0006010620854794979,0.3204687833786011,0.6666666666666666,6.567802429199219,2.384713888168335,1.5973411798477173,0.1673598289489746,
additive_noise_5pct,additive_noise,5pct,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0013143966207280755,0.4510633945465088,0.7680491551459293,1.7122160196304321,8.116012573242188,2.2187747955322266,0.3440207242965698,
additive_noise_5pct,additive_noise,5pct,all,worst_lwd_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0002875153732020408,0.16914352774620056,0.6266924564796905,3.04673433303833,8.61523723602295,0.10370416939258575,0.31407323479652405,
additive_noise_5pct,additive_noise,5pct,all,worst_lwd_error,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.0006146017112769186,0.2581430673599243,0.7181102362204724,1.1721197366714478,8.029783248901367,1.5919795036315918,0.08320460468530655,
additive_noise_5pct,additive_noise,5pct,all,worst_w_auxiliary,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.0003135039296466857,0.210531547665596,0.9553805774278216,0.30583328008651733,0.2766270041465759,0.14535430073738098,0.36411991715431213,
additive_noise_5pct,additive_noise,5pct,all,worst_w_auxiliary,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014726710505783558,0.5515614151954651,0.817966903073286,3.8661398887634277,2.7841999530792236,2.648289442062378,0.35983672738075256,
additive_noise_5pct,additive_noise,5pct,all,worst_w_auxiliary,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.000539364933501929,0.3056497275829315,0.8061224489795918,2.567082643508911,0.6343442797660828,1.6723988056182861,0.3489411175251007,
additive_noise_10pct,additive_noise,10pct,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014952854253351688,0.5600311756134033,0.8081048867699643,4.103634357452393,2.9157605171203613,2.700899362564087,0.3608717620372772,
additive_noise_10pct,additive_noise,10pct,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.001410406781360507,0.48401132225990295,0.7701863354037267,2.0693297386169434,8.097185134887695,2.426715612411499,0.3560870885848999,
additive_noise_10pct,additive_noise,10pct,all,worst_profile_rmse,rbc_v3topup_122_test_boxy_deep_balanced,test,boxy,deep,balanced,0.0009747860603965819,0.40585896372795105,0.8228782287822878,4.252240180969238,3.4252264499664307,1.6625593900680542,0.2856801450252533,
additive_noise_10pct,additive_noise,10pct,all,worst_projected_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.0002958968107122928,0.20062609016895294,0.6359649122807017,1.2981817722320557,7.612677097320557,0.7781689167022705,0.07412761449813843,
additive_noise_10pct,additive_noise,10pct,all,worst_projected_dice,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.00032409257255494595,0.1906616985797882,0.6365422396856582,2.759263038635254,8.412895202636719,0.2143813818693161,0.3147362768650055,
additive_noise_10pct,additive_noise,10pct,all,worst_projected_dice,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0007333199610002339,0.39098483324050903,0.6538461538461539,6.685331344604492,2.610151767730713,1.88241708278656,0.146048903465271,
additive_noise_10pct,additive_noise,10pct,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.001410406781360507,0.48401132225990295,0.7701863354037267,2.0693297386169434,8.097185134887695,2.426715612411499,0.3560870885848999,
additive_noise_10pct,additive_noise,10pct,all,worst_lwd_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.00032409257255494595,0.1906616985797882,0.6365422396856582,2.759263038635254,8.412895202636719,0.2143813818693161,0.3147362768650055,
additive_noise_10pct,additive_noise,10pct,all,worst_lwd_error,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.0007087615085765719,0.2976917624473572,0.7229299363057324,1.5483107566833496,7.990362167358398,1.7951924800872803,0.07126780599355698,
additive_noise_10pct,additive_noise,10pct,all,worst_w_auxiliary,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.00031759031116962433,0.2132757157087326,0.9553805774278216,0.35131537914276123,0.24397484958171844,0.16122031211853027,0.3630836009979248,
additive_noise_10pct,additive_noise,10pct,all,worst_w_auxiliary,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014952854253351688,0.5600311756134033,0.8081048867699643,4.103634357452393,2.9157605171203613,2.700899362564087,0.3608717620372772,
additive_noise_10pct,additive_noise,10pct,all,worst_w_auxiliary,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.001410406781360507,0.48401132225990295,0.7701863354037267,2.0693297386169434,8.097185134887695,2.426715612411499,0.3560870885848999,
additive_noise_15pct,additive_noise,15pct,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0015528234653174877,0.5815809965133667,0.778998778998779,4.742834568023682,3.6261956691741943,2.8515186309814453,0.35221919417381287,
additive_noise_15pct,additive_noise,15pct,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0014651613309979439,0.5028015375137329,0.7758346581875993,2.5966968536376953,7.717933654785156,2.5660934448242188,0.35317301750183105,
additive_noise_15pct,additive_noise,15pct,all,worst_profile_rmse,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.001031802617944777,0.5242094993591309,0.9030732860520094,0.39206260442733765,0.9678565263748169,2.8243274688720703,0.21781949698925018,
additive_noise_15pct,additive_noise,15pct,all,worst_projected_dice,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0006289222510531545,0.3353230059146881,0.6137184115523465,7.545163631439209,3.081972599029541,1.6492451429367065,0.15225078165531158,
additive_noise_15pct,additive_noise,15pct,all,worst_projected_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.0003666569828055799,0.24860338866710663,0.6415929203539823,0.9091552495956421,7.548433780670166,0.9352667331695557,0.06516776233911514,
additive_noise_15pct,additive_noise,15pct,all,worst_projected_dice,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,0.00041420749039389193,1.0482587814331055,0.6515151515151515,4.060372829437256,1.8729418516159058,0.7587211728096008,0.3093625605106354,
additive_noise_15pct,additive_noise,15pct,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0014651613309979439,0.5028015375137329,0.7758346581875993,2.5966968536376953,7.717933654785156,2.5660934448242188,0.35317301750183105,
additive_noise_15pct,additive_noise,15pct,all,worst_lwd_error,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0006289222510531545,0.3353230059146881,0.6137184115523465,7.545163631439209,3.081972599029541,1.6492451429367065,0.15225078165531158,
