candidate,seed,selected_seed,split,group_field,group_value,sample_count,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE,profile_depth_rmse_m,er_like_profile_error,projected_mask_iou,projected_mask_dice
F1_late_fusion,123,True,train,curvature_template,LD_dominant,31,0.0838572753653411,0.6616759425209414,0.6489819032290289,0.1155963734152817,0.013053367214818154,0.015799987700677687,0.009973347187042236,0.012942234012899139,5.500169126823875e-05,0.03515367427720658,0.9179297796935729,0.95669190949609
F1_late_fusion,123,True,train,curvature_template,WD_dominant,34,0.07003469052998458,0.5732120341237854,0.3793204666717964,0.13322868263896773,0.011397135608336505,0.011950226391063017,0.010819096775615917,0.011388819561997318,6.469936460341748e-05,0.050262554644552225,0.9462088185370869,0.9716360924946005
F1_late_fusion,123,True,train,curvature_template,boxy,32,0.07365762506378815,0.6343582640402019,0.37112046289257705,0.13338050956372172,0.012161798775196075,0.012797333300113678,0.012140225619077682,0.012366452458081767,6.510509929569253e-05,0.04910370008292375,0.9323804990371476,0.9645025296294727
F1_late_fusion,123,True,train,curvature_template,round,33,0.09926536526869643,0.41166890548034146,0.36918208251396817,0.12758537223844818,0.031748069055152664,0.021118662574074486,0.026740899591734917,0.026535876956062788,6.0568957217059726e-05,0.057205242217715946,0.9477350650539005,0.9727103641624576
F1_late_fusion,123,True,train,curvature_template,sharp,32,0.06656641638255678,0.5653270585462451,0.4768922063522041,0.17782216606428847,0.002836070954799652,0.012667462229728699,0.0033754296600818634,0.006292987621691282,6.876910516240287e-05,0.07808972595375963,0.9295926897987452,0.962861698192315
F1_late_fusion,123,True,train,depth_bin,deep,49,0.08114208039656585,0.6103725854535492,0.5205181458470772,0.15664055061583615,0.012851069168168671,0.014429417191719522,0.010111345320331807,0.012463943798472744,7.377851067517162e-05,0.031894669639973006,0.9348959444763867,0.9657401226357392
F1_late_fusion,123,True,train,depth_bin,medium,57,0.08254299387989338,0.5918914079666138,0.4276840920118909,0.16571739391145998,0.015456799875225937,0.014899730682373047,0.012696614390925356,0.01435104829490005,7.501858315886798e-05,0.06394768859210767,0.9309055738548766,0.9635978851449449
F1_late_fusion,123,True,train,depth_bin,shallow,56,0.07254944292695395,0.5058946542974029,0.40091726097411345,0.09215691529347428,0.014447055757045746,0.015206616904054369,0.01494304942233222,0.014865573976359363,4.1006690955620275e-05,0.06337136294210463,0.939532200021752,0.9682469318650079
F1_late_fusion,123,True,train,aspect_bin,balanced,44,0.0764585363424637,0.5472034507177093,0.55353146774525,0.13853066895072433,0.011605954983017662,0.01208655671639876,0.010608246380632574,0.011433585962301797,6.107967713184983e-05,0.05776215552098372,0.9288081051554579,0.9625164009676911
F1_late_fusion,123,True,train,aspect_bin,compact,43,0.07350273971814056,0.4732860460184341,0.24303087973317436,0.09574396994917891,0.017698414103929385,0.019044061039769373,0.01749747298484625,0.01807998261735287,4.754717403641756e-05,0.04434480817533683,0.9334608999811604,0.9647049708521651
F1_late_fusion,123,True,train,aspect_bin,narrow,33,0.06946549846818953,0.5446089939637617,0.3875753486698324,0.10067348687373327,0.012121345057631985,0.01576845393036351,0.010923775759610262,0.012937858185702653,4.459147540232648e-05,0.042563484445440045,0.9364372543578663,0.9665562085447148
F1_late_fusion,123,True,train,aspect_bin,wide,42,0.09348872709753257,0.7041861659714154,0.5890250021503085,0.20827382097819022,0.015430402188074021,0.01278177471387954,0.011341307844434465,0.013184494918927417,9.485780930974994e-05,0.06913563823105678,0.9422980350106995,0.9699710327537244
F1_late_fusion,123,True,train,size_bin,elongated,33,0.06946549846818953,0.5446089939637617,0.3875753486698324,0.10067348687373327,0.012121345057631985,0.01576845393036351,0.010923775759610262,0.012937858185702653,4.459147540232648e-05,0.042563484445440045,0.9364372543578663,0.9665562085447148
F1_late_fusion,123,True,train,size_bin,large_wide,42,0.09348872709753257,0.7041861659714154,0.5890250021503085,0.20827382097819022,0.015430402188074021,0.01278177471387954,0.011341307844434465,0.013184494918927417,9.485780930974994e-05,0.06913563823105678,0.9422980350106995,0.9699710327537244
F1_late_fusion,123,True,train,size_bin,medium_balanced,44,0.0764585363424637,0.5472034507177093,0.55353146774525,0.13853066895072433,0.011605954983017662,0.01208655671639876,0.010608246380632574,0.011433585962301797,6.107967713184983e-05,0.05776215552098372,0.9288081051554579,0.9625164009676911
F1_late_fusion,123,True,train,size_bin,small_compact,43,0.07350273971814056,0.4732860460184341,0.24303087973317436,0.09574396994917891,0.017698414103929385,0.019044061039769373,0.01749747298484625,0.01807998261735287,4.754717403641756e-05,0.04434480817533683,0.9334608999811604,0.9647049708521651
F1_late_fusion,123,True,val,curvature_template,LD_dominant,7,0.6220587279115405,1.3444274429764067,1.2632514834403992,0.7832686693540641,0.3077354431152344,0.1931366068976266,0.10718323503221784,0.20268509643418448,0.0004039376659160813,0.259954429098538,0.8630495890923375,0.916545093823318
F1_late_fusion,123,True,val,curvature_template,WD_dominant,8,0.30843563098460436,1.6710978522896767,0.9932001540437341,0.6006028521806002,0.09128594398498535,0.07662735134363174,0.046559154987335205,0.07149081747047603,0.000287440127976879,0.31379100447520614,0.8520028019294514,0.9165202024937054
F1_late_fusion,123,True,val,curvature_template,boxy,8,0.9122295677661896,4.1594991981983185,3.2634253166615963,1.4600567445158958,0.240137480199337,0.21657035499811172,0.22590667754411697,0.22753817215561867,0.0007806554203853011,0.5052127484232187,0.6147886477131608,0.7520102298215172
F1_late_fusion,123,True,val,curvature_template,round,8,0.46488794311881065,2.1241823974996805,2.2895877733826637,0.8472989946603775,0.10033407807350159,0.10013853758573532,0.10155121982097626,0.10067461302969605,0.00040469139503329643,0.30515399435535073,0.744291018831128,0.8442512629398445
F1_late_fusion,123,True,val,curvature_template,sharp,8,1.227061651647091,1.6262293932959437,2.4492909843102098,1.1631326042115688,0.4194399565458298,0.4156119376420975,0.4306788444519043,0.42191023752093315,0.0005597798626695294,0.5390251763164997,0.6996902892290274,0.8191228163334511
F1_late_fusion,123,True,val,depth_bin,deep,15,0.8170088936885198,3.5877286647756894,2.537004371980826,1.3933239291111628,0.23675868511199952,0.18976847330729166,0.1976552406946818,0.2080607986698548,0.0006705553430947475,0.29232316638032596,0.7172713679294039,0.8258308757118528
F1_late_fusion,123,True,val,depth_bin,medium,11,0.6495749455961314,1.3265153752131895,1.5232884213328362,0.643313082781705,0.2426932074806907,0.19731502099470657,0.20132059400731867,0.21377627255225723,0.0003834210967232304,0.32319827513261273,0.8124151025748202,0.8897458778626
F1_late_fusion,123,True,val,depth_bin,shallow,13,0.6349901258945465,1.3578049024710288,1.999658153607295,0.7750236463661377,0.2109786317898677,0.21588841309914222,0.1544995903968811,0.19378887833311007,0.0003701642999658361,0.552701220776026,0.7409148106157246,0.8381833813311524
F1_late_fusion,123,True,val,aspect_bin,balanced,11,0.6343620074066249,1.761414960026741,1.5062405175783418,0.6195634102279489,0.22677459500052713,0.18486715446818958,0.19773547215895218,0.2031257412481037,0.000337912268481556,0.2393501472066749,0.8125694768817892,0.8902356489238362
F1_late_fusion,123,True,val,aspect_bin,compact,12,0.6985124908387661,1.4870611485093832,0.6041051826129357,0.6053240091229478,0.2826245079437892,0.2633533974488576,0.20736763874689737,0.2511151811728875,0.00029957760064765654,0.3372993391628067,0.8119249269462419,0.8901130528031252
F1_late_fusion,123,True,val,aspect_bin,narrow,6,0.7017955134312311,3.4219911694526672,3.4474301586548486,1.6142220397790272,0.14177765448888144,0.12488219141960144,0.13441193103790283,0.133690582588315,0.0008225644560297951,0.7037416696548462,0.580767097911127,0.7305056297469742
F1_late_fusion,123,True,val,aspect_bin,wide,10,0.8084424391388894,2.830681747198105,3.6304305374622343,1.428719238936901,0.22270472049713136,0.18804690837860108,0.1717876374721527,0.1941797573119402,0.0006840745212684851,0.4222250685095787,0.7161563228747158,0.8214069199189824
F1_late_fusion,123,True,val,size_bin,elongated,6,0.7017955134312311,3.4219911694526672,3.4474301586548486,1.6142220397790272,0.14177765448888144,0.12488219141960144,0.13441193103790283,0.133690582588315,0.0008225644560297951,0.7037416696548462,0.580767097911127,0.7305056297469742
F1_late_fusion,123,True,val,size_bin,large_wide,10,0.8084424391388894,2.830681747198105,3.6304305374622343,1.428719238936901,0.22270472049713136,0.18804690837860108,0.1717876374721527,0.1941797573119402,0.0006840745212684851,0.4222250685095787,0.7161563228747158,0.8214069199189824
F1_late_fusion,123,True,val,size_bin,medium_balanced,11,0.6343620074066249,1.761414960026741,1.5062405175783418,0.6195634102279489,0.22677459500052713,0.18486715446818958,0.19773547215895218,0.2031257412481037,0.000337912268481556,0.2393501472066749,0.8125694768817892,0.8902356489238362
F1_late_fusion,123,True,val,size_bin,small_compact,12,0.6985124908387661,1.4870611485093832,0.6041051826129357,0.6053240091229478,0.2826245079437892,0.2633533974488576,0.20736763874689737,0.2511151811728875,0.00029957760064765654,0.3372993391628067,0.8119249269462419,0.8901130528031252
F1_late_fusion,123,True,test,curvature_template,LD_dominant,8,0.6118660252541304,2.642185963690281,1.6184952929615974,0.3086876485031098,0.2870093286037445,0.18551243841648102,0.12444356828927994,0.1989884441718459,0.00018437677908877959,0.13454712298698723,0.7468544972744828,0.8455839615846236
F1_late_fusion,123,True,test,curvature_template,WD_dominant,8,0.41228101029992104,1.2947572469711304,1.3624994307756424,0.6422216861974448,0.12711667269468307,0.1565973237156868,0.05918698012828827,0.11430032434873283,0.0003229246462979063,0.3553722333163023,0.8125462000724699,0.8915396206346675
F1_late_fusion,123,True,test,curvature_template,boxy,7,1.034326204231807,2.960881241730281,2.3935275077819824,1.1149554933820451,0.3548529829297747,0.29653591769082205,0.32587948867252897,0.3257561320705073,0.0006033379727991164,0.3440396636724472,0.758433788372529,0.8578713615174982
F1_late_fusion,123,True,test,curvature_template,round,8,0.5241705346852541,0.9595418982207775,2.310237848199904,0.6028329744003713,0.13305729627609253,0.17191750556230545,0.14965318888425827,0.15154266520403326,0.00024699497316760244,0.2199229788966477,0.8055454055133128,0.8830560008089499
F1_late_fusion,123,True,test,curvature_template,sharp,8,0.4634018368087709,1.3689935319125652,0.6937441118061543,0.6636030524969101,0.13378910720348358,0.15189280360937119,0.1447317898273468,0.14347123593324795,0.0002643196057761088,0.29195711854845285,0.8400499777993633,0.9091494311310138
