shape_type,split,sample_count,rbc_representable_and_model_pass,rbc_representable_but_model_fail,rbc_not_representable,label_or_geometry_issue,dominant_failure_mode,oracle_representable_rate,model_pass_rate,oracle_profile_depth_rmse_mean_m,baseline_profile_depth_rmse_mean_m,oracle_projected_mask_Dice_mean,baseline_projected_mask_Dice_mean,component_recall_proxy_mean,merge_component_proxy_rate
asymmetric_corrosion,all,16,4,12,0,0,rbc_representable_but_model_fail,1.0,0.25,7.305768088976471e-05,0.00047975019436148495,0.9731884356863416,0.5591292713575559,1.0,0.0
elongated_crack_like_surface_defect,all,16,0,16,0,0,rbc_representable_but_model_fail,1.0,0.0,0.00010605021444061776,0.0004978291595028021,0.9209788156890242,0.4720649636862832,1.0,0.0
flat_bottom_pit,all,16,5,11,0,0,rbc_representable_but_model_fail,1.0,0.3125,9.562374974294125e-05,0.00040448075825141573,0.9534184325488283,0.571939140615269,1.0,0.0
irregular_corrosion_non_rbc,all,16,4,12,0,0,rbc_representable_but_model_fail,1.0,0.25,0.00011839952586880639,0.0004553191161735761,0.8973080685328433,0.5978387932465905,1.0,0.0
multi_pit_two_component_surface_defect,all,16,0,0,16,0,rbc_not_representable,0.0,0.0,0.00028126370737191405,0.0007183633569005014,0.34303849580876594,0.33422720299978764,0.5,1.0
rbc_like_smooth_pit,all,24,3,21,0,0,rbc_representable_but_model_fail,1.0,0.125,4.089406676058101e-05,0.0005011810231545006,0.9656262234493874,0.49355620883261464,1.0,0.0
sharp_wall_boxy_corrosion,all,16,6,10,0,0,rbc_representable_but_model_fail,1.0,0.375,0.0001271319868667392,0.000370406391981249,0.916778543044861,0.6314647302901455,1.0,0.0
asymmetric_corrosion,train,10,3,7,0,0,rbc_representable_but_model_fail,1.0,0.3,6.509888336339627e-05,0.0005316684107885615,0.972382065544228,0.5312167786017701,1.0,0.0
elongated_crack_like_surface_defect,train,10,0,10,0,0,rbc_representable_but_model_fail,1.0,0.0,9.457385503714553e-05,0.0005328172589645334,0.9199942084608856,0.461317858908716,1.0,0.0
flat_bottom_pit,train,10,2,8,0,0,rbc_representable_but_model_fail,1.0,0.2,8.306079895223993e-05,0.00044596462818009673,0.9533318973696552,0.5355985096836273,1.0,0.0
