epoch,train_loss,train_bce_loss,train_dice_loss,train_type_loss,train_center_loss,train_size_loss,train_depth_loss,train_angle_loss,train_forward_loss,best_val_threshold,val_iou,val_dice,val_area_error,val_type_accuracy,val_angle_mae_deg,val_forward_nrmse,val_score
1,0.8395372734350317,0.07525197745246046,0.32458842501920815,0.6199056146775975,0.462138547178577,0.3752927666201311,0.4263811744749546,0.10271927237729817,0.24257001938188777,0.8,0.537749582677381,0.6920757629450426,0.22252391211623024,0.6060606060606061,18.338905476717272,0.5609049277338318,0.9848455312954103
2,0.7385815154103672,0.0623777576667421,0.2967371940612793,0.5276765130898532,0.3882157859556815,0.30951325003715124,0.3976691531784394,0.10945979108595673,0.21961168024469824,0.7,0.5889059186637341,0.7375211171480213,0.21937551031821587,0.6515151515151515,19.995408024722273,0.4727520610358576,1.088579213519095
3,0.6787508393035215,0.05308845036608331,0.2771493056241204,0.4983001973699121,0.32245970429743037,0.2746507269056404,0.392749544013949,0.10613948814160026,0.18761050372439272,0.6,0.6257894042986665,0.7662851847877892,0.22521316264058067,0.6363636363636364,18.655590324298448,0.4767878728624589,1.1506916254662205
4,0.6419907133368885,0.04927892325555577,0.2678104095599231,0.4600636062814909,0.3028898602899383,0.2478034542325665,0.35733248337226753,0.10370391837376006,0.19664537577944644,0.6,0.6386610370292205,0.7747812397302534,0.20853989733674333,0.6515151515151515,18.82170191446818,0.451981464946171,1.1909897155835327
5,0.6042178176781711,0.047922209124354756,0.26385045752805825,0.3925736029358471,0.30230385021251793,0.22963661327958107,0.3189695107147974,0.10429158815018394,0.18817848471157692,0.6,0.5975108782586026,0.7437336740401252,0.26149470550062537,0.6515151515151515,18.677162895431508,0.4485749893734962,1.0664411237946483
6,0.5854158497908536,0.045804072390584386,0.2609996374915628,0.3715674585717566,0.2872440521331394,0.22394732670748935,0.31161237661452856,0.09988809376955032,0.17748195371207068,0.6,0.6305448558839711,0.769784125618946,0.22432751907164192,0.6212121212121212,18.636509592007826,0.45859510478581794,1.159283390537173
7,0.5537623210864908,0.044335166321081275,0.2555387107764973,0.3189595396466115,0.2843079648035414,0.19984913924161127,0.2906059057397001,0.10663991424200289,0.1782277458730866,0.5,0.62101730281851,0.7617474080567401,0.20947863839665654,0.6363636363636364,19.538414925951997,0.4206781498514605,1.1572732838445283
8,0.5510657298214295,0.04451659025953097,0.25649866812369404,0.31292810888193984,0.28768987778355093,0.208090766606962,0.2619196255417431,0.09911151937044718,0.1759384322692366,0.6,0.620348723776192,0.7625953935823113,0.21866716416016466,0.5909090909090909,19.171449148650044,0.4540456772794691,1.1431512309793241
9,0.5261501354329726,0.042731794145177394,0.249506892526851,0.2924690893029465,0.26831725809504003,0.18654030890149229,0.22978060385760138,0.09780734862365267,0.17644673717372558,0.6,0.6378359572686388,0.7750036773796604,0.24229248416484808,0.5909090909090909,18.289323358879546,0.4580260297816128,1.151868788008641
10,0.5177934835938847,0.04320715882760637,0.25222326902782216,0.25845678534139604,0.28067587425603585,0.18732055484810295,0.21588698095258543,0.10146346250001122,0.17693833721911206,0.5,0.6312126431317944,0.7694180086646135,0.27083412623616815,0.6818181818181818,18.52237948097675,0.43277302616263336,1.120772553990996
