sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes,failure_category
rect_p2_0026,25,test,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.3595890410958904,0.5289672544080605,0.09134615384615384,5.522680508593631,378.0,416.0,0.0,0.7780716419219971,0.22192832827568054,rectangular_notch,1.0,0.003000000026077032,0.0,-0.0005584397003985941,0.00018567351798992604,0.0035632804447567386,0.00800000037997961,0.012418347410857677,0.004418347030878067,0.009999999776482582,0.007638199254870415,0.0023618005216121674,0.0015999999595806003,0.00185778783634305,0.00025778787676244974,0.0,0.0,nan,0.0,,wrong_center
rot_v8_0040,319,test,rotated_rect,pilot_v8_topup_rotated_rect,0.7,0.3772455089820359,0.5478260869565217,0.07531380753138076,5.5855280217858905,221.0,239.0,0.0,0.12099511176347733,0.8790048360824585,rotated_rect,1.0,0.001500000013038516,0.0010000000474974513,-0.0014012163737788796,0.00013606132415588945,0.003027118645044326,0.00800000037997961,0.008713699877262115,0.000713699497282505,0.006000000052154064,0.006216379348188639,0.0002163792960345745,0.0010000000474974513,0.0013224207796156406,0.00032242073211818933,30.00000044529205,-179.41988972199047,29.419890167282517,1.9344473715969777,,wrong_angle
rot_p3_0045,244,test,rotated_rect,pilot_v3_rotated_rect,0.7,0.3794642857142857,0.5501618122977346,0.575,6.3508338253947265,378.0,240.0,0.0,0.7882896661758423,0.2117103934288025,rectangular_notch,0.0,-0.003000000026077032,0.0010000000474974513,0.000728494138456881,9.22501421882771e-05,0.003912589919542805,0.00800000037997961,0.012349373660981655,0.0041108205914497375,0.006000000052154064,0.0075118509121239185,0.0020216284319758415,0.0024999999441206455,0.0021162014454603195,0.0005676394794136286,-30.00000044529205,0.0,28.690221058250017,1.9376419110228391,,wrong_type
rect_p2_0095,94,test,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.38752783964365256,0.5585874799357945,0.34748010610079577,4.011898573072188,246.0,377.0,0.0,0.23593942821025848,0.7640605568885803,rotated_rect,0.0,-0.003000000026077032,-0.0005000000237487257,-0.0005289099062792957,1.7467373254476115e-05,0.0021558885289121414,0.00800000037997961,0.008877018466591835,0.004025803878903389,0.008999999612569809,0.006284366361796856,0.0014982689172029495,0.0024999999441206455,0.0012465479085221887,0.0009049904765561223,0.0,-178.9296324037453,nan,0.0,,wrong_type
rot_v9_0028,347,test,rotated_rect,pilot_v9_topup_rotated_rect,0.7,0.3952802359882006,0.5665961945031712,0.02092050209205021,4.9969638547092,234.0,239.0,0.0,0.19696731865406036,0.8030326962471008,rotated_rect,1.0,0.001500000013038516,0.0010000000474974513,-0.0008070932235568762,5.1639071898534894e-05,0.0024944073038669938,0.00800000037997961,0.008651109412312508,0.0006511090323328972,0.006000000052154064,0.006212329491972923,0.0002123294398188591,0.001500000013038516,0.0012723386753350496,0.00022766133770346642,-30.00000044529205,-179.73134634814306,30.268654097148982,1.9306327552985467,,wrong_angle
rot_v8_0019,298,test,rotated_rect,pilot_v8_topup_rotated_rect,0.7,0.41040462427745666,0.5819672131147541,0.03333333333333333,5.593283549114348,248.0,240.0,0.0,0.36359551548957825,0.6364045143127441,rotated_rect,1.0,0.003000000026077032,-0.0010000000474974513,0.0002937770914286375,-6.949542148504406e-05,0.002861727006219969,0.00800000037997961,0.009005424566566944,0.0010054241865873337,0.006000000052154064,0.006281372159719467,0.000281372107565403,0.0010000000474974513,0.001214690855704248,0.00021469080820679665,-20.000000659393134,-179.2768928815271,20.723107777866034,1.9673847590891886,,wrong_angle
rect_v9_0017,136,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.42386831275720166,0.5953757225433526,0.5761316872427984,4.250592546562116,206.0,486.0,0.0,0.06378667056560516,0.9362133145332336,rotated_rect,0.0,0.0,0.0010000000474974513,-0.0018532664980739355,0.0002095712989103049,0.0029180181778141784,0.010999999940395355,0.008870813995599747,0.00012745801359415054,0.008500000461935997,0.006194558925926685,0.0011852546595036983,0.0024999999441206455,0.0013776689302176237,0.0007284141611307859,0.0,-179.14124532461062,nan,0.0,,wrong_type
rect_v9_0034,153,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.430622009569378,0.6020066889632107,0.35714285714285715,3.0,234.0,364.0,0.0,0.20105180144309998,0.7989482283592224,rotated_rect,0.0,0.000750000006519258,0.0,-0.0007784084882587194,4.6609988203272223e-05,0.0018869736863100165,0.00800000037997961,0.008697117678821087,0.003777461126446724,0.008999999612569809,0.006230402272194624,0.0015906463377177715,0.0010000000474974513,0.0012661069631576538,0.000612159026786685,0.0,-179.43349545881713,nan,0.0,,wrong_type
rect_v9_0055,174,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.43333333333333335,0.6046511627906976,0.5666666666666667,2.0615528128088303,221.0,510.0,0.0,0.11144803464412689,0.8885520100593567,rotated_rect,0.0,-0.003000000026077032,0.0,-0.0014793938025832176,0.00014669469965156168,0.0010501446464378336,0.010999999940395355,0.008727706968784332,0.00022298656404018402,0.009499999694526196,0.0062186080031096935,0.002162481192499399,0.0010000000474974513,0.001328853308223188,0.0006644035456702113,0.0,-179.27492578704613,nan,0.0,,wrong_type
rect_v9_0073,192,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.43373493975903615,0.6050420168067226,0.5125,2.5,234.0,480.0,0.0,0.20382027328014374,0.7961796522140503,rotated_rect,0.0,0.000750000006519258,0.0,-0.0007576714269816875,4.400843317853287e-05,0.0018646213531380467,0.009999999776482582,0.008699778467416763,0.0017943717539310455,0.009499999694526196,0.006231195293366909,0.002087358385324478,0.0010000000474974513,0.0012644872767850757,0.0006115073338150978,0.0,-179.41188474028323,nan,0.0,,wrong_type
rect_v9_0010,129,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.44571428571428573,0.616600790513834,0.5117647058823529,3.160056308308364,249.0,510.0,0.0,0.35342779755592346,0.6465721726417542,rotated_rect,0.0,0.001500000013038516,-0.0005000000237487257,0.00023313792189583182,-6.367327296175063e-05,0.0016972273236021001,0.010999999940395355,0.008975973352789879,0.0014502471312880516,0.009499999694526196,0.006275830790400505,0.0019913772121071815,0.0015999999595806003,0.0012162115890532732,3.727234434336424e-05,0.0,-179.2822204290797,nan,0.0,,wrong_type
rot_v9_0014,333,test,rotated_rect,pilot_v9_topup_rotated_rect,0.7,0.4458204334365325,0.6167023554603854,0.05416666666666667,4.890134639655105,227.0,240.0,0.0,0.17015038430690765,0.8298496007919312,rotated_rect,1.0,0.001500000013038516,0.0010000000474974513,-0.0010099825449287891,7.879101030994207e-05,0.002673693804141893,0.00800000037997961,0.008655508048832417,0.0006555076688528061,0.006000000052154064,0.0062133874744176865,0.00021338742226362228,0.001500000013038516,0.0012872773222625256,0.00021272269077599049,20.000000659393134,-179.61127162253422,19.61127228192734,1.9707823002755844,,wrong_angle
rot_p3_0041,240,test,rotated_rect,pilot_v3_rotated_rect,0.7,0.45990566037735847,0.630048465266559,0.5684647302904564,4.774563956730661,378.0,241.0,0.0,0.7831615805625916,0.21683846414089203,rectangular_notch,0.0,-0.003000000026077032,0.0,-0.00014973824727348983,0.00016884627984836698,0.0026746617558073144,0.00800000037997961,0.012097392231225967,0.0038362331688404083,0.006000000052154064,0.007503160275518894,0.0022519128397107124,0.0020000000949949026,0.0020404551178216934,2.3294007405638695e-05,-20.000000659393134,0.0,19.23990123637543,1.9718758151081068,,wrong_type
rect_v9_0054,173,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.46153846153846156,0.631578947368421,0.296195652173913,4.453413558631749,259.0,368.0,0.0,0.38264620304107666,0.6173537969589233,rotated_rect,0.0,0.003000000026077032,0.0005000000237487257,0.00040756011730991304,-7.95787782408297e-05,0.0030097614027421193,0.009999999776482582,0.009083863347768784,0.0025609955191612244,0.007499999832361937,0.006296907551586628,3.280956298112869e-05,0.0015999999595806003,0.0012119215680286288,4.6188244596123695e-05,0.0,-179.2365264635323,nan,0.0,,wrong_type
rot_v8_0012,291,test,rotated_rect,pilot_v8_topup_rotated_rect,0.7,0.4735202492211838,0.642706131078224,0.02092050209205021,4.265628815059318,234.0,239.0,0.0,0.2452172040939331,0.7547827959060669,rotated_rect,1.0,0.001500000013038516,0.0010000000474974513,-0.00046153427683748305,8.548227924620733e-06,0.002197861178168162,0.00800000037997961,0.008720897138118744,0.0007208967581391335,0.006000000052154064,0.006229314021766186,0.00022931396961212158,0.0010000000474974513,0.0012471937807276845,0.0002471937332302332,-30.00000044529205,-179.5689381100585,30.43106233523355,1.92989076180128,,wrong_angle
