dataset_id,evidence_source,group_field,group_value,sample_count,catastrophic_failure_count,geometry_branch_failure_count,center_outlier_count,burial_outlier_count,dimension_outlier_count,shape_misclassified_count,mean_total_error,mean_burial_depth_error_mm,mean_center_xyz_error_mm,max_burial_depth_error_mm,max_center_xyz_error_mm,priority_score,topup_need,notes
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_ellipsoid|deep_plus,4,1,0,3,1,2,0,0.5646346211433411,0.5857159113511443,5.558774620294571,1.2424767017364502,8.624761581420898,21.950819132849574,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape,internal_sphere,13,1,0,4,1,2,0,0.21331598781622374,0.2735651364693275,2.4226126762536855,1.0596733093261719,5.529272079467773,21.7584366110655,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_aspect,internal_sphere|compact,13,1,0,4,1,2,0,0.21331598781622374,0.2735651364693275,2.4226126762536855,1.0596733093261719,5.529272079467773,21.7584366110655,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_ellipsoid|medium,7,1,0,3,1,3,0,0.339545232376882,0.5037547741085291,2.993135330932481,1.2424767017364502,8.292242050170898,21.5040772136833,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,burial_depth,medium,10,1,0,3,1,3,0,0.3081312824040651,0.33714153748005626,2.0778741151094438,1.2520591020584106,5.799923896789551,20.713220132514834,True,包含 center+burial full-shift failure; 属于 22.2 指定关注 strata
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,burial_depth,deep,10,0,0,6,0,6,0,0.43831903375685216,0.33882533125579356,2.8518027499318124,0.8463021516799927,5.529272079467773,20.103552037477495,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_ellipsoid|large,3,1,0,2,1,3,0,0.7284946839014689,0.6718275348345438,3.267436146736145,1.2520591020584106,4.799228668212891,19.97737314303716,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|shallow|large|compact,1,1,0,1,1,0,0,0.8880208134651184,1.5326530933380127,8.785345077514648,1.5326530933380127,8.785345077514648,19.45797872543335,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_aspect,internal_ellipsoid|compact,1,1,0,1,1,0,0,0.7612118721008301,1.2424767017364502,8.292242050170898,1.2424767017364502,8.292242050170898,18.63107442855835,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep_plus|medium|compact,1,1,0,1,1,0,0,0.7612118721008301,1.2424767017364502,8.292242050170898,1.2424767017364502,8.292242050170898,18.63107442855835,True,包含 center+burial full-shift failure
