seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
all,component_types=rectangular_notch+rectangular_notch,train,81,0.657030919534328,0.7906248677057893,0.09362488239391231,2.837844103321206,736.5802469135803,753.0370370370371,0,0.3364444053099479,2.0617283950617282,0.9382716049382716,0.0,0.0,0.06172839506172839,1.0
all,component_types=rectangular_notch+rotated_rect,train,81,0.6076088473362212,0.7545759857079993,0.12975689890329795,3.5698286210117733,729.2345679012345,821.2962962962963,0,0.393685679928756,2.037037037037037,0.9629629629629629,0.0,0.0,0.037037037037037035,1.0
all,component_types=rotated_rect+rotated_rect,train,78,0.6160375063814326,0.7614578123544877,0.13740428223060433,3.434274140848548,713.4358974358975,650.4230769230769,0,0.3683437953392665,2.051282051282051,0.9487179487179487,0.0,0.0,0.05128205128205128,1.0
all,component_types=rectangular_notch+rectangular_notch,val,21,0.5780865849033068,0.7316737734113055,0.13559904766487998,4.176103999462902,746.5238095238095,734.7142857142857,0,0.43059749830336796,2.0952380952380953,0.9047619047619048,0.0,0.0,0.09523809523809523,1.0
all,component_types=rectangular_notch+rotated_rect,val,18,0.5685008387154702,0.7237796886817939,0.08294186168159239,3.9212793030370157,753.0555555555555,823.8333333333334,0,0.475504082110193,2.0,1.0,0.0,0.0,0.0,1.0
all,component_types=rotated_rect+rotated_rect,val,21,0.59016941353145,0.7419037909222533,0.09561485490575594,2.996347355328944,710.9047619047619,661.2857142857143,0,0.4027819094203767,2.0476190476190474,0.9523809523809523,0.0,0.0,0.047619047619047616,1.0
all,component_types=rectangular_notch+rectangular_notch,test,18,0.5925057632455216,0.7428080251717416,0.11072611804882765,4.037636756261005,738.7777777777778,760.0,0,0.4109365923537148,2.0555555555555554,0.9444444444444444,0.0,0.0,0.05555555555555555,1.0
all,component_types=rectangular_notch+rotated_rect,test,21,0.5430981339715975,0.7027300304454427,0.17152049426610838,5.270725442370282,704.047619047619,819.5714285714286,0,0.4958883382025219,2.0476190476190474,0.9523809523809523,0.0,0.0,0.047619047619047616,1.0
all,component_types=rotated_rect+rotated_rect,test,21,0.5534386973439912,0.7119072715163626,0.14115270037007507,6.048501956947608,724.1428571428571,657.8571428571429,0,0.45170216049466816,2.142857142857143,0.8571428571428571,0.0,0.0,0.14285714285714285,1.0
all,component_types=rectangular_notch+rectangular_notch,all,120,0.6335368875305784,0.7731358998241475,0.10353554666456895,3.2520084830869727,738.65,750.875,0,0.3640950246403615,2.066666666666667,0.9333333333333333,0.0,0.0,0.06666666666666667,1.0
