check_name,pass,observed,expected,notes
dataset_id,True,comsol_internal_defect_pilot_pack_v3_hardcase,comsol_internal_defect_pilot_pack_v3_hardcase,
n_samples,True,360,360,
split_counts,True,"{'train': 240, 'val': 60, 'test': 60}",train/val/test=240/60/60,
axis_names,True,"['Bx', 'By', 'Bz']","['Bx', 'By', 'Bz']",
delta_b_shape,True,"(360, 3, 3, 201)","(N,3,3,201)",
delta_b_finite,True,True,True,
delta_check,True,1.1641532182693481e-10,<=1e-7,
labels_complete,True,"(360, 7)","(360,7)",
shape_labels_complete,True,"['internal_cuboid', 'internal_ellipsoid', 'internal_sphere']",3 internal shape classes,
row_origin_available,True,"['hardcase_topup_v1', 'source_v2_240']",source/top-up flags,
model_x_input_shape,True,"(360, 9, 201)","(360,9,201)",
model_x_derived_from_delta_b,True,"delta_b.reshape(360,9,201)",x_channels,
feature_input_derived_from_delta_b,True,"shape=(360, 110); names=110",delta_b-derived 110 features,
hardcase_flags_not_model_inputs,True,hardcase/source flags are separate metadata arrays; H2 may use train split row_origin only as sample weight,not concatenated into x/features,
train_shape_coverage,True,"['internal_cuboid', 'internal_ellipsoid', 'internal_sphere']",all shapes,
train_burial_coverage,True,"['deep', 'deep_plus', 'medium', 'shallow']",all burial levels,
train_size_coverage,True,"['large', 'medium', 'small']",all sizes,
train_aspect_coverage,True,"['compact', 'elongated_x', 'elongated_y']",all aspects,
val_shape_coverage,True,"['internal_cuboid', 'internal_ellipsoid', 'internal_sphere']",all shapes,
val_burial_coverage,True,"['deep', 'deep_plus', 'medium', 'shallow']",all burial levels,
val_size_coverage,True,"['large', 'medium', 'small']",all sizes,
val_aspect_coverage,True,"['compact', 'elongated_x', 'elongated_y']",all aspects,
test_shape_coverage,True,"['internal_cuboid', 'internal_ellipsoid', 'internal_sphere']",all shapes,
test_burial_coverage,True,"['deep', 'deep_plus', 'medium', 'shallow']",all burial levels,
test_size_coverage,True,"['large', 'medium', 'small']",all sizes,
test_aspect_coverage,True,"['compact', 'elongated_x', 'elongated_y']",all aspects,
train_only_normalization_finite,True,True,True,
no_forbidden_staged_artifacts,True,none,none,
