sample_id,split,defect_type,delta_iou,delta_dice,delta_area_error,forward_nrmse_reduction,angle_error_delta,parameter_drift_norm,mismatch_flag
rot_p3_0033,train,rotated_rect,-0.3185142795829682,-0.2461612880934282,0.3375,0.12058693170547485,7.1795879772524245,2.043696641921997,1
rect_p2_0081,test,rectangular_notch,-0.284910736121301,-0.22373727674284616,0.8321428571428572,0.08748841285705566,nan,2.6536684036254883,1
rect_p2_0065,train,rectangular_notch,-0.27722681359045,-0.1995848318172203,0.8492307692307692,0.10073477029800415,nan,2.8358960151672363,1
rect_p2_0002,val,rectangular_notch,-0.27433858139912354,-0.21576837643934954,0.8931623931623933,0.08899116516113281,nan,2.6805949211120605,1
rect_p2_0012,train,rectangular_notch,-0.2733819263304161,-0.2279850048384604,0.17307692307692307,0.07525748014450073,nan,1.9480849504470825,1
rect_p2_0113,train,rectangular_notch,-0.27121212121212124,-0.18117408906882593,0.21969696969696972,0.03745627403259277,nan,1.6429871320724487,1
rect_p2_0067,train,rectangular_notch,-0.26662892423384643,-0.17785710723014325,0.19254658385093168,0.06924435496330261,nan,1.684411883354187,1
rect_p2_0082,train,rectangular_notch,-0.24849989654458926,-0.16738675958188154,0.18426501035196685,0.07963663339614868,nan,1.9006794691085815,1
rect_p2_0093,train,rectangular_notch,-0.24125874125874125,-0.18514040447277236,0.2412587412587413,0.024123191833496094,nan,1.3166210651397705,1
rect_v9_0077,val,rectangular_notch,-0.23926128590971268,-0.20216147488874758,0.28205128205128205,0.347617506980896,nan,1.4564502239227295,1
rect_p2_0061,train,rectangular_notch,-0.2382929459637323,-0.16342174317313696,-0.004576659038901601,0.1006321907043457,nan,2.4688217639923096,1
rect_p2_0004,train,rectangular_notch,-0.23662084612304812,-0.16059964447061226,-0.023923444976076555,0.06737589836120605,nan,2.0661861896514893,1
rect_p2_0108,train,rectangular_notch,-0.2348711117586455,-0.17663079632165912,0.2202797202797203,0.08043718338012695,nan,2.0261433124542236,1
rect_p2_0054,train,rectangular_notch,-0.2298850574712643,-0.15867919945729703,0.22988505747126436,0.0836992859840393,nan,1.9018642902374268,1
rect_p2_0009,train,rectangular_notch,-0.22479983290398942,-0.17095266081081795,0.2251082251082251,0.0644347071647644,nan,1.9949371814727783,1
rect_p2_0099,train,rectangular_notch,-0.21746031746031746,-0.15769279959074045,0.17301587301587304,0.07366746664047241,nan,2.043067693710327,1
rect_v9_0017,test,rectangular_notch,-0.21515151515151515,-0.19314861460957178,0.24485596707818935,0.33638954162597656,nan,1.6222718954086304,1
rect_p2_0075,train,rectangular_notch,-0.21427864634870375,-0.16762457668118047,0.14756944444444448,0.02734231948852539,nan,1.4038738012313843,1
rect_p2_0052,train,rectangular_notch,-0.21195652173913043,-0.1859500919903605,0.21195652173913038,0.03822457790374756,nan,1.8874292373657227,1
rect_p2_0001,val,rectangular_notch,-0.20611842951731507,-0.1564306236268379,0.0875,0.08494067192077637,nan,1.993537187576294,1
rect_p2_0098,train,rectangular_notch,-0.20545111299741636,-0.14799111244758523,0.03385416666666667,0.08446764945983887,nan,2.368253707885742,1
rot_v8_0028,train,rotated_rect,-0.20384672087458466,-0.13911677295523495,0.10416666666666667,0.055121272802352905,2.854229759329371,0.6260749101638794,1
rect_p2_0064,train,rectangular_notch,-0.1945929007886078,-0.12120686383474744,0.18055555555555555,0.07095175981521606,nan,2.4683971405029297,1
rect_p2_0084,train,rectangular_notch,-0.1919439898163302,-0.12033975601413749,0.1,0.03559732437133789,nan,1.490225076675415,1
rect_v9_0050,test,rectangular_notch,-0.19109339463451613,-0.14616945855196095,0.15056818181818182,0.5829476118087769,nan,2.120406150817871,1
rect_p2_0024,train,rectangular_notch,-0.18949708252292308,-0.13392243495336276,0.14035087719298245,0.08304578065872192,nan,1.8357311487197876,1
rot_p3_0021,train,rotated_rect,-0.18128997234804145,-0.14582757644297517,0.44166666666666665,0.10241115093231201,-7.641101031344988,1.8492305278778076,1
rect_p2_0019,train,rectangular_notch,-0.18081573003852802,-0.136944491028006,0.21904761904761907,0.05858263373374939,nan,1.4362245798110962,1
rect_p2_0078,train,rectangular_notch,-0.17794585987261147,-0.1397093295827473,0.1282894736842105,0.047936201095581055,nan,1.389994740486145,1
rect_p2_0056,train,rectangular_notch,-0.1692934782608695,-0.10149885956337579,0.006802721088435382,0.04870671033859253,nan,1.7154908180236816,1
rot_p3_0017,train,rotated_rect,-0.16888102344664846,-0.1229645870195143,0.4771784232365145,0.13145333528518677,-6.17064561318881,1.8648040294647217,1
rect_p2_0079,train,rectangular_notch,-0.16874999999999996,-0.1296518607442977,0.07142857142857142,0.08032596111297607,nan,1.827017903327942,1
rot_p3_0026,train,rotated_rect,-0.15876347429519078,-0.12903399418512818,0.25231910946196656,0.043847501277923584,-4.062480725272792,1.7659764289855957,1
rect_p2_0028,train,rectangular_notch,-0.15875912408759119,-0.11402359108781124,-0.026455026455026454,0.07900369167327881,nan,2.161083459854126,1
rot_p3_0036,train,rotated_rect,-0.15850660528321692,-0.11899708949793841,0.12857142857142856,0.08537429571151733,0.9326941742541806,2.2618627548217773,1
rect_p2_0003,train,rectangular_notch,-0.15380765821155884,-0.10865601688880355,0.1619047619047619,0.08031821250915527,nan,2.6760001182556152,1
rot_p3_0043,test,rotated_rect,-0.15372272143774068,-0.11419035699386137,0.11051693404634581,0.08320498466491699,5.489293902675229,2.793092966079712,1
rect_p2_0018,val,rectangular_notch,-0.15336477960500972,-0.12328474888861363,0.1388888888888889,0.08407431840896606,nan,2.005683183670044,1
rect_p2_0101,train,rectangular_notch,-0.15251552347793673,-0.11082931153353681,-0.013986013986013986,0.010135412216186523,nan,0.7263768315315247,1
rect_p2_0114,test,rectangular_notch,-0.15131027253668772,-0.09844674430103495,-0.11688311688311687,0.047516703605651855,nan,1.4862786531448364,1
rect_p2_0066,train,rectangular_notch,-0.14825866476677418,-0.10703620217545873,0.12396694214876033,0.07251179218292236,nan,2.694162368774414,1
rect_p2_0116,test,rectangular_notch,-0.1479644906743185,-0.11352069993309566,0.477124183006536,0.04662102460861206,nan,1.8108367919921875,1
rot_p3_0004,val,rotated_rect,-0.1471227087326158,-0.10469442851347766,0.008928571428571425,0.07583528757095337,6.090653959445916,2.3398194313049316,1
rot_v9_0061,train,rotated_rect,-0.14642609299097853,-0.0952434689386672,0.2928870292887029,0.2633179724216461,-3.8533100239225746,1.2744948863983154,1
rot_p3_0009,train,rotated_rect,-0.1462320470168198,-0.1023479587200623,0.004166666666666666,0.039722323417663574,7.1996521381870195,1.125864863395691,1
rect_v9_0007,train,rectangular_notch,-0.14582814445828146,-0.1283357992218751,0.2436363636363636,0.22869428992271423,nan,1.6333949565887451,1
rot_p3_0041,test,rotated_rect,-0.14535426811090124,-0.10204729463391826,0.20746887966804978,0.07340174913406372,-0.3819198458382118,1.4688037633895874,1
rot_p3_0002,val,rotated_rect,-0.14520117136313393,-0.11717485655436222,0.1391465677179963,0.06172823905944824,-0.4538453963519089,1.816896915435791,1
rect_v9_0011,train,rectangular_notch,-0.1444444444444445,-0.12225705329153602,0.14444444444444443,0.03317910432815552,nan,0.9525367617607117,1
rect_v9_0001,val,rectangular_notch,-0.14417823479005998,-0.10775832255254836,0.208,0.3647119998931885,nan,1.4989222288131714,1
rect_v9_0067,val,rectangular_notch,-0.1428571428571428,-0.10215454219426745,0.14285714285714285,0.2320728600025177,nan,1.3464372158050537,1
rect_p2_0057,train,rectangular_notch,-0.1423617678582687,-0.08644220278314796,0.028428093645484945,0.09157705307006836,nan,2.628075361251831,1
rect_p2_0031,train,rectangular_notch,-0.14235644257703084,-0.09505606523955157,0.20761904761904762,0.08097696304321289,nan,1.8980363607406616,1
rect_p2_0076,val,rectangular_notch,-0.14148755218803155,-0.09183059012444805,-0.005347593582887703,0.07839947938919067,nan,1.4007389545440674,1
rect_p2_0007,train,rectangular_notch,-0.1407289356984478,-0.10595784641068451,0.06534090909090912,0.05391591787338257,nan,2.149834156036377,1
rot_p3_0046,test,rotated_rect,-0.14035077689994624,-0.10146886210716,0.18148148148148147,0.0662992000579834,0.14083508559107827,1.8625149726867676,1
rect_v9_0039,train,rectangular_notch,-0.1391595183756984,-0.07494336759884968,0.010330578512396695,0.006514638662338257,nan,0.4867108166217804,1
rot_v9_0031,train,rotated_rect,-0.13842785154375303,-0.11509493565656903,-0.020833333333333336,0.03591257333755493,2.803203977361136,0.6768466234207153,1
rot_p3_0014,train,rotated_rect,-0.13832087250335345,-0.09793545905180179,0.10575139146567718,0.07057154178619385,1.6038619793337716,2.1675760746002197,1
rect_p2_0068,test,rectangular_notch,-0.13786747179405678,-0.10645529392998687,-0.09722222222222222,0.08008193969726562,nan,2.403141498565674,1
rot_v9_0036,train,rotated_rect,-0.13746972521271605,-0.10514014159635343,0.20416666666666666,0.05964067578315735,2.2224231738380524,0.9817771911621094,1
rot_p3_0038,train,rotated_rect,-0.13744164452812668,-0.1094321362883176,0.08905380333951762,0.04678511619567871,2.5060732944641018,1.8349579572677612,1
rot_v9_0048,train,rotated_rect,-0.13571117200149452,-0.0856391993122928,0.21757322175732216,0.0844067931175232,3.7142690369273907,0.8428125381469727,1
rect_v9_0021,val,rectangular_notch,-0.13552631578947372,-0.10257619833844378,0.20937499999999998,0.18587201833724976,nan,1.400029182434082,1
rot_v8_0034,val,rotated_rect,-0.13265306122448983,-0.10833333333333339,0.025104602510460247,0.04711180925369263,-1.4308023280428586,1.0015398263931274,1
rect_p2_0117,test,rectangular_notch,-0.13234304538652364,-0.08877226548815653,0.4023809523809524,0.05023789405822754,nan,2.333723545074463,1
rect_p2_0070,train,rectangular_notch,-0.13052841533213855,-0.09234670661438016,-0.04843304843304844,0.02624213695526123,nan,1.4098320007324219,1
rect_p2_0096,train,rectangular_notch,-0.12969425926312927,-0.08453198212923618,0.1497584541062802,0.03875809907913208,nan,1.5162302255630493,1
rot_p3_0006,train,rotated_rect,-0.12882980647495024,-0.10522143328442135,0.17190388170055454,0.03848904371261597,5.766284753945712,2.135648250579834,1
rect_v9_0004,train,rectangular_notch,-0.12551724137931042,-0.09062587140260969,0.1255172413793103,0.008541733026504517,nan,0.5254142880439758,1
rot_v8_0025,test,rotated_rect,-0.1253099324225777,-0.0778301174623306,0.14225941422594143,0.022575855255126953,2.978977614990953,0.5569522976875305,1
rot_v9_0043,val,rotated_rect,-0.1235844296968992,-0.09134196154022678,0.45833333333333326,0.10698312520980835,-0.8924111726126966,1.2728869915008545,1
rot_v8_0029,train,rotated_rect,-0.1226277372262774,-0.08898305084745761,0.0,0.005965173244476318,-3.627638759476355,0.46107760071754456,1
