model,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy,shape_macro_f1
mean_baseline,,train,64,,0.8621926307678223,1.5592772960662842,1.5592772960662842,0.13701169192790985,1.1806639432907104,3.257323980331421,0.5625,0.24
mean_baseline,,val,16,1.3319326400756837,0.9819326400756836,1.6876951456069946,1.7449218034744263,0.14101558923721313,0.85546875,6.1544270515441895,0.0,0.0
mean_baseline,,test,16,,1.088349461555481,1.7376952171325684,1.6804687976837158,0.12968748807907104,1.321874737739563,6.389713287353516,0.0,0.0
ridge_alpha1,,train,64,,0.22201769053936005,0.344131201505661,0.4447983503341675,0.06718327850103378,0.23545856773853302,0.5199527740478516,1.0,1.0
ridge_alpha1,,val,16,1.0576233983039856,0.9044983983039856,1.7097444534301758,2.358898162841797,0.13725891709327698,0.8768126964569092,3.110300064086914,0.5625,0.24
ridge_alpha1,,test,16,,0.9200757145881653,2.0416324138641357,1.8487602472305298,0.14198283851146698,1.147518515586853,3.3281424045562744,0.5,0.2222222222222222
kernel_ridge_rbf,,train,64,,0.03926703333854675,0.0680999904870987,0.06810256838798523,0.006820271722972393,0.05477895215153694,0.14300522208213806,1.0,1.0
kernel_ridge_rbf,,val,16,1.178788685798645,0.981913685798645,1.6875684261322021,1.7450419664382935,0.14102761447429657,0.8553750514984131,6.154211521148682,0.4375,0.2028985507246377
kernel_ridge_rbf,,test,16,,1.0882513523101807,1.7377065420150757,1.6803914308547974,0.12968416512012482,1.3215358257293701,6.389282703399658,0.0,0.0
svr_rbf_C10,svr_rbf_C10,train,64,,0.054033391177654266,0.05559340864419937,0.05547139048576355,0.02765795961022377,0.05223305523395538,0.12397567927837372,1.0,1.0
svr_rbf_C10,svr_rbf_C10,val,16,0.9470671653747559,0.7501921653747559,1.6927989721298218,2.1298182010650635,0.16163726150989532,0.38865894079208374,2.9831745624542236,0.4375,0.2028985507246377
svr_rbf_C10,svr_rbf_C10,test,16,,0.8788832426071167,1.5398310422897339,1.959144115447998,0.15865229070186615,0.9222972393035889,3.8277647495269775,0.0,0.0
random_forest_cheap,,train,64,,0.2910713255405426,0.4673437178134918,0.4878535568714142,0.0770927369594574,0.40141308307647705,0.6876980662345886,1.0,1.0
random_forest_cheap,,val,16,0.957723879814148,0.760848879814148,1.6654912233352661,1.7451109886169434,0.15131179988384247,0.3958362936973572,3.8318428993225098,0.4375,0.2028985507246377
random_forest_cheap,,test,16,,0.9120882749557495,1.520539402961731,1.5949395895004272,0.14135624468326569,1.0061819553375244,4.7724127769470215,0.0625,0.0392156862745098
