diagnostic_row_id,base_sample_id,variant_name,factor_group,input_mode,split,curvature_template,depth_bin,aspect_bin,sensor_z_m,scan_bundle_y_offset_m,jscale,misalignment_shifts_json,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,wLD_abs_error,wWD_abs_error,wLW_abs_error,profile_depth_rmse_m,profile_depth_rmse_degradation_pct_vs_nominal,profile_depth_rmse_degradation_pct_vs_20_85,er_like_profile_error,er_like_degradation_pct_vs_nominal,max_depth_error_m,volume_proxy_rel_error,projected_mask_iou,projected_mask_dice,projected_mask_dice_drop_vs_nominal,projected_mask_dice_drop_vs_20_85,raw_vs_calibrated_profile_rmse_improvement_pct,status_band
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__nominal,rbc_v2topup_077_buffer_shallow_small_compact_sharp,nominal,nominal,raw,test,sharp,shallow,compact,0.00800000037997961,0.0,1.0,{},0.8729715347290039,0.1854562908411026,1.5604867935180664,0.013538636267185211,1.330133080482483,0.393625944852829,0.3401452600955963,0.2685057520866394,0.40137630701065063,0.3505536913871765,0.0002685877843759954,0.0,-30.72939018561669,0.6529325246810913,0.0,0.00039362593088299036,1.1674947640887894,0.7377049180327869,0.8490566037735849,0.0,-0.0013296037735849309,,green
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__liftoff_z_0p006,rbc_v2topup_077_buffer_shallow_small_compact_sharp,liftoff_z_0p006,liftoff,raw,test,sharp,shallow,compact,0.006000000052154064,0.0,1.0,{},0.9293200373649597,0.0400538444519043,1.8185862302780151,0.5317497849464417,0.0,0.05247991159558296,0.3963843882083893,0.3059731721878052,0.47624772787094116,0.4069322943687439,0.00010483095684321597,-60.96957384463049,-72.96338578902298,0.2548423409461975,-60.96957475496125,5.247991066426039e-05,0.20163695493983125,0.9375,0.967741935483871,-0.11868533171028606,-0.12001493548387099,,green
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__liftoff_z_0p010,rbc_v2topup_077_buffer_shallow_small_compact_sharp,liftoff_z_0p010,liftoff,raw,test,sharp,shallow,compact,0.009999999776482582,0.0,1.0,{},1.4730297327041626,1.2435939311981201,1.7024654150009155,8.125797271728516,3.258268356323242,2.585505962371826,0.3708294928073883,0.3154047131538391,0.40001267194747925,0.39707112312316895,0.0012804069556295872,376.71823891929074,230.2256311957815,3.1126482486724854,376.7182106899608,0.0025855060666799545,11.39228363313623,0.3191489361702128,0.4838709677419355,0.36518563603164944,0.3638560322580645,,fail
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__liftoff_z_0p012,rbc_v2topup_077_buffer_shallow_small_compact_sharp,liftoff_z_0p012,liftoff,raw,test,sharp,shallow,compact,0.012000000104308128,0.0,1.0,{},1.8861875534057617,1.9814163446426392,1.7909590005874634,13.73717975616455,5.401265621185303,3.853710651397705,0.38980984687805176,0.33280783891677856,0.4100853204727173,0.4265364408493042,0.0018787967273965478,599.5093733549791,384.55440863176534,4.567324161529541,599.509365651579,0.003853710601106286,26.029547292438163,0.19823788546255505,0.33088235294117646,0.5181742508324085,0.5168446470588235,,fail
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__scan_offset_m0p0005,rbc_v2topup_077_buffer_shallow_small_compact_sharp,scan_offset_m0p0005,scan_line_offset,raw,test,sharp,shallow,compact,0.00800000037997961,-0.0005000000237487257,1.0,{},0.8980132937431335,0.23771671950817108,1.5583099126815796,0.41930192708969116,1.4393022060394287,0.4958886504173279,0.33969783782958984,0.27037549018859863,0.3987320065498352,0.3499859571456909,0.0003137179010082036,16.802743556285748,-19.090027258630556,0.7626430988311768,16.802743009880057,0.0004958886420354247,1.4497061367479758,0.6716417910447762,0.8035714285714286,0.045485175202156336,0.044155571428571405,,warning
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__scan_offset_p0p0005,rbc_v2topup_077_buffer_shallow_small_compact_sharp,scan_offset_p0p0005,scan_line_offset,raw,test,sharp,shallow,compact,0.00800000037997961,0.0005000000237487257,1.0,{},0.8660457730293274,0.17960125207901,1.552490234375,0.10224897414445877,1.3022366762161255,0.3544763922691345,0.338388592004776,0.26607829332351685,0.4002653956413269,0.34882205724716187,0.00025090156123042107,-6.584894836771664,-35.29078699468426,0.6099376082420349,-6.584894275263159,0.0003544763894751668,1.0822820515990363,0.7377049180327869,0.8490566037735849,0.0,-0.0013296037735849309,,green
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__source_jscale_0p8,rbc_v2topup_077_buffer_shallow_small_compact_sharp,source_jscale_0p8,source_amplitude,raw,test,sharp,shallow,compact,0.00800000037997961,0.0,0.800000011920929,{},1.3310534954071045,0.809910774230957,1.852196216583252,3.527198076248169,2.0672483444213867,2.136716604232788,0.40369653701782227,0.35357552766799927,0.42954570055007935,0.4279683828353882,0.0010906878160312772,306.0824354187404,181.29577936366076,2.65144419670105,306.08241992479725,0.0021367166191339493,6.251365258785951,0.4838709677419355,0.6521739130434783,0.19688269073010667,0.19555308695652174,,fail
diag20_90_b01_rbc_v2topup_077_buffer_shallow_small_compact_sharp__source_jscale_1p2,rbc_v2topup_077_buffer_shallow_small_compact_sharp,source_jscale_1p2,source_amplitude,raw,test,sharp,shallow,compact,0.00800000037997961,0.0,1.2000000476837158,{},0.7364931106567383,0.06284677982330322,1.410139560699463,0.5317497849464417,0.3070887327194214,0.05247991159558296,0.30722323060035706,0.2501002550125122,0.34812361001968384,0.3234458565711975,8.317018364323303e-05,-69.03426422148698,-78.54984599271334,0.20218536257743835,-69.03426388872407,5.247991066426039e-05,0.20276969365496655,0.8823529411764706,0.9375,-0.08844339622641506,-0.08977299999999999,,green
diag20_90_b02_rbc_pilot_009_deep_small_compact_sharp__nominal,rbc_pilot_009_deep_small_compact_sharp,nominal,nominal,raw,test,sharp,deep,compact,0.00800000037997961,0.0,1.0,{},1.0730715990066528,0.5432488322257996,1.6028944253921509,2.4721901416778564,0.608741283416748,1.671295166015625,0.34988346695899963,0.3489801287651062,0.3319513201713562,0.3687189817428589,0.0005388809950090945,0.0,38.981060618175334,0.30537548661231995,0.0,0.0016712951473891735,0.026947427022251898,0.6929824561403509,0.8186528497409327,0.0,0.029074150259067344,,green
diag20_90_b02_rbc_pilot_009_deep_small_compact_sharp__liftoff_z_0p006,rbc_pilot_009_deep_small_compact_sharp,liftoff_z_0p006,liftoff,raw,test,sharp,deep,compact,0.006000000052154064,0.0,1.0,{},1.373879075050354,1.0067507028579712,1.7410073280334473,4.000000476837158,1.1409357786178589,3.2359747886657715,0.38021788001060486,0.35574275255203247,0.3970986008644104,0.3878123164176941,0.0011932436609640718,121.42990233751588,207.74562679446942,0.676192581653595,121.42988265198721,0.0032359748147428036,0.774231847919336,0.7088607594936709,0.8296296296296296,-0.010976779888696941,0.018097370370370403,,fail
diag20_90_b02_rbc_pilot_009_deep_small_compact_sharp__liftoff_z_0p010,rbc_pilot_009_deep_small_compact_sharp,liftoff_z_0p010,liftoff,raw,test,sharp,deep,compact,0.009999999776482582,0.0,1.0,{},1.3534668684005737,1.0980786085128784,1.60885488986969,12.360373497009277,5.198081016540527,0.21855533123016357,0.3505527079105377,0.33976513147354126,0.3268773555755615,0.38501572608947754,0.0005326714017428458,-1.1523125372316956,37.37956443229452,0.3018566071987152,-1.152312339356833,0.00021855533123016357,3.202442459357607,0.27816901408450706,0.43526170798898073,0.38339114175195194,0.4124652920110193,,fail
