dataset,sample_id,base_sample_id,source_index,split,defect_type,variant_type,expected_quality_rank,generated_real_forward,target_delta_bz_source,reference_observed_available,source_pack,true_mask_iou,true_mask_dice,true_area_error,dense_iou,dense_dice,dense_area_error,target_index,profile_reconstruct_iou_vs_perturb_mask,profile_reconstruct_dice_vs_perturb_mask,profile_reconstruct_area_error_vs_perturb_mask,center_x,center_y,angle_rad,angle_sin,angle_cos,length,depth_proxy,area_from_profile_params,roughness_penalty,u_station_0,half_width_0,center_offset_0,occupancy_0,u_station_1,half_width_1,center_offset_1,occupancy_1,u_station_2,half_width_2,center_offset_2,occupancy_2,u_station_3,half_width_3,center_offset_3,occupancy_3,u_station_4,half_width_4,center_offset_4,occupancy_4,u_station_5,half_width_5,center_offset_5,occupancy_5,u_station_6,half_width_6,center_offset_6,occupancy_6,u_station_7,half_width_7,center_offset_7,occupancy_7,mean_half_width,max_half_width,min_half_width,std_half_width,mean_abs_offset,max_abs_offset,profile_area_proxy
perturb,rect_p2_0083__perturb_00_true_geometry_reference,rect_p2_0083,0,train,rectangular_notch,true_geometry_reference,0,False,comsol_perturb_delta_bz,True,,1.0,1.0,0.0,nan,nan,nan,0,1.0,1.0,0.0,-0.002834645669291342,-0.0004761904761904791,0.0,0.0,1.0,0.01007874015748031,0.0013,6.3992000999875e-05,1.6300188331402386e-36,-0.005039370078740154,0.0031746031746031755,3.577867169202165e-18,1.0,-0.003599550056242967,0.0031746031746031746,3.577867169202165e-18,1.0,-0.0021597300337457795,0.0031746031746031755,3.577867169202165e-18,1.0,-0.0007199100112485922,0.0031746031746031746,3.577867169202165e-18,1.0,0.0007199100112485948,0.0031746031746031755,3.577867169202165e-18,1.0,0.0021597300337457817,0.0031746031746031755,3.577867169202165e-18,1.0,0.0035995500562429695,0.0031746031746031755,3.577867169202165e-18,1.0,0.0050393700787401555,0.0031746031746031755,3.577867169202165e-18,1.0,0.0031746031746031755,0.0031746031746031755,0.0031746031746031746,4.336808689942018e-19,3.577867169202165e-18,3.577867169202165e-18,6.3992000999875e-05
perturb,rect_p2_0083__perturb_01_center_shift_small,rect_p2_0083,1,train,rectangular_notch,center_shift_small,1,True,comsol_perturb_delta_bz,True,,0.7360774818401937,0.8479776847977685,0.008403361344537815,nan,nan,nan,1,0.9523809523809523,0.975609756097561,0.05,-0.003779527559055118,2.8912057932946785e-20,0.0,0.0,1.0,0.010708661417322837,0.0013,6.799150106236721e-05,0.0,-0.00535433070866142,0.0031746031746031737,-0.00015873015873015854,1.0,-0.003824521934758158,0.0031746031746031737,-0.00015873015873015854,1.0,-0.0022947131608548953,0.0031746031746031737,-0.00015873015873015854,1.0,-0.0007649043869516325,0.0031746031746031737,-0.00015873015873015854,1.0,0.0007649043869516299,0.0031746031746031737,-0.00015873015873015854,1.0,0.002294713160854892,0.0031746031746031737,-0.00015873015873015854,1.0,0.0038245219347581554,0.0031746031746031737,-0.00015873015873015854,1.0,0.005354330708661417,0.0031746031746031737,-0.00015873015873015854,1.0,0.0031746031746031737,0.0031746031746031737,0.0031746031746031737,0.0,0.00015873015873015854,0.00015873015873015854,6.799150106236721e-05
perturb,rect_p2_0083__perturb_02_center_shift_large,rect_p2_0083,2,train,rectangular_notch,center_shift_large,2,True,comsol_perturb_delta_bz,True,,0.47357293868921774,0.642754662840746,0.047619047619047616,nan,nan,nan,2,0.9512893982808023,0.9750367107195301,0.0029411764705882353,-0.0009448818897637842,-0.0019047619047619045,0.0,0.0,1.0,0.010078740157480316,0.0013,6.329723070330497e-05,2.91055681531873e-08,-0.0050393700787401555,0.0031746031746031755,-0.0001587301587301596,1.0,-0.0035995500562429677,0.0031746031746031755,-0.0001587301587301596,1.0,-0.0021597300337457795,0.0030539682539682546,-0.0001587301587301596,1.0,-0.0007199100112485913,0.0031746031746031755,-0.0001587301587301596,1.0,0.0007199100112485965,0.0031746031746031755,-0.0001587301587301596,1.0,0.0021597300337457843,0.0030539682539682546,-0.0001587301587301596,1.0,0.003599550056242973,0.0031746031746031755,-0.0001587301587301596,1.0,0.005039370078740161,0.0031746031746031755,-0.0001587301587301596,1.0,0.0031444444444444454,0.0031746031746031755,0.0030539682539682546,5.223645292668051e-05,0.0001587301587301596,0.0001587301587301596,6.329723070330497e-05
perturb,rect_p2_0083__perturb_03_size_scale_small,rect_p2_0083,3,train,rectangular_notch,size_scale_small,1,True,comsol_perturb_delta_bz,True,,0.900804289544236,0.9478138222849083,0.014005602240896359,nan,nan,nan,3,0.9565217391304348,0.9777777777777777,0.045454545454545456,-0.003149606299212605,-0.0006349206349206378,0.0,0.0,1.0,0.009448818897637795,0.001378,6.599175103112111e-05,0.0,-0.004724409448818891,0.0034920634920634925,-0.00015873015873015645,1.0,-0.003374578177727777,0.0034920634920634925,-0.00015873015873015645,1.0,-0.0020247469066366633,0.0034920634920634925,-0.00015873015873015645,1.0,-0.0006749156355455501,0.0034920634920634925,-0.00015873015873015645,1.0,0.000674915635545564,0.0034920634920634925,-0.00015873015873015645,1.0,0.002024746906636678,0.0034920634920634925,-0.00015873015873015645,1.0,0.0033745781777277904,0.0034920634920634925,-0.00015873015873015645,1.0,0.0047244094488189045,0.0034920634920634925,-0.00015873015873015645,1.0,0.0034920634920634925,0.0034920634920634925,0.0034920634920634925,0.0,0.00015873015873015645,0.00015873015873015645,6.599175103112111e-05
perturb,rect_p2_0083__perturb_04_size_scale_large,rect_p2_0083,4,train,rectangular_notch,size_scale_large,2,True,comsol_perturb_delta_bz,True,,0.68,0.8095238095238095,0.0,nan,nan,nan,4,1.0,1.0,0.0,-0.00283464566929134,-0.0004761904761904758,0.0,0.0,1.0,0.012598425196850394,0.0011049999999999999,6.399200099987503e-05,0.0,-0.0062992125984251985,0.0025396825396825405,2.710505431213761e-19,1.0,-0.004499437570303714,0.0025396825396825405,2.710505431213761e-19,1.0,-0.002699662542182229,0.0025396825396825405,2.710505431213761e-19,1.0,-0.0008998875140607439,0.0025396825396825405,2.710505431213761e-19,1.0,0.0008998875140607404,0.0025396825396825405,2.710505431213761e-19,1.0,0.0026996625421822247,0.0025396825396825405,2.710505431213761e-19,1.0,0.004499437570303711,0.0025396825396825405,2.710505431213761e-19,1.0,0.006299212598425195,0.0025396825396825405,2.710505431213761e-19,1.0,0.0025396825396825405,0.0025396825396825405,0.0025396825396825405,0.0,2.710505431213761e-19,2.710505431213761e-19,6.399200099987503e-05
perturb,rect_p2_0083__perturb_05_angle_shift_small,rect_p2_0083,5,train,rectangular_notch,angle_shift_small,1,True,comsol_perturb_delta_bz,True,,0.9093333333333333,0.952513966480447,0.0056022408963585435,nan,nan,nan,5,0.9194444444444444,0.9580318379160637,0.07520891364902507,-0.003001337924681426,-0.0005513551753106099,-0.09663231181736087,-0.09648199309060096,0.9953347301331674,0.010557013664101403,0.0013,6.687177187103678e-05,1.3159280017653845e-08,-0.005264874911726535,0.0031695169634559078,-7.933235316355201e-05,1.0,-0.0037567301025691916,0.003169516963455908,0.00010299582275569362,1.0,-0.002248585293411848,0.003169516963455908,0.00022454794003519117,1.0,-0.0007404404842545047,0.0032205688527132954,3.0120777907333712e-05,1.0,0.0007677043249028383,0.0031099564259889547,9.089683654708248e-05,1.0,0.0022758491340601813,0.0031099564259889547,0.00021244895382658,1.0,0.003783993943217525,0.0032205688527132954,7.879785033846961e-05,1.0,0.005292138752374868,0.0031707324846287025,-0.0001156293117893871,1.0,0.003167541741550116,0.0032205688527132954,0.0031099564259889547,3.917552092714648e-05,0.0001168462307954112,0.00022454794003519117,6.687177187103678e-05
perturb,rect_p2_0083__perturb_06_angle_shift_large,rect_p2_0083,6,train,rectangular_notch,angle_shift_large,2,True,comsol_perturb_delta_bz,True,,0.7875,0.8811188811188811,0.0028011204481792717,nan,nan,nan,6,0.9301675977653632,0.9638205499276411,0.06983240223463687,-0.0029806888664056686,-0.0005019065354260908,0.2710880400458189,0.2677798999296986,0.9634801114676113,0.010496133396293138,0.0013,6.606810146674288e-05,9.429167086163626e-09,-0.005227984976604834,0.003112110654347967,-5.703556583315289e-05,1.0,-0.0037285373485629572,0.0031121106543479673,-8.852936762838175e-05,1.0,-0.0022290897205210804,0.0032323862807435563,4.865708250060772e-05,1.0,-0.0007296420924792031,0.003232386280743555,1.716328070537921e-05,1.0,0.0007698055355626733,0.003114854383350548,-1.4330521089849488e-05,1.0,0.0022692531636045498,0.003114854383350546,-4.582432288507991e-05,1.0,0.003768700791646428,0.003112110654347967,5.9868325448681266e-05,1.0,0.005268148419688305,0.0031121106543479655,-0.00010881192647553857,1.0,0.0031428654931975088,0.0032323862807435563,0.0031121106543479655,5.169698710525989e-05,5.502754907083385e-05,0.00010881192647553857,6.606810146674288e-05
perturb,rect_p2_0083__perturb_07_mixed_center_size_angle,rect_p2_0083,7,train,rectangular_notch,mixed_center_size_angle,3,True,comsol_perturb_delta_bz,True,,0.5641592920353983,0.7213578500707214,0.0196078431372549,nan,nan,nan,7,0.9228571428571428,0.9598811292719168,0.07714285714285714,-0.004503037120359957,-0.0015210884353741504,0.18664320225231013,0.1855614475238838,0.9826326623885657,0.009050244931727042,0.00143,6.458584452697519e-05,6.314134520892545e-10,-0.004533808746404948,0.0035693447853831477,9.254015253608307e-05,1.0,-0.0032409166133010843,0.0035716825673991976,-2.4348948266362383e-05,1.0,-0.0019480244801972214,0.0035670070033670988,0.00017070882787994143,1.0,-0.0006551323470933585,0.003583415146945043,-6.306937372495204e-05,1.0,0.0006377597860105048,0.0035693447853831486,-0.00010178979918353865,1.0,0.0019306519191143682,0.0035483047472387084,9.326797696276519e-05,1.0,0.0032235440522182307,0.0035693447853831486,-0.00014051022464212827,1.0,0.004516436185322094,0.0035670070033670988,-6.234154929826985e-05,1.0,0.003568181353058324,0.003583415146945043,0.0035483047472387084,8.987667631747201e-06,9.357210656175511e-05,0.00017070882787994143,6.458584452697519e-05
perturb,rect_v9_0070__perturb_00_true_geometry_reference,rect_v9_0070,8,train,rectangular_notch,true_geometry_reference,0,False,comsol_perturb_delta_bz,True,,1.0,1.0,0.0,nan,nan,nan,8,0.9565217391304348,0.9777777777777777,0.045454545454545456,-0.002204724409448821,-0.0009523809523809534,0.0,0.0,1.0,0.013858267716535436,0.0022,9.678790151231099e-05,0.0,-0.006929133858267717,0.0034920634920634925,-0.00015873015873015797,1.0,-0.004949381327334083,0.0034920634920634925,-0.00015873015873015797,1.0,-0.0029696287964004493,0.0034920634920634925,-0.00015873015873015797,1.0,-0.000989876265466815,0.0034920634920634925,-0.00015873015873015797,1.0,0.0009898762654668184,0.0034920634920634925,-0.00015873015873015797,1.0,0.002969628796400452,0.0034920634920634925,-0.00015873015873015797,1.0,0.004949381327334087,0.0034920634920634925,-0.00015873015873015797,1.0,0.006929133858267719,0.0034920634920634925,-0.00015873015873015797,1.0,0.0034920634920634925,0.0034920634920634925,0.0034920634920634925,0.0,0.00015873015873015797,0.00015873015873015797,9.678790151231099e-05
perturb,rect_v9_0070__perturb_01_center_shift_small,rect_v9_0070,9,train,rectangular_notch,center_shift_small,1,True,comsol_perturb_delta_bz,True,,0.7751677852348994,0.8733459357277883,0.09090909090909091,nan,nan,nan,9,1.0,1.0,0.0,-0.0012598425196850408,-0.0014285714285714238,0.0,0.0,1.0,0.01448818897637795,0.0022,0.00010118735158105236,0.0,-0.007244094488188977,0.0034920634920634925,-4.553649124439119e-18,1.0,-0.0051743532058492695,0.0034920634920634925,-4.553649124439119e-18,1.0,-0.0031046119235095624,0.0034920634920634925,-4.553649124439119e-18,1.0,-0.0010348706411698553,0.0034920634920634925,-4.553649124439119e-18,1.0,0.0010348706411698518,0.0034920634920634925,-4.553649124439119e-18,1.0,0.003104611923509559,0.0034920634920634925,-4.553649124439119e-18,1.0,0.005174353205849266,0.0034920634920634925,-4.553649124439119e-18,1.0,0.007244094488188973,0.0034920634920634925,-4.553649124439119e-18,1.0,0.0034920634920634925,0.0034920634920634925,0.0034920634920634925,0.0,4.553649124439119e-18,4.553649124439119e-18,0.00010118735158105236
