group_field,group_value,split,subset,sample_count,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,shape_error_count,center_error_mean_mm,center_error_p95_mm,center_error_max_mm,burial_error_mean_mm,burial_error_p95_mm,burial_error_max_mm
true_shape_type,internal_cuboid,train,all,91,0,0.0,0,0,0.7652385372381943,1.6360869407653809,2.6131794452667236,0.05453265840085326,0.14132005348801613,0.3133097290992737
true_shape_type,internal_ellipsoid,train,all,87,0,0.0,0,0,0.532501954799411,1.0400794744491577,1.3805382251739502,0.03982175841135369,0.10441565215587621,0.14954689145088196
true_shape_type,internal_sphere,train,all,62,0,0.0,0,0,1.114502326615395,2.370399296283722,2.8839664459228516,0.062117471697650126,0.14521541148424147,0.18625473976135254
true_shape_type,internal_cuboid,train,source_v2,53,0,0.0,0,0,0.6648587578872465,1.5909191846847535,1.6360869407653809,0.054680963257714266,0.13697408288717264,0.3133097290992737
true_shape_type,internal_ellipsoid,train,source_v2,53,0,0.0,0,0,0.4664109699287505,0.8289085745811461,1.1295795440673828,0.040743368370282765,0.11276398003101348,0.14954689145088196
true_shape_type,internal_sphere,train,source_v2,54,0,0.0,0,0,1.0574265525296882,2.2374202728271477,2.8839664459228516,0.0576233695588868,0.11600811332464214,0.18625473976135254
true_shape_type,internal_cuboid,train,hardcase_topup,38,0,0.0,0,0,0.9052419137013586,2.6131794452667236,2.6131794452667236,0.05432581215312606,0.12382881194353094,0.21420559287071228
true_shape_type,internal_ellipsoid,train,hardcase_topup,34,0,0.0,0,0,0.6355261370977935,1.3805382251739502,1.3805382251739502,0.03838513112243484,0.08276151679456234,0.14252634346485138
true_shape_type,internal_sphere,train,hardcase_topup,8,0,0.0,0,0,1.4997638016939163,2.626310896873474,2.7627527713775635,0.09245266113430262,0.14525087177753448,0.14525087177753448
true_shape_type,internal_cuboid,val,all,22,1,0.045454545454545456,1,9,3.11614905026826,6.34349000453949,8.780267715454102,0.4055217925289815,1.2308459520339963,1.524403691291809
true_shape_type,internal_ellipsoid,val,all,23,1,0.043478260869565216,0,3,1.7904529778853706,4.048585104942321,4.203212261199951,0.39684842294082046,1.422031503915786,1.9184387922286987
true_shape_type,internal_sphere,val,all,15,2,0.13333333333333333,2,2,2.2812325775623323,7.975459861755366,11.663759231567383,0.5053400542587042,2.8479786396026596,3.7809362411499023
true_shape_type,internal_cuboid,val,source_v2,13,1,0.07692307692307693,1,5,2.9392738961256466,6.293811321258545,6.348006248474121,0.4157151726002877,1.3569576025009151,1.524403691291809
true_shape_type,internal_ellipsoid,val,source_v2,14,0,0.0,0,0,1.3555526775973183,4.155732536315918,4.203212261199951,0.1828242973091879,0.6381615251302718,0.8739749789237976
true_shape_type,internal_sphere,val,source_v2,13,0,0.0,0,0,1.2430745615408971,2.4035140991210913,3.3902153968811035,0.1039249927092057,0.3312308341264721,0.48981210589408875
true_shape_type,internal_cuboid,val,hardcase_topup,9,0,0.0,0,4,3.3716353840298123,7.076280403137206,8.780267715454102,0.3907980213148726,0.8299719572067259,0.955708384513855
true_shape_type,internal_ellipsoid,val,hardcase_topup,9,1,0.1111111111111111,0,3,2.46696455611123,3.2611666202545164,3.31435227394104,0.7297748405900266,1.7394595384597777,1.9184387922286987
true_shape_type,internal_sphere,val,hardcase_topup,2,2,1.0,2,2,9.02925968170166,11.40030927658081,11.663759231567383,3.1145379543304443,3.7142964124679563,3.7809362411499023
true_shape_type,internal_cuboid,test,all,22,3,0.13636363636363635,0,6,4.163793681697412,9.929336071014403,14.608484268188477,0.518533172424544,1.53543284535408,1.5833412408828735
true_shape_type,internal_ellipsoid,test,all,20,5,0.25,1,5,3.8081050887703896,7.241110157966615,8.827550888061523,0.8209076423896476,1.949764114618302,2.8612265586853027
true_shape_type,internal_sphere,test,all,18,1,0.05555555555555555,1,3,2.657605066895485,7.4659616708755445,10.133456230163574,0.2253232951172524,0.8355790436267847,1.1921141147613525
true_shape_type,internal_cuboid,test,source_v2,14,3,0.21428571428571427,0,3,2.949122196861676,7.512232184410093,10.002486228942871,0.5805022697895765,1.5601606726646424,1.5833412408828735
true_shape_type,internal_ellipsoid,test,source_v2,13,2,0.15384615384615385,0,1,3.2473947291190806,6.265237617492674,7.157613277435303,0.5914801962028903,1.4669252872467031,1.9017924070358276
true_shape_type,internal_sphere,test,source_v2,13,0,0.0,0,0,1.6849813484228575,3.6171062469482393,4.870292663574219,0.10845533543481277,0.36273620128631573,0.45119622349739075
true_shape_type,internal_cuboid,test,hardcase_topup,8,0,0.0,0,3,6.28946878015995,12.484333848953245,14.608484268188477,0.41008725203573704,0.8678856998682021,0.9898571372032166
true_shape_type,internal_ellipsoid,test,hardcase_topup,7,3,0.42857142857142855,1,4,4.84942432812282,8.291807889938353,8.827550888061523,1.2469871853079115,2.569474601745605,2.8612265586853027
true_shape_type,internal_sphere,test,hardcase_topup,5,1,0.2,1,3,5.186426734924316,9.505810451507568,10.133456230163574,0.5291799902915955,1.1082235097885131,1.1921141147613525
burial_depth_level,deep,train,all,54,0,0.0,0,0,0.6993209091877496,1.8268934607505767,2.3729188442230225,0.06265908545228066,0.1906020089983938,0.3133097290992737
burial_depth_level,deep_plus,train,all,66,0,0.0,0,0,0.656855363511678,1.4877646267414093,2.3719077110290527,0.04716034798008023,0.11420866847038269,0.18625473976135254
burial_depth_level,medium,train,all,54,0,0.0,0,0,0.7780161406154986,1.5905331790447235,1.9635220766067505,0.04673073382151348,0.1052085444331169,0.15402725338935852
burial_depth_level,shallow,train,all,66,0,0.0,0,0,0.9384070685641333,2.6131794452667236,2.8839664459228516,0.04937295354620525,0.11669116839766502,0.14525087177753448
burial_depth_level,deep,train,source_v2,40,0,0.0,0,0,0.6922980902716518,1.6360869407653809,2.181248426437378,0.06382609130814672,0.1541725724935529,0.3133097290992737
burial_depth_level,deep_plus,train,source_v2,40,0,0.0,0,0,0.650603998452425,1.5941467761993386,2.3719077110290527,0.046852254308760166,0.11642411947250353,0.18625473976135254
burial_depth_level,medium,train,source_v2,40,0,0.0,0,0,0.7787768799811602,1.6139497935771931,1.9635220766067505,0.04885419951751828,0.1064593769609928,0.15402725338935852
burial_depth_level,shallow,train,source_v2,40,0,0.0,0,0,0.8047792665660382,2.1603211402893066,2.8839664459228516,0.04469624317716807,0.10738585889339447,0.11979293823242188
burial_depth_level,deep,train,hardcase_topup,14,0,0.0,0,0,0.7193861060908863,2.2483330726623536,2.3729188442230225,0.059324783006949086,0.190602008998394,0.21420559287071228
burial_depth_level,deep_plus,train,hardcase_topup,26,0,0.0,0,0,0.666472848218221,0.9866830706596375,1.4510420560836792,0.04763433824364956,0.11178094521164894,0.14252634346485138
burial_depth_level,medium,train,hardcase_topup,14,0,0.0,0,0,0.7758425995707512,1.4622826635837554,1.5668812990188599,0.04066368897578546,0.10215014927089214,0.10472489893436432
burial_depth_level,shallow,train,hardcase_topup,26,0,0.0,0,0,1.1439883024073565,2.6131794452667236,2.7627527713775635,0.056567892575493224,0.1450735703110695,0.14525087177753448
burial_depth_level,deep,val,all,13,0,0.0,0,1,1.8408728471169105,3.0702725887298583,3.1813881397247314,0.30681707795995933,0.9552199482917771,1.524403691291809
burial_depth_level,deep_plus,val,all,13,0,0.0,0,1,1.781303657935216,5.061129856109616,6.348006248474121,0.22834458889869544,0.916944634914398,0.9813991189002991
burial_depth_level,medium,val,all,13,0,0.0,0,4,2.6736106735009413,6.498036289215083,8.780267715454102,0.2702826810284303,0.6812556624412534,0.8269243240356445
burial_depth_level,shallow,val,all,21,4,0.19047619047619047,3,8,2.957569187595731,6.3947601318359375,11.663759231567383,0.7218246406964248,2.4481396675109863,3.7809362411499023
burial_depth_level,deep,val,source_v2,10,0,0.0,0,1,1.624313485622406,2.6906021475791926,2.9961955547332764,0.2877391640096903,1.0588374778628338,1.524403691291809
burial_depth_level,deep_plus,val,source_v2,10,0,0.0,0,0,1.6973708629608155,5.3828489542007425,6.348006248474121,0.13000033609569073,0.5454240754246704,0.8739749789237976
burial_depth_level,medium,val,source_v2,10,0,0.0,0,3,2.0888523280620577,4.5956767082214345,4.976548671722412,0.2524039838463068,0.6848416507244106,0.8269243240356445
burial_depth_level,shallow,val,source_v2,10,1,0.1,1,1,1.9242900669574738,5.795827293395995,6.257681369781494,0.26134274718351663,1.0914467215538022,1.2453268766403198
burial_depth_level,deep,val,hardcase_topup,3,0,0.0,0,0,2.5627373854319253,3.1508949995040894,3.1813881397247314,0.37041012446085614,0.5679398685693741,0.5757641196250916
burial_depth_level,deep_plus,val,hardcase_topup,3,0,0.0,0,1,2.0610796411832175,3.1124072313308715,3.1801509857177734,0.5561587649087111,0.9476664960384369,0.9813991189002991
burial_depth_level,medium,val,hardcase_topup,3,0,0.0,0,1,4.622805158297221,8.270459365844726,8.780267715454102,0.3298783383021752,0.5645845383405685,0.5841432213783264
burial_depth_level,shallow,val,hardcase_topup,11,3,0.2727272727272727,2,7,3.896913842721419,9.02925968170166,11.663759231567383,1.1404445438899777,3.1145379543304443,3.7809362411499023
