group_field,group_value,split,count,notes
split,train,train,63,top-up pack
split,val,val,17,top-up pack
split,test,test,16,top-up pack
shape_type,multi_pit_two_component_surface_defect,train,56,top-up pack
shape_type,multi_pit_three_component_surface_defect,train,7,top-up pack
shape_type,multi_pit_two_component_surface_defect,val,15,top-up pack
shape_type,multi_pit_three_component_surface_defect,val,2,top-up pack
shape_type,multi_pit_two_component_surface_defect,test,13,top-up pack
shape_type,multi_pit_three_component_surface_defect,test,3,top-up pack
component_count,2,train,56,top-up pack
component_count,3,train,7,top-up pack
component_count,2,val,15,top-up pack
component_count,3,val,2,top-up pack
component_count,2,test,13,top-up pack
component_count,3,test,3,top-up pack
separation_type,separated,train,16,top-up pack
separation_type,close,train,16,top-up pack
separation_type,touching,train,16,top-up pack
separation_type,partially_overlapping,train,15,top-up pack
separation_type,partially_overlapping,val,5,top-up pack
separation_type,separated,val,4,top-up pack
separation_type,close,val,4,top-up pack
separation_type,touching,val,4,top-up pack
separation_type,separated,test,4,top-up pack
separation_type,close,test,4,top-up pack
separation_type,touching,test,4,top-up pack
separation_type,partially_overlapping,test,4,top-up pack
topology_relation,disconnected,train,32,top-up pack
topology_relation,touching_boundary,train,16,top-up pack
topology_relation,partially_overlapping,train,15,top-up pack
topology_relation,partially_overlapping,val,5,top-up pack
topology_relation,disconnected,val,8,top-up pack
topology_relation,touching_boundary,val,4,top-up pack
topology_relation,disconnected,test,8,top-up pack
topology_relation,touching_boundary,test,4,top-up pack
topology_relation,partially_overlapping,test,4,top-up pack
relative_depth_type,similar_depth,train,32,top-up pack
relative_depth_type,one_deep_one_shallow,train,31,top-up pack
relative_depth_type,one_deep_one_shallow,val,9,top-up pack
relative_depth_type,similar_depth,val,8,top-up pack
relative_depth_type,similar_depth,test,8,top-up pack
relative_depth_type,one_deep_one_shallow,test,8,top-up pack
orientation_type,aligned_x,train,22,top-up pack
orientation_type,aligned_y,train,21,top-up pack
orientation_type,diagonal,train,20,top-up pack
orientation_type,aligned_y,val,5,top-up pack
orientation_type,diagonal,val,6,top-up pack
orientation_type,aligned_x,val,6,top-up pack
orientation_type,aligned_y,test,6,top-up pack
orientation_type,diagonal,test,6,top-up pack
orientation_type,aligned_x,test,4,top-up pack
primitive_mix,smooth-smooth,train,16,top-up pack
primitive_mix,flat-flat,train,16,top-up pack
primitive_mix,smooth-flat,train,16,top-up pack
primitive_mix,asymmetric_mix,train,15,top-up pack
primitive_mix,asymmetric_mix,val,5,top-up pack
primitive_mix,smooth-smooth,val,4,top-up pack
primitive_mix,flat-flat,val,4,top-up pack
primitive_mix,smooth-flat,val,4,top-up pack
primitive_mix,smooth-smooth,test,4,top-up pack
primitive_mix,flat-flat,test,4,top-up pack
primitive_mix,smooth-flat,test,4,top-up pack
primitive_mix,asymmetric_mix,test,4,top-up pack
