sample_index,model,defect_type,area_bin,low_signal,max_abs_bz,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y
0,oracle_area_x,rotated_rect,large,False,8.726391792297363,18303.580078125,41.734073638916016,0.3313679245283019,0.4977856510186005,0.6591448931116389,0.6516149640083313,4.370342420438462,12.821701456477996,False,True,False,-2.0283472537994385,4.662654876708984,-2.1501212120056152,5.30279016494751
1,oracle_area_x,polygon,small,True,6.08453893661499,9717.0947265625,31.54046630859375,0.0,0.0,0.8078817733990148,1.4016462564468384,0.5938792836135889,3.091217809578424,False,True,False,-3.3919599056243896,4.7474751472473145,-4.461345672607422,5.653580188751221
2,oracle_area_x,multi_defect,small,False,7.990758895874023,10174.6884765625,33.27997970581055,0.24295010845986983,0.39092495636998253,0.7570498915401301,0.4100414216518402,1.7054994811467168,7.019957685791397,False,True,False,6.440685272216797,5.7151875495910645,6.553210258483887,5.320888042449951
3,oracle_area_x,multi_defect,large,True,7.529473304748535,41587.34375,86.39102172851562,0.2285054818234276,0.3720056364490371,0.497529992942837,1.4510304927825928,10.8421038444327,21.57761397129373,False,True,False,-1.2667973041534424,5.009221076965332,0.1446363478899002,4.6725544929504395
4,oracle_area_x,rotated_rect,medium,False,11.381318092346191,21655.828125,49.42948913574219,0.2962962962962963,0.45714285714285713,0.3676268861454047,1.4356979131698608,7.019957685791397,11.100974301392469,False,True,False,-4.387392997741699,5.244418144226074,-4.4404120445251465,6.679136753082275
5,oracle_area_x,rotated_rect,large,False,13.777337074279785,17637.94921875,43.501068115234375,0.4326315789473684,0.6039676708302718,0.26181353767560667,0.9683249592781067,8.801595536632163,11.923268694088208,False,True,False,5.039035797119141,5.330292701721191,5.256647109985352,6.273849010467529
6,oracle_area_x,polygon,small,True,4.9213995933532715,12940.2060546875,29.139850616455078,0.0,0.0,1.0,nan,0.0,5.786516096747789,True,True,False,nan,nan,3.3276913166046143,4.368952751159668
7,oracle_area_x,polygon,large,False,16.825197219848633,37386.5703125,66.64208984375,0.22337278106508876,0.3651753325272068,0.4111431316042267,1.8822613954544067,9.334564124490512,15.85200857030118,False,True,False,-3.573208808898926,5.129435062408447,-3.7500905990600586,7.003366947174072
8,oracle_area_x,polygon,small,False,9.147215843200684,13261.939453125,36.455726623535156,0.034482758620689655,0.06666666666666667,0.5470085470085471,1.863861083984375,2.4212001562707854,5.3449135525223,False,True,False,6.127335071563721,5.673083305358887,6.187131881713867,3.8101816177368164
9,oracle_area_x,rotated_rect,medium,False,8.918783187866211,12556.4345703125,34.662635803222656,0.4417808219178082,0.6128266033254157,0.5070921985815603,0.8449615836143494,4.233293354989172,8.588408101488824,False,True,False,-0.20335489511489868,4.840854644775391,-0.2835988402366638,5.681997299194336
