base_group_id,base_sample_id,variant,paired_reference_variant,line_count,shape_type,burial_depth_level,size_level,aspect_bin,mag_x_rms,mag_y_rms,mag_y_over_mag_x_rms,mag_x_absmax,mag_y_absmax,magnetization_corr,magnetization_nonredundancy_score,mag_x_peak_x_m,mag_y_peak_x_m,mag_x_peak_y_m,mag_y_peak_y_m,x_center_difference_mm,y_center_difference_mm,adds_nonredundant_signal
richer_obs_base_001,internal_hard_topup_118,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_cuboid,deep,large,compact,0.0001835404011006723,5.3597892151764386e-05,0.292022309738462,0.0005883276462554932,0.0003032207896467298,0.1156289902942846,11.514563262719218,-0.009600000000000001,0.0396,-0.0020000000949949026,0.0010000000474974513,9.31663420325681,0.08263299199562223,True
richer_obs_base_001,internal_hard_topup_118,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_cuboid,deep,large,compact,0.00018784038907587502,5.6555867000951186e-05,0.301084697375822,0.0006224788376130164,0.00045613048132508993,0.09110256277932759,9.94335004790193,-0.008799999999999999,0.022400000000000003,-0.004000000189989805,0.003000000026077032,7.765865877660872,0.06822308351760203,True
richer_obs_base_002,internal_hard_topup_114,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,deep_plus,large,elongated_y,0.00020976224465215439,5.227310511480609e-05,0.24920168523314634,0.0006650842842645943,0.0004919945495203137,0.05399867900328341,9.580123728891895,0.018800000000000004,-0.012799999999999999,0.0020000000949949026,-0.0020000000949949026,7.242341318016689,0.002288379489899048,True
richer_obs_base_002,internal_hard_topup_114,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,deep_plus,large,elongated_y,0.00021258365330913522,5.4186490583101594e-05,0.2548949060039423,0.0007613096968270838,0.0004919945495203137,0.03160873176346341,9.60214192222771,0.016,-0.012799999999999999,-0.004000000189989805,-0.0020000000949949026,7.160531536418491,0.10631518393560634,True
richer_obs_base_003,internal_pilot_091,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_cuboid,deep_plus,medium,compact,0.00015100712448835478,5.419736209696753e-05,0.3589059915000307,0.0005731997662223876,0.00030405810684897006,0.11072089730412299,3.335723043603502,0.0068000000000000005,0.036800000000000006,0.0020000000949949026,-0.0020000000949949026,1.3788043035455881,0.042944868910483915,True
richer_obs_base_003,internal_pilot_091,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_cuboid,deep_plus,medium,compact,0.0001554409193624246,5.479691951981489e-05,0.35252570167527897,0.000584372435696423,0.0003258411306887865,0.06984500574436694,4.056016150979779,0.0148,0.021200000000000004,-0.003000000026077032,0.004000000189989805,1.9845600832004342,0.09866934493909059,True
richer_obs_base_004,internal_hard_topup_109,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,deep_plus,large,compact,0.00019382893612029538,5.790500748395728e-05,0.29874284172553606,0.0006287061842158437,0.0005094967200420797,0.1124926848353811,6.769916273756003,-0.0204,0.022400000000000003,-0.0020000000949949026,0.0010000000474974513,4.639625287084124,0.034611552002099415,True
richer_obs_base_004,internal_hard_topup_109,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,deep_plus,large,compact,0.00019377308615664682,5.8252352671510516e-05,0.30062148220004936,0.0006715588388033211,0.0005094967200420797,0.09544277537206845,6.181263797052509,-0.02,0.022400000000000003,-0.003000000026077032,0.0010000000474974513,4.034032208946756,0.04077104083247742,True
richer_obs_base_005,internal_hard_topup_119,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,shallow,medium,compact,0.00021546254809908435,5.63708023145442e-05,0.26162691637246466,0.0006249063299037516,0.00025685649598017335,0.10077139578162399,9.562327919046233,-0.0204,0.0352,-0.0020000000949949026,-0.0020000000949949026,7.315544540373836,0.006719018833708954,True
richer_obs_base_005,internal_hard_topup_119,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,shallow,medium,compact,0.00021427251691856492,6.056944988973078e-05,0.2826748407966645,0.0006631526630371809,0.0005497506354004145,0.0676789103332431,8.744153384680978,-0.02,-0.0352,-0.004000000189989805,-0.004000000189989805,6.547561485346735,0.0008128118137294585,True
richer_obs_base_006,internal_topup_045,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_cuboid,shallow,large,compact,0.0001910134156103009,6.500475704180762e-05,0.340315136995995,0.0006398623227141798,0.00029641579021699727,-0.061549603696664866,7.355526878769176,0.023600000000000003,0.03880000000000001,0.0020000000949949026,0.0,5.325293782270786,0.013899498442227346,True
richer_obs_base_006,internal_topup_045,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_cuboid,shallow,large,compact,0.000193755587200686,6.512323839536946e-05,0.33611024590380767,0.0006418487755581737,0.00042210277752019465,-0.09911493610944039,7.448790759183224,0.028000000000000004,-0.012399999999999998,0.004000000189989805,-0.004000000189989805,5.373051046123881,0.08453860449706678,True
richer_obs_base_007,internal_topup_044,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,deep_plus,medium,compact,0.00015919845302340011,5.5939808972377985e-05,0.3513841218844723,0.0005607281345874071,0.0002387733693467453,0.08260445596853436,2.2663784577896893,-0.007600000000000003,-0.0368,-0.0020000000949949026,-0.0010000000474974513,0.26093330478416976,0.042174337297232085,True
richer_obs_base_007,internal_topup_044,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,deep_plus,medium,compact,0.00016474979973225292,5.590407438206648e-05,0.3393271138028283,0.0006186434766277671,0.0003707735158968717,0.038424150862659656,3.5491080473013765,-0.02,-0.0216,-0.004000000189989805,-0.004000000189989805,1.3871298501572087,0.11961166651150174,True
richer_obs_base_008,internal_hard_topup_103,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,deep_plus,large,compact,0.000180128096853354,4.523596855086502e-05,0.25113221696091276,0.0005886316066607833,0.00019684892322402447,0.007676507852866614,7.767625434517173,0.005600000000000001,0.0264,0.0,-0.0020000000949949026,5.269856873403039,0.12366937333363055,True
richer_obs_base_008,internal_hard_topup_103,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,deep_plus,large,compact,0.000179351881079971,5.0909131977322256e-05,0.2838505589510482,0.0005946572055108845,0.00031488819513469934,0.016800207000741682,6.606043243184489,0.008,-0.022,-0.004000000189989805,-0.004000000189989805,4.087530252785878,0.2760058368524051,True
richer_obs_base_009,internal_hard_topup_110,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_sphere,deep_plus,medium,compact,7.364145498277401e-05,1.8132654352641796e-06,0.024622889526903613,0.00029257696587592363,7.922351869638078e-06,0.10204564816367702,6.018254384523571,0.004400000000000001,0.007199999999999998,0.0010000000474974513,0.0020000000949949026,1.3821101116870937,0.034111672403193335,True
richer_obs_base_009,internal_hard_topup_110,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_sphere,deep_plus,medium,compact,7.313629772882655e-05,1.831859782568734e-06,0.025047203842798644,0.0002993295784108341,8.886750947567634e-06,0.08697107089010925,6.289097338065649,0.0011999999999999997,0.005200000000000003,-0.004000000189989805,0.004000000189989805,1.5484217790299963,0.14065409509537394,True
richer_obs_base_010,internal_pilot_042,M1_mag_y_5line_z0p008,R1_5line_z0p008,5,internal_ellipsoid,medium,large,elongated_y,0.00018611394333283905,5.024712963641497e-05,0.2699804671623902,0.0006635552272200584,0.00025980346254073083,0.1848752724754257,2.808236985763977,0.005200000000000003,-0.038400000000000004,0.0020000000949949026,-0.0020000000949949026,0.6430307838124742,0.0406758278848585,True
richer_obs_base_010,internal_pilot_042,M2_mag_y_9line_z0p008,R1_9line_z0p008,9,internal_ellipsoid,medium,large,elongated_y,0.00019006014825604232,5.286762027236502e-05,0.2781625736868365,0.0006635552272200584,0.0003395868407096714,0.13303546995953935,3.2937421505385376,0.005200000000000003,-0.0216,0.0020000000949949026,-0.004000000189989805,0.9170465113067737,0.230181589322252,True
