stage,split,group,n,iou,dice,area_error,center_error_px,forward_mse,forward_nrmse,forward_correlation,center_abs_error_m,width_abs_error_m,length_abs_error_m,depth_abs_error_m,angle_abs_error_deg,parameter_drift_norm
pre_refine,train,all,268,0.6961936279459551,0.8181925265895916,0.14162255137949212,2.199690649522627,0.7064445649148591,0.4691106769353596,0.9139796491422603,0.0008113349058207937,0.0011236819754868968,0.0008127087372730472,0.00038134326433776806,20.06957064655517,0.0
pre_refine,train,rectangular_notch,134,0.711245169605268,0.827823697553445,0.19664514090404764,2.0561516675382188,0.9650869058417295,0.5227860827276956,0.8981105705366474,0.0007778529807008913,0.0016275754636292583,0.0011232463962662575,0.00046791042263772504,nan,0.0
pre_refine,train,rotated_rect,134,0.6811420862866422,0.8085613556257382,0.08659996185493653,2.343229631507035,0.4478022239879886,0.41543527114302364,0.9298487277478731,0.0008448168309406964,0.0006197884873445354,0.0005021710782798369,0.00029477610603781114,20.06957064655517,0.0
pre_refine,val,all,66,0.6774553461882845,0.805482977173386,0.15169980540634018,2.5403482700477835,0.7208292960104618,0.4892234515511628,0.9018527358275995,0.0009534512199394679,0.0007842785721136765,0.0008016594149398081,0.000480303004609816,19.52834047968186,0.0
pre_refine,val,rectangular_notch,33,0.684361237566556,0.8102067669221201,0.2022128851270475,2.5097463880704844,0.9406600894801544,0.5696822716431185,0.876352036697393,0.0009609936398186066,0.001038930534074704,0.0010484420891964073,0.0005060605789450082,nan,0.0
pre_refine,val,rotated_rect,33,0.6705494548100128,0.8007591874246521,0.10118672568563292,2.5709501520250835,0.500998502540769,0.4087646314592073,0.9273534349578061,0.0009459088000603292,0.0005296266101526492,0.0005548767406832088,0.0004545454302746238,19.52834047968186,0.0
pre_refine,test,all,66,0.6725581527673428,0.8017130887704693,0.19446731397193992,2.2784334046973536,0.8294976635864286,0.4908434209046942,0.9073737115889345,0.0008624507312658573,0.00096132031246794,0.0011178737463937564,0.0004469696714571028,19.3983279729454,0.0
pre_refine,test,rectangular_notch,33,0.6756097268465386,0.8039150823460862,0.2320454622511572,2.1005075453482567,1.1054152789892573,0.56339092688127,0.8855995762019633,0.000785933836434352,0.0011502549786007767,0.001613793485431057,0.0004999999690688018,nan,0.0
pre_refine,test,rotated_rect,33,0.669506578688147,0.7995110951948523,0.15688916569272265,2.456359264046449,0.5535800481836001,0.4182959149281184,0.9291478469759058,0.0009389676260973626,0.0007723856463351033,0.0006219540073564558,0.00039393937384540385,19.3983279729454,0.0
post_refine,train,all,268,0.6447878790377715,0.7804032008967425,0.19954528368160263,2.629603163669005,0.5495940794501064,0.40311011571937533,0.9176555107230135,0.0010517658008006585,0.0015706537176729805,0.000995371054593863,0.0005291149849002597,20.145927025394275,1.2698530470257374
post_refine,train,rectangular_notch,134,0.6577617021933976,0.788775531681002,0.2370225954834318,2.5093841007652684,0.7569215916541975,0.4474027431500492,0.9014640388150261,0.0010177164905487374,0.0020733436590422,0.0012912798999572424,0.0006344852857847712,nan,1.5231490602244193
post_refine,train,rotated_rect,134,0.6318140558821451,0.7720308701124828,0.16206797187977348,2.7498222265727406,0.3422665672460154,0.35881748828870147,0.9338469826310006,0.0010858151110525796,0.001067963776303761,0.0006994622092304835,0.0004237446840157482,20.145927025394275,1.0165570338270558
post_refine,val,all,66,0.6434454453499111,0.7795561286393815,0.2369140549300098,2.596117228183819,0.5606421032976924,0.41466929312005185,0.9064245922436046,0.0010129978296629784,0.001074385427107865,0.0011185884518040853,0.0005511505658046879,19.80379015279397,1.2533131020538735
post_refine,val,rectangular_notch,33,0.6412284923627815,0.7767092658612557,0.2521537599264301,2.7574439253676757,0.7388480467100939,0.47471840860265674,0.8799821462338255,0.0010944476547213788,0.0011113613392367508,0.0014026961853784142,0.0005947083771003015,nan,1.4440030545899363
post_refine,val,rotated_rect,33,0.6456623983370406,0.7824029914175074,0.22167434993358956,2.434790530999962,0.3824361598852909,0.354620177637447,0.9328670382533834,0.0009315480046045776,0.0010374095149789796,0.0008344807182297562,0.0005075927545090742,19.80379015279397,1.0626231495178107
post_refine,test,all,66,0.6492311333020838,0.7829011935423627,0.24167831759931338,2.4896684094332913,0.6489359242559383,0.4195035994052887,0.9095572083966207,0.0009639146944957204,0.0013441523170155106,0.001239183231849562,0.0005682335573841225,19.21690000893174,1.3397169447306432
post_refine,test,rectangular_notch,33,0.6557092726254659,0.7860947579430736,0.276149295439323,2.3058311165813206,0.861794638024135,0.473858734423464,0.8867907654074737,0.0009050409846234617,0.001442938760826082,0.001685475507243113,0.0006329450248317285,nan,1.6114513576030731
post_refine,test,rotated_rect,33,0.6427529939787018,0.7797076291416513,0.20720733975930375,2.673505702285263,0.4360772104877414,0.3651484643871134,0.9323236513857676,0.0010227884043679785,0.0012453658732049394,0.0007928909564560109,0.0005035220899365165,19.21690000893174,1.067982531858213
