perturbation_name,perturbation_group,severity,affected_axis,split,group_field,group_value,sample_count,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary
additive_noise_0pct,additive_noise,0pct,all,train,curvature_template,LD_dominant,31,0.0004678505888037879,0.3091505074933652,0.8812765123877294,1.540937533301692,1.7603321556122071,0.9370389509825937,0.1633611929512793
additive_noise_0pct,additive_noise,0pct,all,train,curvature_template,WD_dominant,34,0.0004322596548316891,0.30166928360567374,0.8813265034290211,1.7113060718950104,1.7485277847770382,0.8593386171166512,0.16193889892276594
additive_noise_0pct,additive_noise,0pct,all,train,curvature_template,boxy,32,0.00047286965468629205,0.32353009562939405,0.8537628592743853,2.3947299756109715,1.9915539103094488,0.8843667999608442,0.23977844417095184
additive_noise_0pct,additive_noise,0pct,all,train,curvature_template,round,33,0.00040408123459201306,0.3488475971601226,0.806788745393744,2.293872080969088,2.724678986000292,0.9555616744539954,0.12186749166611469
additive_noise_0pct,additive_noise,0pct,all,train,curvature_template,sharp,32,0.0003607057833505678,0.3708119331859052,0.8586472940425318,1.3002021866850555,1.9382801509927958,0.8563367328024469,0.24253473058342934
additive_noise_0pct,additive_noise,0pct,all,train,depth_bin,deep,49,0.0008392999125692081,0.3701532373622972,0.8670441951360979,2.2109609483456123,2.4646488346007405,1.803128114768437,0.16953237103868504
additive_noise_0pct,additive_noise,0pct,all,train,depth_bin,medium,57,0.00022606841836629124,0.18841785473520295,0.8613957692509385,1.8755811186213243,1.9224298287901962,0.43760587873035356,0.19038068731887298
additive_noise_0pct,additive_noise,0pct,all,train,depth_bin,shallow,56,0.0002713874234489465,0.4409644759393164,0.8414482517101598,1.511497635926519,1.7739829441000308,0.575088501009824,0.19405326792704208
additive_noise_0pct,additive_noise,0pct,all,train,aspect_bin,balanced,44,0.0004112336768726395,0.28234833445061336,0.8945084624030294,1.886631962927905,1.1544641554355621,0.8431598770601506,0.19088418578559702
additive_noise_0pct,additive_noise,0pct,all,train,aspect_bin,compact,43,0.00042827845424844147,0.38595547371132427,0.8539185249611209,2.182539872998415,0.9424520238887432,0.9153200221182995,0.18076576188553212
additive_noise_0pct,additive_noise,0pct,all,train,aspect_bin,narrow,33,0.00031804307571181914,0.23834664611653847,0.7362056112916001,1.804717164147984,4.710101640585697,0.6683671926007126,0.17757260754252924
additive_noise_0pct,additive_noise,0pct,all,train,aspect_bin,wide,42,0.0005286574871986106,0.39729727609526544,0.9127183907870698,1.5112473932760102,1.9746220000088215,1.1187584731018259,0.1903342947009064
additive_noise_0pct,additive_noise,0pct,all,train,size_bin,elongated,33,0.00031804307571181914,0.23834664611653847,0.7362056112916001,1.804717164147984,4.710101640585697,0.6683671926007126,0.17757260754252924
additive_noise_0pct,additive_noise,0pct,all,train,size_bin,large_wide,42,0.0005286574871986106,0.39729727609526544,0.9127183907870698,1.5112473932760102,1.9746220000088215,1.1187584731018259,0.1903342947009064
additive_noise_0pct,additive_noise,0pct,all,train,size_bin,medium_balanced,44,0.0004112336768726395,0.28234833445061336,0.8945084624030294,1.886631962927905,1.1544641554355621,0.8431598770601506,0.19088418578559702
additive_noise_0pct,additive_noise,0pct,all,train,size_bin,small_compact,43,0.00042827845424844147,0.38595547371132427,0.8539185249611209,2.182539872998415,0.9424520238887432,0.9153200221182995,0.18076576188553212
