defect_weight,checkpoint,epochs,lambda_tv,loss_type,val_mse,val_mae,val_iou,val_dice,val_area_error,val_center_error,val_polygon_iou,val_polygon_dice,val_small_polygon_iou,val_small_polygon_dice,val_small_polygon_pred_area_zero_count,val_small_polygon_count,val_small_polygon_area_error,val_multi_defect_center_error,test_mse,test_mae,test_iou,test_dice,test_area_error,test_center_error,test_polygon_iou,test_polygon_dice,test_small_polygon_iou,test_small_polygon_dice,test_small_polygon_pred_area_zero_count,test_small_polygon_count,test_small_polygon_area_error,test_multi_defect_center_error,selection_score,selection_note
2,checkpoints/best_model_v4_smallpoly_w2.pt,100,0,weighted_mse,23829.02567199707,49.741261172294614,0.3215410973676465,0.44550472963202653,0.4144482810868131,1.2294919858118747,0.1268448376407096,0.18726950381881421,0.0,0.0,22,22,1.0,1.5242907824615637,24548.24627807617,50.70629666805267,0.317462650946744,0.4428498596440893,0.4395938567562699,1.2893864261429935,0.13618855929002513,0.2007657843098073,0.0,0.0,25,25,1.0,1.529418986539046,4.0,
3,checkpoints/best_model_v4_smallpoly_w3.pt,100,0,weighted_mse,26216.825092163086,53.43731820106506,0.346997531310859,0.48119983501374264,0.5429786645633683,1.06896162864273,0.16983027997441968,0.25273872613417137,0.006493506493506493,0.011363636363636364,20,22,0.9887496224705526,1.100140799026368,27208.695723266603,54.73555544614792,0.3339997779650325,0.46527131873566135,0.5667015265861557,1.2265353838035038,0.1602143624313418,0.23506087781815957,0.0,0.0,23,25,0.957168426344897,1.2595994474987189,3.0,
5,checkpoints/best_model_v4_smallpoly_w5.pt,100,0,weighted_mse,30835.45084472656,62.17116940975189,0.3436269323369396,0.48538201385678365,0.8442757777626478,1.0660800357920028,0.19513849041897122,0.2947635045836151,0.07135633973024011,0.11412380188113098,13,22,0.9021026987968054,1.071335257589817,31232.194459838865,62.36785828590393,0.33908063487885554,0.4776033012080779,0.8380238594679241,1.173075534561847,0.18900554835175093,0.28300730737243407,0.0654854895217872,0.10444288345346842,12,25,0.929900114316665,1.0873094121615092,0.0,recommended_balance
7,checkpoints/best_model_v4_smallpoly_w7.pt,100,0,weighted_mse,34020.69021118164,80.25899350166321,0.3329281763489193,0.47613740512798747,1.0870936724341806,1.0744617453986598,0.18403629403456404,0.28003721175007285,0.03924002084176723,0.06402064450912838,12,22,0.9741659046954596,0.9873599722981453,34183.66352050781,79.96119314193726,0.32993044511070835,0.4689815021402688,1.0711139121649365,1.104026417606152,0.17639425368886538,0.2665909298426445,0.04415000356107503,0.07246766618308084,17,25,1.0431255232292687,0.952914530535539,2.0,
10,checkpoints/best_model_v4_smallpoly_w10.pt,100,0,weighted_mse,39561.97887451172,77.61590515136719,0.3305684869636285,0.4771032924986544,1.3270592949339055,1.0499071534723043,0.20984428695553659,0.32345588059126673,0.11561749769562514,0.18636147294165556,0,22,2.3176334764511646,0.9972192332148552,41021.67345214844,78.32555697441101,0.3221049786589781,0.4678662074095986,1.3422257805195852,1.1444425070425495,0.21377774564427346,0.33078721202917927,0.13633459257879732,0.22614822284105277,0,25,2.118308198906436,0.9982146956026554,1.0,
