epoch,train_loss,train_mse,train_l1,val_mse,val_mae,val_rmse,val_nrmse,val_correlation,val_score
1,0.9141220582856072,0.8796389434072707,0.6896621253755357,0.5164028140857364,0.502418634792169,0.6460913590778937,0.6749303372314994,0.785874863536427,0.5164028140857364
2,0.392107218503952,0.369700175192621,0.4481408960289425,0.2795096874575723,0.37263934923843905,0.48484555454570016,0.5294841479716478,0.8935411984138694,0.2795096874575723
3,0.2927812933921814,0.27374950382444596,0.3806357714864943,0.2568559131274621,0.36711697099786816,0.47491476075374667,0.5340607978118855,0.8894462358572081,0.2568559131274621
4,0.2727735373708937,0.25458309716648525,0.3638088007767995,0.24522694990490423,0.3574415043447957,0.46523092832959356,0.5239761794981539,0.8999336850175146,0.24522694990490423
5,0.2587219427029292,0.24083837204509312,0.35767141977945965,0.24412723625022353,0.35050512737396994,0.45720274430368957,0.50649868234404,0.9043507864085496,0.24412723625022353
6,0.2512484822008345,0.2340499526924557,0.3439706332153744,0.23508966183572105,0.3570295818375819,0.46180002470094084,0.5383432474688404,0.9059000725230529,0.23508966183572105
7,0.24363637963930765,0.22657365103562674,0.3412545687622494,0.23308537093301615,0.34058656588648306,0.44380068878237416,0.49170765491924573,0.9138152185030763,0.23308537093301615
8,0.2263200448618995,0.2100349184539583,0.32570253478156197,0.20817839602629343,0.3264059146696871,0.42491166596757146,0.4831035971765111,0.9214897109302942,0.20817839602629343
9,0.2206981877485911,0.20467064281304678,0.32055093513594735,0.2011543152232965,0.32546819859381876,0.4227676273607788,0.4936924144853103,0.9285969891419085,0.2011543152232965
10,0.21599174704816607,0.1999572581715054,0.3206897775332133,0.19845091297545217,0.31378073448484595,0.41049512181986686,0.4626321873699805,0.9313527631821925,0.19845091297545217
11,0.20551829371187422,0.189748615026474,0.3153935405943129,0.19779842329973524,0.31586900917869626,0.41328290688756775,0.4715586975473296,0.9304138725753117,0.19779842329973524
12,0.20001856982707977,0.1847161336077584,0.3060487144523197,0.1945379525705269,0.3105173928268028,0.40597397984750777,0.46045328044254025,0.932628624583827,0.1945379525705269
13,0.19570718871222603,0.18060430222087437,0.3020576768451267,0.19644327165389602,0.32114606486125424,0.41745939232276214,0.49261868998089076,0.930889771340863,0.19644327165389602
14,0.18823035226927864,0.17340886841217676,0.2964296142260234,0.18871987015573363,0.303244948387146,0.3979841491850766,0.45546070515960435,0.9350186640273712,0.18871987015573363
15,0.18701658480697209,0.17233428690168592,0.2936459266477161,0.18808282234451987,0.3047853351542444,0.3989404445587974,0.4610008194969118,0.9347755146315729,0.18808282234451987
16,0.18886346287197536,0.17416216598616707,0.2940259542730119,0.18587816486868894,0.3033901777005557,0.39766906443752004,0.46485135085605434,0.9355425933727642,0.18587816486868894
17,0.18782366149955326,0.17309798134697807,0.29451362954245675,0.19221347322066626,0.31072927435690706,0.40413879516395096,0.4872992691284487,0.9354508477064826,0.19221347322066626
18,0.19155416720443302,0.17675542831420898,0.2959747678703732,0.19030384804037484,0.3136091955909223,0.4098830657014625,0.4984065384623462,0.9347463038874682,0.19030384804037484
19,0.18608991470601824,0.17133439746167925,0.2951103382640415,0.19243448174022365,0.3047857214555596,0.40038499788049725,0.46259035753522415,0.9361334009293925,0.19243448174022365
20,0.1923309498363071,0.17718832194805145,0.3028525478310055,0.1910233027442838,0.31053629156314966,0.40584847011490544,0.4958856106010153,0.9353646093289728,0.1910233027442838
21,0.18110187517272103,0.16668871955739128,0.28826315701007843,0.18703321282836524,0.3046713392391349,0.3988933370777732,0.4796506252817169,0.9358159808852442,0.18703321282836524
22,0.18163388636377123,0.16714918282296923,0.2896941006183624,0.19658148743099335,0.3113472997916467,0.4084978272200023,0.5051562452140574,0.9341130182449415,0.19658148743099335
23,0.1866085280974706,0.17194780872927773,0.29321439729796517,0.19163225997578015,0.3036207582688693,0.39876994050515313,0.4813978909280974,0.9353880456746084,0.19163225997578015
24,0.1772264540195465,0.1628733972708384,0.2870611250400543,0.19014391717924314,0.3038816246570963,0.3990158004751008,0.48382578651164343,0.9348572390666999,0.19014391717924314
25,0.17932948966821036,0.1649488624599245,0.2876126170158386,0.19066396087520954,0.30168540200049226,0.39668708015521664,0.4699608470688109,0.9353557370731376,0.19066396087520954
26,0.17444692386521232,0.1602521687746048,0.2838950819439358,0.20753163824591672,0.31860578443967935,0.41774902078355425,0.5269978924567742,0.9335384267846764,0.20753163824591672
27,0.18000423080391353,0.16570119063059488,0.2860608332686954,0.19574705017448374,0.30776785855943506,0.40447731315941904,0.4966508015615332,0.9349378001379418,0.19574705017448374
28,0.18057119680775535,0.1662077291144265,0.28726935386657715,0.2198488155774998,0.3230052296862458,0.42359281139052163,0.5385098497707635,0.9338028310477837,0.2198488155774998
29,0.17896857195430332,0.16461359626717037,0.2870995236767663,0.2007654576251904,0.31534810240070027,0.41354310161343405,0.5105048646942167,0.9331654507880659,0.2007654576251904
30,0.1817882607380549,0.16733245882723066,0.28911606470743817,0.19035891339069966,0.3038682256909934,0.3997412183244721,0.47844686960400773,0.9350997331036448,0.19035891339069966
31,0.174834249748124,0.160670581791136,0.2832733326488071,0.19556107973171907,0.30749910042592976,0.4042221820512699,0.49520189984349106,0.9349730229976656,0.19556107973171907
32,0.17616835733254751,0.16201300505134794,0.28310706549220616,0.20443096127586835,0.3150079192763025,0.41334721946576863,0.515769650766489,0.9345675234056011,0.20443096127586835
33,0.17542373637358347,0.16120670239130655,0.28434065646595424,0.1959835717623884,0.3033891435373913,0.39884161680653135,0.48248111650010767,0.9358296294129324,0.1959835717623884
34,0.17237049755122927,0.1583219369252523,0.2809712274207009,0.19817110554625592,0.31011356752027164,0.40753042517570837,0.5007854976006384,0.9353322639794921,0.19817110554625592
35,0.16397698554727766,0.15026441795958412,0.2742513467868169,0.2046245580087557,0.3126315052310626,0.4103921290796353,0.508522486781557,0.9359868311867164,0.2046245580087557
36,0.16936662627591026,0.15541349351406097,0.2790626486142476,0.2000984006533117,0.30611176303390303,0.40243199718573536,0.48709289175438564,0.9355145188470904,0.2000984006533117
37,0.1684743281867769,0.15458876060114968,0.27771129541926914,0.2078440340913155,0.31546961583874444,0.4133549453676979,0.5183330516416994,0.9360688661949919,0.2078440340913155
38,0.16895216537846458,0.155088033941057,0.27728260887993705,0.20118530977968918,0.3162505485568986,0.4147516847869236,0.5142908366405788,0.9344787432567019,0.20118530977968918
39,0.164121452305052,0.15039475758870444,0.2745339141951667,0.20392653648035997,0.310162289576097,0.4077603203790715,0.5054570653767586,0.9356416587310046,0.20392653648035997
40,0.16947583109140396,0.15560181356138653,0.2774803737799327,0.2206379993338928,0.3238024226192272,0.42420530463097195,0.5394852782188875,0.9355207117292358,0.2206379993338928
41,0.16650383339987862,0.1527621994415919,0.27483270565668744,0.1981855926640106,0.3096307335477887,0.40597032602993655,0.5012401718831109,0.9342462771061222,0.1981855926640106
42,0.17122934261957803,0.15731321854723823,0.2783225145604875,0.19230584873620307,0.3036453103025754,0.39873660489050206,0.4834133506881324,0.9350868572448544,0.19230584873620307
43,0.16594502329826355,0.15213067664040458,0.27628693481286365,0.21022930334914813,0.3144182934228218,0.4126649204710917,0.5168581826297612,0.9348836505838731,0.21022930334914813
44,0.16610502203305563,0.152337908744812,0.2753422624535031,0.2024531409313733,0.31055739680022904,0.40726943150431444,0.5042471135373126,0.9350723819530521,0.2024531409313733
45,0.1660999043120278,0.1523129004571173,0.2757400572299957,0.20024590826395786,0.31036192686720326,0.40743725366402017,0.5064841859853316,0.935036464273873,0.20024590826395786
46,0.16652196645736694,0.1527775310807758,0.27488872077729964,0.20425304781758424,0.31196852739561687,0.4089961627783847,0.5091474252470706,0.9348423690051104,0.20425304781758424
47,0.1633329772286945,0.14960304978821012,0.27459855874379474,0.19404660207642752,0.3044141615656289,0.3987551946934596,0.48632186064076066,0.934379160887219,0.19404660207642752
48,0.16421442064974043,0.15055569178528255,0.2731746468279097,0.20702627888231567,0.31419410906506307,0.4114395417301593,0.5204241148814321,0.935563789357543,0.20702627888231567
49,0.15763920297225317,0.14429526031017303,0.2668788681427638,0.20132994581239694,0.30912311363852385,0.40485454798260395,0.5016158387477075,0.9352188810127596,0.20132994581239694
50,0.16224897238943312,0.1487283425198661,0.2704126106368171,0.1982562407061006,0.30685880825375067,0.40141500981335754,0.49341034237350545,0.9350132393611691,0.1982562407061006
51,0.16183141453398597,0.14827732162343132,0.2710818250974019,0.20864198536075879,0.31708096554785065,0.4152623430659725,0.5219213891469944,0.9348871991684217,0.20864198536075879
52,0.16035838921864828,0.14692318853404787,0.2687040451500151,0.20746757778705974,0.31414744325659494,0.4117198419435274,0.5133079066422709,0.9338372467709994,0.20746757778705974
53,0.16301078680488798,0.14935849772559273,0.27304572529262966,0.20751735762777654,0.31438406974528776,0.4117607576230362,0.5133474585031893,0.9334958910700721,0.20751735762777654
54,0.1618339568376541,0.14830348723464543,0.2706093904044893,0.19890109726199598,0.3093065298867948,0.4041897482329074,0.499020452558568,0.933857987584226,0.19890109726199598
