candidate,selected_seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,catastrophic_failure_count,geometry_branch_failure_count,shape_accuracy,shape_macro_f1
T3_shape_specific_heads,123,train,shape_type,internal_cuboid,53,0.04273364692926407,0.10890785604715347,0.08739221841096878,0.008235643617808819,0.06433653831481934,0.1895395815372467,1.1496390104293823,1.4439404010772705,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,train,shape_type,internal_ellipsoid,53,0.034436311572790146,0.059086285531520844,0.08797674626111984,0.00616880739107728,0.05595635622739792,0.1300617903470993,0.7389236688613892,0.9229900240898132,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,train,shape_type,internal_sphere,54,0.02879745326936245,0.03029611147940159,0.030546342954039574,0.006496018264442682,0.04242093116044998,0.16366077959537506,0.7474448084831238,1.0416858196258545,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,train,burial_depth_level,deep,40,0.029541015625,0.06184978783130646,0.06452436745166779,0.005720127839595079,0.03663523122668266,0.14762139320373535,0.6711567640304565,0.9229900240898132,0,0,1.0,1.0
T3_shape_specific_heads,123,train,burial_depth_level,deep_plus,40,0.03522232547402382,0.08521885424852371,0.059433214366436005,0.008033482357859612,0.05128701403737068,0.141914501786232,0.7829130291938782,1.0416858196258545,0,0,1.0,1.0
T3_shape_specific_heads,123,train,burial_depth_level,medium,40,0.031152380630373955,0.049791473895311356,0.06382415443658829,0.006174654234200716,0.0488671138882637,0.1632579267024994,1.4439404010772705,1.4439404010772705,0,0,1.0,1.0
T3_shape_specific_heads,123,train,burial_depth_level,shallow,40,0.04521104320883751,0.06663189083337784,0.08581969887018204,0.00792725756764412,0.07986698299646378,0.19162002205848694,0.8245793581008911,0.8455594182014465,0,0,1.0,1.0
T3_shape_specific_heads,123,train,size_level,large,53,0.036826156079769135,0.09142661839723587,0.06822074204683304,0.006956090219318867,0.051899269223213196,0.18146257102489471,1.1313689947128296,1.4439404010772705,0,0,1.0,1.0
T3_shape_specific_heads,123,train,size_level,medium,53,0.034548331052064896,0.05174069106578827,0.06938421726226807,0.006381991319358349,0.06032753735780716,0.14582492411136627,0.8323087692260742,0.9991059899330139,0,0,1.0,1.0
T3_shape_specific_heads,123,train,size_level,small,54,0.03448560833930969,0.05466320365667343,0.06761103123426437,0.007542639970779419,0.05033765733242035,0.15611697733402252,0.706068754196167,1.0416858196258545,0,0,1.0,1.0
T3_shape_specific_heads,123,train,aspect_bin,compact,90,0.03545176610350609,0.05001899227499962,0.060459207743406296,0.007400906644761562,0.054229557514190674,0.17282073199748993,0.8455593585968018,1.0416858196258545,0,0,1.0,1.0
T3_shape_specific_heads,123,train,aspect_bin,elongated_x,37,0.03206123411655426,0.110199473798275,0.054540637880563736,0.006455855909734964,0.04058017209172249,0.13318023085594177,0.6738314032554626,0.8135756850242615,0,0,1.0,0.6666666666666666
